Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?
recovery_selfassessment_patient_welcoming_staff,phenx_perception_of_recovery_orientation_and_care_quality_of_m,,radio,Staff welcome me and help me feel comfortable in this program.,"1,Strong disagree|2,|3,|4,|5,Strongly Agree|UNDEFINED_CODE,Not applicable|UNDEFINED_CODE_1,Don't know",PX661503,,,,,,,,,,
recovery_selfassessment_patient_facilities,phenx_perception_of_recovery_orientation_and_care_quality_of_m,,radio,"The physical space of this program (e.g., the lobby, waiting rooms, etc.) feels inviting and dignified.","1,Strong disagree|2,|3,|4,|5,Strongly Agree|UNDEFINED_CODE,Not applicable|UNDEFINED_CODE_1,Don't know",PX661503,,,,,,,,,,
recovery_selfassessment_patient_encouragement,phenx_perception_of_recovery_orientation_and_care_quality_of_m,,radio,Staff encourage me to have hope and high expectations for myself and my recovery.,"1,Strong disagree|2,|3,|4,|5,Strongly Agree|UNDEFINED_CODE,Not applicable|UNDEFINED_CODE_1,Don't know",PX661503,,,,,,,,,,
recovery_selfassessment_patient_flexibility,phenx_perception_of_recovery_orientation_and_care_quality_of_m,,radio,I can change my clinician or case manager if I want to.,"1,Strong disagree|2,|3,|4,|5,Strongly Agree|UNDEFINED_CODE,Not applicable|UNDEFINED_CODE_1,Don't know",PX661503,,,,,,,,,,
recovery_selfassessment_patient_treatment_records,phenx_perception_of_recovery_orientation_and_care_quality_of_m,,radio,I can easily access my treatment records if I want to.,"1,Strong disagree|2,|3,|4,|5,Strongly Agree|UNDEFINED_CODE,Not applicable|UNDEFINED_CODE_1,Don't know",PX661503,,,,,,,,,,
recovery_selfassessment_patient_threats_bribes,phenx_perception_of_recovery_orientation_and_care_quality_of_m,,radio,"Staff do not use threats, bribes, or other forms of pressure to get me to do what they want.","1,Strong disagree|2,|3,|4,|5,Strongly Agree|UNDEFINED_CODE,Not applicable|UNDEFINED_CODE_1,Don't know",PX661503,,,,,,,,,,
recovery_selfassessment_patient_staff_hopeful,phenx_perception_of_recovery_orientation_and_care_quality_of_m,,radio,Staff believe that I can recover.,"1,Strong disagree|2,|3,|4,|5,Strongly Agree|UNDEFINED_CODE,Not applicable|UNDEFINED_CODE_1,Don't know",PX661503,,,,,,,,,,
recovery_selfassessment_patient_symptoms,phenx_perception_of_recovery_orientation_and_care_quality_of_m,,radio,Staff believe that I have the ability to manage my own symptoms.,"1,Strong disagree|2,|3,|4,|5,Strongly Agree|UNDEFINED_CODE,Not applicable|UNDEFINED_CODE_1,Don't know",PX661503,,,,,,,,,,
recovery_selfassessment_patient_independence,phenx_perception_of_recovery_orientation_and_care_quality_of_m,,radio,"Staff believe that I can make my own life choices regarding things such as where to live, when to work,whom to be friends with, etc.","1,Strong disagree|2,|3,|4,|5,Strongly Agree|UNDEFINED_CODE,Not applicable|UNDEFINED_CODE_1,Don't know",PX661503,,,,,,,,,,
recovery_selfassessment_patient_decisions,phenx_perception_of_recovery_orientation_and_care_quality_of_m,,radio,Staff listen to me and respect my decisions about my treatment and care.,"1,Strong disagree|2,|3,|4,|5,Strongly Agree|UNDEFINED_CODE,Not applicable|UNDEFINED_CODE_1,Don't know",PX661503,,,,,,,,,,
recovery_selfassessment_patient_interests,phenx_perception_of_recovery_orientation_and_care_quality_of_m,,radio,Staff regularly ask me about my interests and the things I would like to do in the community.,"1,Strong disagree|2,|3,|4,|5,Strongly Agree|UNDEFINED_CODE,Not applicable|UNDEFINED_CODE_1,Don't know",PX661503,,,,,,,,,,
recovery_selfassessment_patient_risks,phenx_perception_of_recovery_orientation_and_care_quality_of_m,,radio,Staff encourage me to take risks and try new things.,"1,Strong disagree|2,|3,|4,|5,Strongly Agree|UNDEFINED_CODE,Not applicable|UNDEFINED_CODE_1,Don't know",PX661503,,,,,,,,,,
recovery_selfassessment_patient_cultural_acceptance,phenx_perception_of_recovery_orientation_and_care_quality_of_m,,radio,This program offers specific services that fit my unique culture and life experiences.,"1,Strong disagree|2,|3,|4,|5,Strongly Agree|UNDEFINED_CODE,Not applicable|UNDEFINED_CODE_1,Don't know",PX661503,,,,,,,,,,
recovery_selfassessment_patient_spiritual_needs,phenx_perception_of_recovery_orientation_and_care_quality_of_m,,radio,I am given opportunities to discuss my spiritual needs and interests when I wish.,"1,Strong disagree|2,|3,|4,|5,Strongly Agree|UNDEFINED_CODE,Not applicable|UNDEFINED_CODE_1,Don't know",PX661503,,,,,,,,,,
recovery_selfassessment_patient_sexual_needs,phenx_perception_of_recovery_orientation_and_care_quality_of_m,,radio,I am given opportunities to discuss my sexual needs and interests when I wish.,"1,Strong disagree|2,|3,|4,|5,Strongly Agree|UNDEFINED_CODE,Not applicable|UNDEFINED_CODE_1,Don't know",PX661503,,,,,,,,,,
