Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?
anxiety_disorders_symptoms_child_frightened_breathing,phenx_anxiety_disorders_symptoms_children_parent_report,,radio,"When my child feels frightened, it is hard for him/her to breathe.","0, Not true or hardly ever true | 1, Somewhat true or sometimes true | 2, Very true or often true",PX121801,,,,,,,,,,
anxiety_disorders_symptoms_child_headaches_school,phenx_anxiety_disorders_symptoms_children_parent_report,,radio,My child gets headaches when he/she is at school.,"0,Not true or hardly ever true|1,Somewhat true or sometimes true|2,Very true or often true",PX121801,,,,,,,,,,
anxiety_disorders_symptoms_child_strangers,phenx_anxiety_disorders_symptoms_children_parent_report,,radio,My child doesn't like to be with people he/she doesn't know well.,"0, Not true or hardly ever true | 1, Somewhat true or sometimes true | 2, Very true or often true",PX121801,,,,,,,,,,
anxiety_disorders_symptoms_child_scared_home,phenx_anxiety_disorders_symptoms_children_parent_report,,radio,My child gets scared if he/she sleeps away from home.,"0,Not true or hardly ever true|1,Somewhat true or sometimes true|2,Very true or often true",PX121801,,,,,,,,,,
anxiety_disorders_symptoms_child_worry_others,phenx_anxiety_disorders_symptoms_children_parent_report,,radio,My child worries about other people liking him/her.,"0,Not true or hardly ever true|1,Somewhat true or sometimes true|2,Very true or often true",PX121801,,,,,,,,,,
anxiety_disorders_symptoms_child_frightened_pass_out,phenx_anxiety_disorders_symptoms_children_parent_report,,radio,"When my child gets frightened, he/she feels like passing out.","0,Not true or hardly ever true|1,Somewhat true or sometimes true|2,Very true or often true",PX121801,,,,,,,,,,
anxiety_disorders_symptoms_child_nervous,phenx_anxiety_disorders_symptoms_children_parent_report,,radio,My child is nervous.,"0,Not true or hardly ever true|1,Somewhat true or sometimes true|2,Very true or often true",PX121801,,,,,,,,,,
anxiety_disorders_symptoms_child_follows_parent,phenx_anxiety_disorders_symptoms_children_parent_report,,radio,My child follows me wherever I go.,"0,Not true or hardly ever true|1,Somewhat true or sometimes true|2,Very true or often true",PX121801,,,,,,,,,,
anxiety_disorders_symptoms_child_nervous_others,phenx_anxiety_disorders_symptoms_children_parent_report,,radio,People tell me that my child looks nervous.,"0,Not true or hardly ever true|1,Somewhat true or sometimes true|2,Very true or often true",PX121801,,,,,,,,,,
anxiety_disorders_symptoms_child_nervous_strangers,phenx_anxiety_disorders_symptoms_children_parent_report,,radio,My child feels nervous with people he/she doesn't know well.,"0, Not true or hardly ever true | 1, Somewhat true or sometimes true | 2, Very true or often true",PX121801,,,,,,,,,,
anxiety_disorders_symptoms_child_stomachaches_school,phenx_anxiety_disorders_symptoms_children_parent_report,,radio,My child gets stomachaches at school.,"0,Not true or hardly ever true|1,Somewhat true or sometimes true|2,Very true or often true",PX121801,,,,,,,,,,
anxiety_disorders_symptoms_child_frightened_crazy,phenx_anxiety_disorders_symptoms_children_parent_report,,radio,"When my child gets frightened, he/she feels like he/she is going crazy.","0,Not true or hardly ever true|1,Somewhat true or sometimes true|2,Very true or often true",PX121801,,,,,,,,,,
anxiety_disorders_symptoms_child_worry_sleeping_alone,phenx_anxiety_disorders_symptoms_children_parent_report,,radio,My child worries about sleeping alone.,"0,Not true or hardly ever true|1,Somewhat true or sometimes true|2,Very true or often true",PX121801,,,,,,,,,,
anxiety_disorders_symptoms_child_worry_compared_others,phenx_anxiety_disorders_symptoms_children_parent_report,,radio,My child worries about being as good as other kids.,"0,Not true or hardly ever true|1,Somewhat true or sometimes true|2,Very true or often true",PX121801,,,,,,,,,,
anxiety_disorders_symptoms_child_frightened_reality,phenx_anxiety_disorders_symptoms_children_parent_report,,radio,"When my child gets frightened, he/she feels like things are not real.","0,Not true or hardly ever true|1,Somewhat true or sometimes true|2,Very true or often true",PX121801,,,,,,,,,,
anxiety_disorders_symptoms_child_nightmares_parents,phenx_anxiety_disorders_symptoms_children_parent_report,,radio,My child has nightmares about something bad happening to his/her parents.,"0,Not true or hardly ever true|1,Somewhat true or sometimes true|2,Very true or often true",PX121801,,,,,,,,,,
anxiety_disorders_symptoms_child_worry_school,phenx_anxiety_disorders_symptoms_children_parent_report,,radio,My child worries about going to school.,"0,Not true or hardly ever true|1,Somewhat true or sometimes true|2,Very true or often true",PX121801,,,,,,,,,,
anxiety_disorders_symptoms_child_frightened_heartbeat,phenx_anxiety_disorders_symptoms_children_parent_report,,radio,"When my child gets frightened, his/her heart beats fast.","0,Not true or hardly ever true|1,Somewhat true or sometimes true|2,Very true or often true",PX121801,,,,,,,,,,
anxiety_disorders_symptoms_child_shaky,phenx_anxiety_disorders_symptoms_children_parent_report,,radio,My child gets shaky.,"0,Not true or hardly ever true|1,Somewhat true or sometimes true|2,Very true or often true",PX121801,,,,,,,,,,
anxiety_disorders_symptoms_child_nightmares,phenx_anxiety_disorders_symptoms_children_parent_report,,radio,My child has nightmares about something bad happening to him/her.,"0,Not true or hardly ever true|1,Somewhat true or sometimes true|2,Very true or often true",PX121801,,,,,,,,,,
anxiety_disorders_symptoms_child_worry,phenx_anxiety_disorders_symptoms_children_parent_report,,radio,My child worries about things working out for him/her.,"0,Not true or hardly ever true|1,Somewhat true or sometimes true|2,Very true or often true",PX121801,,,,,,,,,,
anxiety_disorders_symptoms_child_frightened_sweat,phenx_anxiety_disorders_symptoms_children_parent_report,,radio,"When my child gets frightened, he/she sweats a lot.","0,Not true or hardly ever true|1,Somewhat true or sometimes true|2,Very true or often true",PX121801,,,,,,,,,,
anxiety_disorders_symptoms_child_worrisome,phenx_anxiety_disorders_symptoms_children_parent_report,,radio,My child is a worrier.,"0,Not true or hardly ever true|1,Somewhat true or sometimes true|2,Very true or often true",PX121801,,,,,,,,,,
anxiety_disorders_symptoms_child_frightened_reason,phenx_anxiety_disorders_symptoms_children_parent_report,,radio,My child gets really frightened for no reason at all.,"0,Not true or hardly ever true|1,Somewhat true or sometimes true|2,Very true or often true",PX121801,,,,,,,,,,
anxiety_disorders_symptoms_child_afraid_alone_home,phenx_anxiety_disorders_symptoms_children_parent_report,,radio,My child is afraid to be alone in the house.,"0,Not true or hardly ever true|1,Somewhat true or sometimes true|2,Very true or often true",PX121801,,,,,,,,,,
anxiety_disorders_symptoms_child_talk_strangers,phenx_anxiety_disorders_symptoms_children_parent_report,,radio,It is hard for my child to talk with people he/she doesn’t know well.,"0,Not true or hardly ever true|1,Somewhat true or sometimes true|2,Very true or often true",PX121801,,,,,,,,,,
anxiety_disorders_symptoms_child_frightened_choking,phenx_anxiety_disorders_symptoms_children_parent_report,,radio,"When my child gets frightened, he/she feels like he/she is choking.","0,Not true or hardly ever true|1,Somewhat true or sometimes true|2,Very true or often true",PX121801,,,,,,,,,,
anxiety_disorders_symptoms_child_worry_too_much,phenx_anxiety_disorders_symptoms_children_parent_report,,radio,People tell me that my child worries too much.,"0,Not true or hardly ever true|1,Somewhat true or sometimes true|2,Very true or often true",PX121801,,,,,,,,,,
anxiety_disorders_symptoms_child_separation_family,phenx_anxiety_disorders_symptoms_children_parent_report,,radio,My child doesn't like to be away from his/her family.,"0, Not true or hardly ever true | 1, Somewhat true or sometimes true | 2, Very true or often true",PX121801,,,,,,,,,,
anxiety_disorders_symptoms_child_afraid_anxiety_panic_attacks,phenx_anxiety_disorders_symptoms_children_parent_report,,radio,My child is afraid of having anxiety (or panic) attacks.,"0,Not true or hardly ever true|1,Somewhat true or sometimes true|2,Very true or often true",PX121801,,,,,,,,,,
anxiety_disorders_symptoms_child_worry_parents,phenx_anxiety_disorders_symptoms_children_parent_report,,radio,My child worries that something bad might happen to his/her parents.,"0,Not true or hardly ever true|1,Somewhat true or sometimes true|2,Very true or often true",PX121801,,,,,,,,,,
anxiety_disorders_symptoms_child_shy_strangers,phenx_anxiety_disorders_symptoms_children_parent_report,,radio,My child feels shy with people he/she doesn't know well.,"0, Not true or hardly ever true | 1, Somewhat true or sometimes true | 2, Very true or often true",PX121801,,,,,,,,,,
anxiety_disorders_symptoms_child_worry_future,phenx_anxiety_disorders_symptoms_children_parent_report,,radio,My child worries about what is going to happen in the future.,"0,Not true or hardly ever true|1,Somewhat true or sometimes true|2,Very true or often true",PX121801,,,,,,,,,,
anxiety_disorders_symptoms_child_frightened_vomit,phenx_anxiety_disorders_symptoms_children_parent_report,,radio,"When my child gets frightened, he/she feels like throwing up.","0,Not true or hardly ever true|1,Somewhat true or sometimes true|2,Very true or often true",PX121801,,,,,,,,,,
anxiety_disorders_symptoms_child_worry_performance,phenx_anxiety_disorders_symptoms_children_parent_report,,radio,My child worries about how well he/she does things.,"0,Not true or hardly ever true|1,Somewhat true or sometimes true|2,Very true or often true",PX121801,,,,,,,,,,
anxiety_disorders_symptoms_child_scared_school,phenx_anxiety_disorders_symptoms_children_parent_report,,radio,My child is scared to go to school.,"0,Not true or hardly ever true|1,Somewhat true or sometimes true|2,Very true or often true",PX121801,,,,,,,,,,
anxiety_disorders_symptoms_child_worry_past,phenx_anxiety_disorders_symptoms_children_parent_report,,radio,My child worries about things that have already happened.,"0,Not true or hardly ever true|1,Somewhat true or sometimes true|2,Very true or often true",PX121801,,,,,,,,,,
anxiety_disorders_symptoms_child_frightened_dizzy,phenx_anxiety_disorders_symptoms_children_parent_report,,radio,"When my child gets frightened, he/she feels dizzy.","0,Not true or hardly ever true|1,Somewhat true or sometimes true|2,Very true or often true",PX121801,,,,,,,,,,
anxiety_disorders_symptoms_child_nervous_performance_others,phenx_anxiety_disorders_symptoms_children_parent_report,,radio,"My child feels nervous when he/she is with other children or adults and he/she has to do something while they watch him/her (for example: read aloud, speak, play a game, play a sport).","0,Not true or hardly ever true|1,Somewhat true or sometimes true|2,Very true or often true",PX121801,,,,,,,,,,
anxiety_disorders_symptoms_child_nervous_social_event_strangers,phenx_anxiety_disorders_symptoms_children_parent_report,,radio,"My child feels nervous when he/she is going to parties, dances, or any place where there will be people that he/she doesn't know well.","0, Not true or hardly ever true | 1, Somewhat true or sometimes true | 2, Very true or often true",PX121801,,,,,,,,,,
anxiety_disorders_symptoms_child_shy,phenx_anxiety_disorders_symptoms_children_parent_report,,radio,My child is shy.,"0,Not true or hardly ever true|1,Somewhat true or sometimes true|2,Very true or often true",PX121801,,,,,,,,,,
anxiety_disorders_symptoms_children_self_report_frightened_breathing,phenx_anxiety_disorders_symptoms_children_parent_report,,radio,"When I feel frightened, it is hard to breathe.","0,Not true or hardly ever true|1,Somewhat true or sometimes true|2,Very true or often true",PX121801,,,,,,,,,,
anxiety_disorders_symptoms_children_self_report_headaches_school,phenx_anxiety_disorders_symptoms_children_parent_report,,radio,I get headaches when I am at school.,"0,Not true or hardly ever true|1,Somewhat true or sometimes true|2,Very true or often true",PX121801,,,,,,,,,,
anxiety_disorders_symptoms_children_self_report_strangers,phenx_anxiety_disorders_symptoms_children_parent_report,,radio,I don’t like to be with people I don’t know well.,"0,Not true or hardly ever true|1,Somewhat true or sometimes true|2,Very true or often true",PX121801,,,,,,,,,,
anxiety_disorders_symptoms_children_self_report_scared_home,phenx_anxiety_disorders_symptoms_children_parent_report,,radio,I get scared if I sleep away from home.,"0,Not true or hardly ever true|1,Somewhat true or sometimes true|2,Very true or often true",PX121801,,,,,,,,,,
anxiety_disorders_symptoms_children_self_report_worry_others,phenx_anxiety_disorders_symptoms_children_parent_report,,radio,I worry about other people liking me.,"0,Not true or hardly ever true|1,Somewhat true or sometimes true|2,Very true or often true",PX121801,,,,,,,,,,
anxiety_disorders_symptoms_children_self_report_frightened_pass_out,phenx_anxiety_disorders_symptoms_children_parent_report,,radio,"When I get frightened, I feel like passing out.","0,Not true or hardly ever true|1,Somewhat true or sometimes true|2,Very true or often true",PX121801,,,,,,,,,,
anxiety_disorders_symptoms_children_self_report_nervous,phenx_anxiety_disorders_symptoms_children_parent_report,,radio,I am nervous.,"0,Not true or hardly ever true|1,Somewhat true or sometimes true|2,Very true or often true",PX121801,,,,,,,,,,
anxiety_disorders_symptoms_children_self_report_follows_parent,phenx_anxiety_disorders_symptoms_children_parent_report,,radio,I follow my mother or father wherever they go.,"0,Not true or hardly ever true|1,Somewhat true or sometimes true|2,Very true or often true",PX121801,,,,,,,,,,
anxiety_disorders_symptoms_children_self_report_nervous_others,phenx_anxiety_disorders_symptoms_children_parent_report,,radio,People tell me that I look nervous,"0,Not true or hardly ever true|1,Somewhat true or sometimes true|2,Very true or often true",PX121801,,,,,,,,,,
