Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?
prenatal_postpartum_depression_laugh_funny,phenx_prenatal_and_postpartum_depression,,radio,I have been able to laugh and see the funny side of things,"UNDEFINED_CODE,As much as I always could|UNDEFINED_CODE_1,Not quite so much now|UNDEFINED_CODE_2,Definitely not so much now|UNDEFINED_CODE_3,Not at all",PX241401,,,,,,,,,,
prenatal_postpartum_depression_enjoyment,phenx_prenatal_and_postpartum_depression,,radio,I have looked forward with enjoyment to things,"UNDEFINED_CODE,As much as I ever did|UNDEFINED_CODE_1,Rather less than I used to|UNDEFINED_CODE_2,Definitely less than I used to|UNDEFINED_CODE_3,Hardly at all",PX241401,,,,,,,,,,
prenatal_postpartum_depression_blame,phenx_prenatal_and_postpartum_depression,,radio,I have blamed myself unnecessarily when things went wrong,"UNDEFINED_CODE,Yes, most of the time|UNDEFINED_CODE_1,Yes, some of the time|UNDEFINED_CODE_2,Not very often|UNDEFINED_CODE_3,No, never",PX241401,,,,,,,,,,
prenatal_postpartum_depression_anxiety_worry,phenx_prenatal_and_postpartum_depression,,radio,I have been anxious or worried for no good reason,"UNDEFINED_CODE,No, not at all|UNDEFINED_CODE_1,Hardly ever|UNDEFINED_CODE_2,Yes, sometimes|UNDEFINED_CODE_3,Yes, very often",PX241401,,,,,,,,,,
prenatal_postpartum_depression_scared_panicky,phenx_prenatal_and_postpartum_depression,,radio,I have felt scared or panicky for no very good reason,"UNDEFINED_CODE,Yes, quite a lot|UNDEFINED_CODE_1,Yes, sometimes|UNDEFINED_CODE_2,No, not much|UNDEFINED_CODE_3,No, not at all",PX241401,,,,,,,,,,
prenatal_postpartum_depression_overwhelmed,phenx_prenatal_and_postpartum_depression,,radio,Things have been getting on top of me,"UNDEFINED_CODE,Yes, most of the time I haven't been able to cope at all|UNDEFINED_CODE_1,Yes, sometimes I haven't been coping as well as usual|UNDEFINED_CODE_2,No, most of the time I have coped quite well|UNDEFINED_CODE_3,No, have been coping as well as ever",PX241401,,,,,,,,,,
prenatal_postpartum_depression_unhappy_affect_sleep,phenx_prenatal_and_postpartum_depression,,radio,I have been so unhappy that I have had difficulty sleeping,"UNDEFINED_CODE,Yes, most of the time|UNDEFINED_CODE_1,Yes, sometimes|UNDEFINED_CODE_2,Not very often|UNDEFINED_CODE_3,No, not at all",PX241401,,,,,,,,,,
prenatal_postpartum_depression_sad_miserable,phenx_prenatal_and_postpartum_depression,,radio,I have felt sad or miserable,"UNDEFINED_CODE,Yes, most of the time|UNDEFINED_CODE_1,Yes, quite often|UNDEFINED_CODE_2,Not very often|UNDEFINED_CODE_3,No, not at all",PX241401,,,,,,,,,,
prenatal_postpartum_depression_unhappy_crying,phenx_prenatal_and_postpartum_depression,,radio,I have been so unhappy that I have been crying,"UNDEFINED_CODE,Yes, most of the time|UNDEFINED_CODE_1,Yes, quite often|UNDEFINED_CODE_2,Only occasionally|UNDEFINED_CODE_3,No, never",PX241401,,,,,,,,,,
prenatal_postpartum_depression_self_harm,phenx_prenatal_and_postpartum_depression,,radio,The thought of harming myself has occurred to me,"UNDEFINED_CODE,Yes, quite often|UNDEFINED_CODE_1,Sometimes|UNDEFINED_CODE_2,Hardly ever|UNDEFINED_CODE_3,Never",PX241401,,,,,,,,,,
