Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?
substances_lifetime_abuse_dependence_usual_amount,phenx_substances_lifetime_abuse_and_dependence,,radio,"In your entire life, Did you EVER find that your usual amount of a medicine or drug had much less effect on you than it once did?","1,Yes|2,No",PX031402,,,,,,,,,,
substances_lifetime_abuse_dependence_usual_amount_past_year,phenx_substances_lifetime_abuse_and_dependence,,radio,Did this happen in the last 12 months?,"1,Yes|2,No",PX031402,,,,,[substances_lifetime_abuse_dependence_usual_amount]='1',,,,,
substances_lifetime_abuse_dependence_usual_amount_past_year_drug_name,phenx_substances_lifetime_abuse_and_dependence,,radio,"During the last 12 months, which medicines or drugs did this happen with?","1,SED|2,PAN|3,MAR|4,COC|5,STIM|6,CLB|7,HAL|8,SOLV|9,HER|10,OTH",PX031402,,,,,[substances_lifetime_abuse_dependence_usual_amount_past_year]='1',,,,,
substances_lifetime_abuse_dependence_usual_amount_prior_last_year,phenx_substances_lifetime_abuse_and_dependence,,radio,"Did this happen before 12 months ago, that is, before last?(Month one year ago)?","1, Yes | 2, No",PX031402,,,,,[substances_lifetime_abuse_dependence_usual_amount_past_year_drug_name]='1',,,,,
substances_lifetime_abuse_dependence_usual_amount_prior_last_year_drug_names,phenx_substances_lifetime_abuse_and_dependence,,radio,Which medicines or drugs did this happen with before 12 months ago?,"1,SED|2,PAN|3,MAR|4,COC|5,STIM|6,CLB|7,HAL|8,SOLV|9,HER|10,OTH",PX031402,,,,,[substances_lifetime_abuse_dependence_usual_amount_prior_last_year]='1',,,,,
substances_lifetime_abuse_dependence_more_same_effect,phenx_substances_lifetime_abuse_and_dependence,,radio,"In your entire life, Did you EVER find that you had to use much more of a medicine or to get the effect you wanted?","1,Yes|2,No",PX031402,,,,,,,,,,
substances_lifetime_abuse_dependence_more_same_effect_past_year,phenx_substances_lifetime_abuse_and_dependence,,radio,Did this happen in the last 12 months?,"1,Yes|2,No",PX031402,,,,,[substances_lifetime_abuse_dependence_more_same_effect]='1',,,,,
substances_lifetime_abuse_dependence_more_same_effect_past_year_drug_name,phenx_substances_lifetime_abuse_and_dependence,,radio,"During the last 12 months, which medicines or drugs did this happen with?","1,SED|2,PAN|3,MAR|4,COC|5,STIM|6,CLB|7,HAL|8,SOLV|9,HER|10,OTH",PX031402,,,,,[substances_lifetime_abuse_dependence_more_same_effect_past_year]='1',,,,,
substances_lifetime_abuse_dependence_more_same_effect_prior_last_year,phenx_substances_lifetime_abuse_and_dependence,,radio,"Did this happen before 12 months ago, that is, before last?(Month one year ago)?","1, Yes | 2, No",PX031402,,,,,[substances_lifetime_abuse_dependence_more_same_effect_past_year_drug_name]='1',,,,,
substances_lifetime_abuse_dependence_more_same_effect_prior_last_year_drug_names,phenx_substances_lifetime_abuse_and_dependence,,radio,Which medicines or drugs did this happen with before 12 months ago?,"1,SED|2,PAN|3,MAR|4,COC|5,STIM|6,CLB|7,HAL|8,SOLV|9,HER|10,OTH",PX031402,,,,,[substances_lifetime_abuse_dependence_more_same_effect_prior_last_year]='1',,,,,
