Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?
pxt121605_lack_prosocial_emotions_children_self_report_express_feelings,phenx_lack_of_prosocial_emotions_children_teacherreport,,radio,Expresses his/her feelings openly.,"0,Not at all true|1,Somewhat true|2,Very true|3,Definitely true",PX121605,,,,,,,,,,
pxt121605_lack_prosocial_emotions_children_self_report_right_wrong,phenx_lack_of_prosocial_emotions_children_teacherreport,,radio,"Does not seem to know ""right"" from ""wrong"".","0, Not at all true | 1, Somewhat true | 2, Very true | 3, Definitely true",PX121605,,,,,,,,,,
pxt121605_lack_prosocial_emotions_children_self_report_care_school_work_,phenx_lack_of_prosocial_emotions_children_teacherreport,,radio,Is concerned about schoolwork.,"0,Not at all true|1,Somewhat true|2,Very true|3,Definitely true",PX121605,,,,,,,,,,
pxt121605_lack_prosocial_emotions_children_self_report_hurt,phenx_lack_of_prosocial_emotions_children_teacherreport,,radio,Does not care who he/she hurts to get what he/she wants.,"0,Not at all true|1,Somewhat true|2,Very true|3,Definitely true",PX121605,,,,,,,,,,
pxt121605_lack_prosocial_emotions_children_self_report_bad_guilt,phenx_lack_of_prosocial_emotions_children_teacherreport,,radio,Feels bad or guilty when he/she has done something wrong.,"0,Not at all true|1,Somewhat true|2,Very true|3,Definitely true",PX121605,,,,,,,,,,
pxt121605_lack_prosocial_emotions_children_self_report_show_emotions,phenx_lack_of_prosocial_emotions_children_teacherreport,,radio,Does not show emotions.,"0,Not at all true|1,Somewhat true|2,Very true|3,Definitely true",PX121605,,,,,,,,,,
pxt121605_lack_prosocial_emotions_children_self_report_punctual,phenx_lack_of_prosocial_emotions_children_teacherreport,,radio,Does not care about being on time.,"0,Not at all true|1,Somewhat true|2,Very true|3,Definitely true",PX121605,,,,,,,,,,
pxt121605_lack_prosocial_emotions_children_self_report_concerned_others_feelings,phenx_lack_of_prosocial_emotions_children_teacherreport,,radio,Is concerned about the feelings of others.,"0,Not at all true|1,Somewhat true|2,Very true|3,Definitely true",PX121605,,,,,,,,,,
pxt121605_lack_prosocial_emotions_children_self_report_trouble,phenx_lack_of_prosocial_emotions_children_teacherreport,,radio,Does not care if he/she is in trouble.,"0,Not at all true|1,Somewhat true|2,Very true|3,Definitely true",PX121605,,,,,,,,,,
pxt121605_lack_prosocial_emotions_children_self_report_feelings,phenx_lack_of_prosocial_emotions_children_teacherreport,,radio,Does not let feelings control him/her.,"0,Not at all true|1,Somewhat true|2,Very true|3,Definitely true",PX121605,,,,,,,,,,
