Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?
Activities_Daily_Living_Bathing_Help,PhenX_-_Activities_of_Daily_Living_ADLs,,radio,"Within the last month, did you need help from another person to bathe (wash and dry your whole body)?","1,No help|2,Help|3,Unable to do|7,REF|9,Don't know",PX250101,,,,,,,,,,
Activities_Daily_Living_Bathing_Difficulty,PhenX_-_Activities_of_Daily_Living_ADLs,,radio,"Within the last month, have you had difficulty with bathing?","1,Yes|2,No|7,REF|8,Don't know|9,NA",PX250101,,,,,[activities_daily_living_bathing_help]<>'2' & [activities_daily_living_bathing_help]<>'3' ,,,,,
Activities_Daily_Living_Grooming_Help,PhenX_-_Activities_of_Daily_Living_ADLs,,radio,"Within the last month, did you need help from another person to do your grooming, like brushing your hair, brushing your teeth, or washing your face?","1,No help|2,Help|3,Unable to do|7,REF|9,Don't know",PX250101,,,,,,,,,,
Activities_Daily_Living_Grooming_Difficulty,PhenX_-_Activities_of_Daily_Living_ADLs,,radio,"Within the last month, have you had difficulty with your personal grooming?","1,Yes|2,No|7,REF|8,Don't know|9,NA",PX250101,,,,,[activities_daily_living_grooming_help]<>'2' & [activities_daily_living_grooming_help]<>'3',,,,,
Activities_Daily_Living_Dressing_Upper_Body_Help,PhenX_-_Activities_of_Daily_Living_ADLs,,radio,"Within the last month, did you need help from another person to dress your upper body (i.e., above your waist), like putting on or buttoning a shirt (or blouse)?","1,No help|2,Help|3,Unable to do|7,REF|9,Don't know",PX250101,,,,,,,,,,
Activities_Daily_Living_Dressing_Upper_Body_Difficulty,PhenX_-_Activities_of_Daily_Living_ADLs,,radio,"Within the last month, have you had difficulty dressing your upper body?","1,Yes|2,No|7,REF|8,Don't know|9,NA",PX250101,,,,,[activities_daily_living_dressing_upper_body_help]<>'2' & [activities_daily_living_dressing_upper_body_help]<>'3',,,,,
Activities_Daily_Living_Dressing_Lower_Body_Help,PhenX_-_Activities_of_Daily_Living_ADLs,,radio,"Within the last month, did you need help from another person to dress your lower body (i.e., below your waist), like putting on or buttoning your pants (or skirt) or putting on or tying your shoes?","1,No help|2,Help|3,Unable to do|7,REF|9,Don't know",PX250101,,,,,,,,,,
Activities_Daily_Living_Dressing_Lower_Body_Difficulty,PhenX_-_Activities_of_Daily_Living_ADLs,,radio,"Within the last month, have you had difficulty dressing your lower body?","1,Yes|2,No|7,REF|8,Don't know|9,NA",PX250101,,,,,[activities_daily_living_dressing_lower_body_help]<>'2' & [activities_daily_living_dressing_lower_body_help]<>'3',,,,,
Activities_Daily_Living_Feeding_Help,PhenX_-_Activities_of_Daily_Living_ADLs,,radio,"Within the last month, did you need help from another person to feed yourself, like holding a fork, cutting food, or drinking from a glass?","1,No help|2,Help|3,Unable to do|7,REF|9,Don't know",PX250101,,,,,,,,,,
Activities_Daily_Living_Feeding_Difficulty,PhenX_-_Activities_of_Daily_Living_ADLs,,radio,"Within the last month, have you had difficulty with feeding yourself?","1,Yes|2,No|7,REF|8,Don't know|9,NA",PX250101,,,,,[activities_daily_living_feeding_help]<>'2' & [activities_daily_living_feeding_help]<>'3',,,,,
Activities_Daily_Living_Bathroom_Help,PhenX_-_Activities_of_Daily_Living_ADLs,,radio,"Within the last month, did you need help from another person to use the toilet, including getting on and off the toilet? ","1,No help|2,Help|3,Unable to do|7,REF|9,Don't know",PX250101,,,,,,,,,,
Activities_Daily_Living_Bathroom_Difficulty,PhenX_-_Activities_of_Daily_Living_ADLs,,radio,"Within the last month, have you had difficulty with using the toilet?","1,Yes|2,No|7,REF|8,Don't know|9,NA",PX250101,,,,,[activities_daily_living_bathroom_help]<>'2' & [activities_daily_living_bathroom_help]<>'3',,,,,
Activities_Daily_Living_Walking_Inside_Help,PhenX_-_Activities_of_Daily_Living_ADLs,,radio,"Within the last month, did you need help from another person to walk around inside your home?","1,No help|2,Help|3,Unable to do|7,REF|9,Don't know",PX250101,,,,,,,,,,
Activities_Daily_Living_Walking_Inside_Difficulty,PhenX_-_Activities_of_Daily_Living_ADLs,,radio,"Within the last month, have you had difficulty with walking around inside your home?","1,Yes|2,No|7,REF|8,Don't know|9,NA",PX250101,,,,,[activities_daily_living_walking_inside_help]<>'2' & [activities_daily_living_walking_inside_help]<>'3',,,,,
Activities_Daily_Living_Chair_Sitting_Help,PhenX_-_Activities_of_Daily_Living_ADLs,,radio,"Within the last month, did you need help from another person to get in and out of a chair? ","1,No help|2,Help|3,Unable to do|7,REF|9,Don't know",PX250101,,,,,,,,,,
Activities_Daily_Living_Chair_Sitting_Difficulty,PhenX_-_Activities_of_Daily_Living_ADLs,,radio,"Within the last month, have you had difficulty getting in and out of a chair?","1,Yes|2,No|7,REF|8,Don't know|9,NA",PX250101,,,,,,,,,,
