Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?
alcohol_lifetime_use_disorder_drinks_less_effect_comparison,phenx_alcohol_lifetime_use_disorder,,radio,In your entire life did you EVER find that your usual number of drinks had much less effect on you than it once did?,"1,Yes|2,No",PX030502,,,,,,,,,,
alcohol_lifetime_use_disorder_drinks_less_effect_comparison_prior_last_year,phenx_alcohol_lifetime_use_disorder,,radio,"If yes, did this happen in the last 12 months?","1,Yes|2,No",PX030502,,,,,[alcohol_lifetime_use_disorder_drinks_less_effect_comparison]='1',,,,,
alcohol_lifetime_use_disorder_drinks_less_effect_comparison_past_year,phenx_alcohol_lifetime_use_disorder,,radio,"Did this happen before 12 months ago, that is before last (Month one year ago?)","1,Yes|2,No",PX030502,,,,,[alcohol_lifetime_use_disorder_drinks_less_effect_comparison_prior_last_year]='1',,,,,
alcohol_lifetime_use_disorder_drinks_less_effect_comparison_consume_more,phenx_alcohol_lifetime_use_disorder,,radio,Did you have to drink much more to get an effect or drank the equivalent of a fifth of liquor?,"1,Yes|2,No",PX030502,,,,,[alcohol_lifetime_use_disorder_drinks_less_effect_comparison_past_year]='1',,,,,
alcohol_lifetime_use_disorder_consume_much_more,phenx_alcohol_lifetime_use_disorder,,radio,In your entire life did you EVER find that you had to drink much more than you once did to get the effect you wanted?,"1,Yes|2,No",PX030502,,,,,,,,,,
alcohol_lifetime_use_disorder_consume_much_more_prior_last_year,phenx_alcohol_lifetime_use_disorder,,radio,"If yes, did this happen in the last 12 months?","1,Yes|2,No",PX030502,,,,,[alcohol_lifetime_use_disorder_consume_much_more]='1',,,,,
alcohol_lifetime_use_disorder_consume_much_more_past_year,phenx_alcohol_lifetime_use_disorder,,radio,"Did this happen before 12 months ago, that is before last (Month one year ago?)","1,Yes|2,No",PX030502,,,,,[alcohol_lifetime_use_disorder_consume_much_more_prior_last_year]='1',,,,,
alcohol_lifetime_use_disorder_consume_much_more_past_much_more,phenx_alcohol_lifetime_use_disorder,,radio,Did you have to drink much more to get an effect or drank the equivalent of a fifth of liquor?,"1,Yes|0,No",PX030502,,,,,[alcohol_lifetime_use_disorder_consume_much_more_past_year]='1',,,,,
alcohol_lifetime_use_disorder_consume_twenty_drinks,phenx_alcohol_lifetime_use_disorder,,radio,"In your entire life did you EVER drink as much as a fifth of liquor in one day, that would be about 20 drinks, or 3 bottles of wine, or as much as 3 six-packs of beer in a single day?","1,Yes|2,No",PX030502,,,,,,,,,,
alcohol_lifetime_use_disorder_consume_twenty_drinks_prior_last_year,phenx_alcohol_lifetime_use_disorder,,radio,"If yes, did this happen in the last 12 months?","1,Yes|2,No",PX030502,,,,,[alcohol_lifetime_use_disorder_consume_twenty_drinks]='1',,,,,
alcohol_lifetime_use_disorder_consume_twenty_drinks_past_year,phenx_alcohol_lifetime_use_disorder,,radio,"Did this happen before 12 months ago, that is before last (Month one year ago?)","1,Yes|2,No",PX030502,,,,,[alcohol_lifetime_use_disorder_consume_twenty_drinks_prior_last_year]='1',,,,,
alcohol_lifetime_use_disorder_consume_twenty_drinks_consume_more,phenx_alcohol_lifetime_use_disorder,,radio,Did you have to drink much more to get an effect or drank the equivalent of a fifth of liquor?,"1,Yes|0,No",PX030502,,,,,[alcohol_lifetime_use_disorder_consume_twenty_drinks_past_year]='1',,,,,
alcohol_lifetime_use_disorder_increase_consumption,phenx_alcohol_lifetime_use_disorder,,radio,In your entire life did you EVER increase your drinking because the amount you used to drink didn't give you the same effect anymore?,"1,Yes|2,No",PX030502,,,,,,,,,,
alcohol_lifetime_use_disorder_increase_consumption_past_year,phenx_alcohol_lifetime_use_disorder,,radio,"If yes, did this happen in the last 12 months?","1,Yes|2,No",PX030502,,,,,[alcohol_lifetime_use_disorder_increase_consumption]='1',,,,,
alcohol_lifetime_use_disorder_increase_consumption_prior_last_year,phenx_alcohol_lifetime_use_disorder,,radio,"Did this happen before 12 months ago, that is before last (Month one year ago?)","1,Yes|2,No",PX030502,,,,,[alcohol_lifetime_use_disorder_increase_consumption_past_year]='1',,,,,
alcohol_lifetime_use_disorder_increase_consumption_much_more,phenx_alcohol_lifetime_use_disorder,,radio,Did you have to drink much more to get an effect or drank the equivalent of a fifth of liquor?,"1,Yes|0,No",PX030502,,,,,[alcohol_lifetime_use_disorder_increase_consumption_prior_last_year]='1',,,,,
alcohol_lifetime_use_disorder_desire_stop_drinking_ever,phenx_alcohol_lifetime_use_disorder,,radio,In your entire life did you EVER more than once WANT to stop or cut down on your drinking?,"1,Yes|2,No",PX030502,,,,,,,,,,
alcohol_lifetime_use_disorder_desire_stop_drinking_past_year,phenx_alcohol_lifetime_use_disorder,,radio,"If yes, did this happen in the last 12 months?","1,Yes|2,No",PX030502,,,,,[alcohol_lifetime_use_disorder_desire_stop_drinking_ever]='1',,,,,
alcohol_lifetime_use_disorder_desire_stop_drinking_prior_last_year,phenx_alcohol_lifetime_use_disorder,,radio,"Did this happen before 12 months ago, that is before last (Month one year ago?)","1,Yes|2,No",PX030502,,,,,[alcohol_lifetime_use_disorder_desire_stop_drinking_past_year]='1',,,,,
alcohol_lifetime_use_disorder_desire_stop_drinking_goal,phenx_alcohol_lifetime_use_disorder,,radio,Did you want or try to stop or cut down on your drinking?,"1,Yes|0,No",PX030502,,,,,[alcohol_lifetime_use_disorder_desire_stop_drinking_prior_last_year]='1',,,,,
alcohol_lifetime_use_disorder_failed_stop_drinking_ever,phenx_alcohol_lifetime_use_disorder,,radio,In your entire life did you EVER more than once TRY to stop or cut down on your drinking but found you couldn't do it?,"1,Yes|2,No",PX030502,,,,,,,,,,
alcohol_lifetime_use_disorder_failed_stop_drinking_past_year,phenx_alcohol_lifetime_use_disorder,,radio,"If yes, did this happen in the last 12 months?","1,Yes|2,No",PX030502,,,,,[alcohol_lifetime_use_disorder_failed_stop_drinking_ever]='1',,,,,
alcohol_lifetime_use_disorder_failed_stop_drinking_prior_last_year,phenx_alcohol_lifetime_use_disorder,,radio,"Did this happen before 12 months ago, that is before last (Month one year ago?)","1,Yes|2,No",PX030502,,,,,[alcohol_lifetime_use_disorder_failed_stop_drinking_past_year]='1',,,,,
