Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?
pxt121604_lack_prosocial_emotions_children_self_report_express_feelings,phenx_lack_of_prosocial_emotions_children_selfreport,,radio,I express my feelings openly.,"0,Not at all true|1,Somewhat true|2,Very true|3,Definitely true",PX121604,,,,,,,,,,
pxt121604_lack_prosocial_emotions_children_self_report_right_wrong,phenx_lack_of_prosocial_emotions_children_selfreport,,radio,"What I think is ""right"" and ""wrong"" is different from what other people think.","0, Not at all true | 1, Somewhat true | 2, Very true | 3, Definitely true",PX121604,,,,,,,,,,
pxt121604_lack_prosocial_emotions_children_self_report_care_school_work_,phenx_lack_of_prosocial_emotions_children_selfreport,,radio,I care about how well I do at school or work.,"0,Not at all true|1,Somewhat true|2,Very true|3,Definitely true",PX121604,,,,,,,,,,
pxt121604_lack_prosocial_emotions_children_self_report_hurt,phenx_lack_of_prosocial_emotions_children_selfreport,,radio,I do not care who I hurt to get what I want.,"0,Not at all true|1,Somewhat true|2,Very true|3,Definitely true",PX121604,,,,,,,,,,
pxt121604_lack_prosocial_emotions_children_self_report_bad_guilt,phenx_lack_of_prosocial_emotions_children_selfreport,,radio,I feel bad or guilty when I do something wrong.,"0,Not at all true|1,Somewhat true|2,Very true|3,Definitely true",PX121604,,,,,,,,,,
pxt121604_lack_prosocial_emotions_children_self_report_show_emotions,phenx_lack_of_prosocial_emotions_children_selfreport,,radio,I do not show my emotions to others.,"0,Not at all true|1,Somewhat true|2,Very true|3,Definitely true",PX121604,,,,,,,,,,
pxt121604_lack_prosocial_emotions_children_self_report_punctual,phenx_lack_of_prosocial_emotions_children_selfreport,,radio,I do not care about being on time.,"0,Not at all true|1,Somewhat true|2,Very true|3,Definitely true",PX121604,,,,,,,,,,
pxt121604_lack_prosocial_emotions_children_self_report_concerned_others_feelings,phenx_lack_of_prosocial_emotions_children_selfreport,,radio,I am concerned about the feelings of others.,"0,Not at all true|1,Somewhat true|2,Very true|3,Definitely true",PX121604,,,,,,,,,,
pxt121604_lack_prosocial_emotions_children_self_report_trouble,phenx_lack_of_prosocial_emotions_children_selfreport,,radio,I do not care if I get into trouble.,"0,Not at all true|1,Somewhat true|2,Very true|3,Definitely true",PX121604,,,,,,,,,,
pxt121604_lack_prosocial_emotions_children_self_report_feelings,phenx_lack_of_prosocial_emotions_children_selfreport,,radio,I do not let my feelings control me.,"0,Not at all true|1,Somewhat true|2,Very true|3,Definitely true",PX121604,,,,,,,,,,
