Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?
quality_of_life_enjoyment_and_satisfaction_children_health,phenx_quality_of_life_enjoyment_and_satisfaction_children,,radio,"Over the past week, how have things been with your health?","1,Very Poor|2,Poor|3,Fair|4,Good|5,Very Good",PX180303,,,,,,,,,,
quality_of_life_enjoyment_and_satisfaction_children_mood,phenx_quality_of_life_enjoyment_and_satisfaction_children,,radio,"Over the past week, how have things been with your mood or feelings?","1,Very Poor|2,Poor|3,Fair|4,Good|5,Very Good",PX180303,,,,,,,,,,
quality_of_life_enjoyment_and_satisfaction_children_school,phenx_quality_of_life_enjoyment_and_satisfaction_children,,radio,"Over the past week, how have things been with school or learning?","1,Very Poor|2,Poor|3,Fair|4,Good|5,Very Good",PX180303,,,,,,,,,,
quality_of_life_enjoyment_and_satisfaction_children_helping_home,phenx_quality_of_life_enjoyment_and_satisfaction_children,,radio,"Over the past week, how have things been with helping out at home?","1,Very Poor|2,Poor|3,Fair|4,Good|5,Very Good",PX180303,,,,,,,,,,
quality_of_life_enjoyment_and_satisfaction_children_friends,phenx_quality_of_life_enjoyment_and_satisfaction_children,,radio,"Over the past week, how have things been with getting along with friends?","1,Very Poor|2,Poor|3,Fair|4,Good|5,Very Good",PX180303,,,,,,,,,,
quality_of_life_enjoyment_and_satisfaction_children_family,phenx_quality_of_life_enjoyment_and_satisfaction_children,,radio,"Over the past week, how have things been with getting along with your family? ","1,Very Poor|2,Poor|3,Fair|4,Good|5,Very Good",PX180303,,,,,,,,,,
quality_of_life_enjoyment_and_satisfaction_children_free_time,phenx_quality_of_life_enjoyment_and_satisfaction_children,,radio,"Over the past week, how have things been with play or free time?","1,Very Poor|2,Poor|3,Fair|4,Good|5,Very Good",PX180303,,,,,,,,,,
quality_of_life_enjoyment_and_satisfaction_children_getting_things_done,phenx_quality_of_life_enjoyment_and_satisfaction_children,,radio,"Over the past week, how have things been with getting things done?","1,Very Poor|2,Poor|3,Fair|4,Good|5,Very Good",PX180303,,,,,,,,,,
quality_of_life_enjoyment_and_satisfaction_children_love,phenx_quality_of_life_enjoyment_and_satisfaction_children,,radio,"Over the past week, how have things been with your love or affection?","1,Very Poor|2,Poor|3,Fair|4,Good|5,Very Good",PX180303,,,,,,,,,,
quality_of_life_enjoyment_and_satisfaction_children_getting_buying_things,phenx_quality_of_life_enjoyment_and_satisfaction_children,,radio,"Over the past week, how have things been with getting or buying things?","1,Very Poor|2,Poor|3,Fair|4,Good|5,Very Good",PX180303,,,,,,,,,,
quality_of_life_enjoyment_and_satisfaction_children_live,phenx_quality_of_life_enjoyment_and_satisfaction_children,,radio,"Over the past week, how have things been with the place where you live?","1,Very Poor|2,Poor|3,Fair|4,Good|5,Very Good",PX180303,,,,,,,,,,
quality_of_life_enjoyment_and_satisfaction_children_paying_attention,phenx_quality_of_life_enjoyment_and_satisfaction_children,,radio,"Over the past week, how have things been with paying attention?","1,Very Poor|2,Poor|3,Fair|4,Good|5,Very Good",PX180303,,,,,,,,,,
quality_of_life_enjoyment_and_satisfaction_children_energy_level,phenx_quality_of_life_enjoyment_and_satisfaction_children,,radio,"Over the past week, how have things been with your energy level?","1,Very Poor|2,Poor|3,Fair|4,Good|5,Very Good",PX180303,,,,,,,,,,
quality_of_life_enjoyment_and_satisfaction_children_feelings_yourself,phenx_quality_of_life_enjoyment_and_satisfaction_children,,radio,"Over the past week, how have things been with feelings about yourself?","1,Very Poor|2,Poor|3,Fair|4,Good|5,Very Good",PX180303,,,,,,,,,,
quality_of_life_enjoyment_and_satisfaction_children_overall,phenx_quality_of_life_enjoyment_and_satisfaction_children,,radio,"Overall, how has your life been?","1,Very Poor|2,Poor|3,Fair|4,Good|5,Very Good",PX180303,,,,,,,,,,
