Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?
psychiatric_symptoms_tension,phenx_psychiatric_symptoms_frequency,,radio,"How often have you felt nervous, tense, worried, frustrated, or afraid?","0,Not at all|1,Once during the month|2,Several times during the month|3,Several times a week|4,At least every day|7,RF|8,NA|9,DK",PX660901,,,,,,,,,,
psychiatric_symptoms_depressed,phenx_psychiatric_symptoms_frequency,,radio,How often have you felt depressed?,"0,Not at all|1,Once during the month|2,Several times during the month|3,Several times a week|4,At least every day|7,RF|8,NA|9,DK",PX660901,,,,,,,,,,
psychiatric_symptoms_loneliness,phenx_psychiatric_symptoms_frequency,,radio,How often have you felt lonely?,"0,Not at all|1,Once during the month|2,Several times during the month|3,Several times a week|4,At least every day|7,RF|8,NA|9,DK",PX660901,,,,,,,,,,
psychiatric_symptoms_paranoia_others,phenx_psychiatric_symptoms_frequency,,radio,"How often have others told you that you acted paranoid"" or ""suspicious""?""","0,Not at all|1,Once during the month|2,Several times during the month|3,Several times a week|4,At least every day|7,RF|8,NA|9,DK",PX660901,,,,,,,,,,
psychiatric_symptoms_hallucinations,phenx_psychiatric_symptoms_frequency,,radio,"How often did you hear voices, or hear and see things that other people didn’t think were there?","0,Not at all|1,Once during the month|2,Several times during the month|3,Several times a week|4,At least every day|7,RF|8,NA|9,DK",PX660901,,,,,,,,,,
psychiatric_symptoms_indecisiveness,phenx_psychiatric_symptoms_frequency,,radio,"How often did you have trouble making up your mind about something, like deciding where you wanted to go or what you were going to do, or how to solve a problem?","0,Not at all|1,Once during the month|2,Several times during the month|3,Several times a week|4,At least every day|7,RF|8,NA|9,DK",PX660901,,,,,,,,,,
psychiatric_symptoms_focus,phenx_psychiatric_symptoms_frequency,,radio,How often did you have trouble thinking straight or concentrating on something you needed to do (like worrying so much or thinking about problems so much that you can’t remember or focus on other things)?,"0,Not at all|1,Once during the month|2,Several times during the month|3,Several times a week|4,At least every day|7,RF|8,NA|9,DK",PX660901,,,,,,,,,,
psychiatric_symptoms_strange_behavior,phenx_psychiatric_symptoms_frequency,,radio,How often did you feel that your behavior or actions were strange or different from that of other people?,"0,Not at all|1,Once during the month|2,Several times during the month|3,Several times a week|4,At least every day|7,RF|8,NA|9,DK",PX660901,,,,,,,,,,
psychiatric_symptoms_social_anxiety,phenx_psychiatric_symptoms_frequency,,radio,How often did you feel out of place or like you did not fit in?,"0,Not at all|1,Once during the month|2,Several times during the month|3,Several times a week|4,At least every day|7,RF|8,NA|9,DK",PX660901,,,,,,,,,,
psychiatric_symptoms_forgetful,phenx_psychiatric_symptoms_frequency,,radio,How often did you forget important things?,"0,Not at all|1,Once during the month|2,Several times during the month|3,Several times a week|4,At least every day|7,RF|8,NA|9,DK",PX660901,,,,,,,,,,
psychiatric_symptoms_racing_thoughts,phenx_psychiatric_symptoms_frequency,,radio,How often did you have problems with thinking too fast (thoughts racing)?,"0,Not at all|1,Once during the month|2,Several times during the month|3,Several times a week|4,At least every day|7,RF|8,NA|9,DK",PX660901,,,,,,,,,,
psychiatric_symptoms_paranoia,phenx_psychiatric_symptoms_frequency,,radio,How often did you feel suspicious or paranoid?,"0,Not at all|1,Once during the month|2,Several times during the month|3,Several times a week|4,At least every day|7,RF|8,NA|9,DK",PX660901,,,,,,,,,,
psychiatric_symptoms_suicidal_thoughts,phenx_psychiatric_symptoms_frequency,,radio,How often did you feel like hurting or killing yourself?,"0,Not at all|1,Once during the month|2,Several times during the month|3,Several times a week|4,At least every day|7,RF|8,NA|9,DK",PX660901,,,,,,,,,,
psychiatric_symptoms_violent_thoughts,phenx_psychiatric_symptoms_frequency,,radio,How often have you felt like seriously hurting someone else?,"0,Not at all|1,Once during the month|2,Several times during the month|3,Several times a week|4,At least every day|7,RF|8,NA|9,DK",PX660901,,,,,,,,,,
