Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?
Depression_Symptoms_Geriatric_ Satisfied,PhenX_-_Depressive_Symptoms_-_Geriatric,,radio,During the past week have you felt satisfied with your life?,"UNDEFINED_1,Yes|UNDEFINED_2,No",PX121704,,,,,,,,,,
Depression_Symptoms_Geriatric_ Dropped_Activities,PhenX_-_Depressive_Symptoms_-_Geriatric,,radio,During the past week have you dropped many of your activities and interests?,"UNDEFINED_1,Yes|UNDEFINED_2,No",PX121704,,,,,,,,,,
Depression_Symptoms_Geriatric_Empty ,PhenX_-_Depressive_Symptoms_-_Geriatric,,radio,During the past week have you felt that your life is empty??,"UNDEFINED_1,Yes|UNDEFINED_2,No",PX121704,,,,,,,,,,
Depression_Symptoms_Geriatric_ Bored,PhenX_-_Depressive_Symptoms_-_Geriatric,,radio,During the past week have you felt often bored?,"UNDEFINED_1,Yes|UNDEFINED_2,No",PX121704,,,,,,,,,,
Depression_Symptoms_Geriatric_ Good_Spirits,PhenX_-_Depressive_Symptoms_-_Geriatric,,radio,During the past week have you felt in good spirits most of the time?,"UNDEFINED_1,Yes|UNDEFINED_2,No",PX121704,,,,,,,,,,
Depression_Symptoms_Geriatric_ Afraid,PhenX_-_Depressive_Symptoms_-_Geriatric,,radio,During the past week have you felt afraid that something bad is going to happen to you?,"UNDEFINED_1,Yes|UNDEFINED_2,No",PX121704,,,,,,,,,,
Depression_Symptoms_Geriatric_ Happy,PhenX_-_Depressive_Symptoms_-_Geriatric,,radio,During the past week have you felt happy most of the time?,"UNDEFINED_1,Yes|UNDEFINED_2,No",PX121704,,,,,,,,,,
Depression_Symptoms_Geriatric_ Helpless,PhenX_-_Depressive_Symptoms_-_Geriatric,,radio,During the past week have you often felt helpless?,"UNDEFINED_1,Yes|UNDEFINED_2,No",PX121704,,,,,,,,,,
Depression_Symptoms_Geriatric_ Stay_Home,PhenX_-_Depressive_Symptoms_-_Geriatric,,radio,"During the past week have you felt that you prefer to stay at home, rather than going out and doing new things?","UNDEFINED_1,Yes|UNDEFINED_2,No",PX121704,,,,,,,,,,
Depression_Symptoms_Geriatric_ Memory,PhenX_-_Depressive_Symptoms_-_Geriatric,,radio,During the past week have you felt you have more problems with memory than most?,"UNDEFINED_1,Yes|UNDEFINED_2,No",PX121704,,,,,,,,,,
Depression_Symptoms_Geriatric_ Alive,PhenX_-_Depressive_Symptoms_-_Geriatric,,radio,During the past week have you felt you think it is wonderful to be alive now?,"UNDEFINED_1,Yes|UNDEFINED_2,No",PX121704,,,,,,,,,,
Depression_Symptoms_Geriatric_ Worthless,PhenX_-_Depressive_Symptoms_-_Geriatric,,radio,During the past week have you felt pretty worthless the way you are now?,"UNDEFINED_1,Yes|UNDEFINED_2,No",PX121704,,,,,,,,,,
Depression_Symptoms_Geriatric_ Energy,PhenX_-_Depressive_Symptoms_-_Geriatric,,radio,During the past week have you felt full of energy?,"UNDEFINED_1,Yes|UNDEFINED_2,No",PX121704,,,,,,,,,,
Depression_Symptoms_Geriatric_Hopeless,PhenX_-_Depressive_Symptoms_-_Geriatric,,radio,During the past week have you felt that your situation is hopeless?,"UNDEFINED_1,Yes|UNDEFINED_2,No",PX121704,,,,,,,,,,
Depression_Symptoms_Geriatric_ Better_Off,PhenX_-_Depressive_Symptoms_-_Geriatric,,radio,During the past week have you felt you think that most people are better off than you are?,"UNDEFINED_1,Yes|UNDEFINED_2,No",PX121704,,,,,,,,,,
