Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?
quality_of_life_enjoyment_and_satisfaction_adult_physical_health,phenx_quality_of_life_enjoyment_and_satisfaction_adults,,radio,"Taking everything into consideration, during the past week how satisfied have you been with your physical health?","1, Very Poor | 2, Poor | 3, Fair | 4, Good | 5, Very Good",PX180302,,,,,,,,,,
quality_of_life_enjoyment_and_satisfaction_adult_mood,phenx_quality_of_life_enjoyment_and_satisfaction_adults,,radio,"Taking everything into consideration, during the past week how satisfied have you been with your mood?","1, Very Poor | 2, Poor | 3, Fair | 4, Good | 5, Very Good",PX180302,,,,,,,,,,
quality_of_life_enjoyment_and_satisfaction_adult_work,phenx_quality_of_life_enjoyment_and_satisfaction_adults,,radio,"Taking everything into consideration, during the past week how satisfied have you been with your work?","1, Very Poor | 2, Poor | 3, Fair | 4, Good | 5, Very Good",PX180302,,,,,,,,,,
quality_of_life_enjoyment_and_satisfaction_adult_household_activities,phenx_quality_of_life_enjoyment_and_satisfaction_adults,,radio,"Taking everything into consideration, during the past week how satisfied have you been with your household activities?","1, Very Poor | 2, Poor | 3, Fair | 4, Good | 5, Very Good",PX180302,,,,,,,,,,
quality_of_life_enjoyment_and_satisfaction_adult_social_relationships,phenx_quality_of_life_enjoyment_and_satisfaction_adults,,radio,"Taking everything into consideration, during the past week how satisfied have you been with your social relationships?","1, Very Poor | 2, Poor | 3, Fair | 4, Good | 5, Very Good",PX180302,,,,,,,,,,
quality_of_life_enjoyment_and_satisfaction_adult_family_relationships,phenx_quality_of_life_enjoyment_and_satisfaction_adults,,radio,"Taking everything into consideration, during the past week how satisfied have you been with your family relationships?","1, Very Poor | 2, Poor | 3, Fair | 4, Good | 5, Very Good",PX180302,,,,,,,,,,
quality_of_life_enjoyment_and_satisfaction_adult_leisure_time_activities,phenx_quality_of_life_enjoyment_and_satisfaction_adults,,radio,"Taking everything into consideration, during the past week how satisfied have you been with your leisure time activities?","1, Very Poor | 2, Poor | 3, Fair | 4, Good | 5, Very Good",PX180302,,,,,,,,,,
quality_of_life_enjoyment_and_satisfaction_adult_ability_function_daily_life,phenx_quality_of_life_enjoyment_and_satisfaction_adults,,radio,"Taking everything into consideration, during the past week how satisfied have you been with your ability to function in daily life?","1, Very Poor | 2, Poor | 3, Fair | 4, Good | 5, Very Good",PX180302,,,,,,,,,,
quality_of_life_enjoyment_and_satisfaction_adult_sexual_drive,phenx_quality_of_life_enjoyment_and_satisfaction_adults,,radio,"Taking everything into consideration, during the past week how satisfied have you been with your sexual drive, interest and/or performance?","1, Very Poor | 2, Poor | 3, Fair | 4, Good | 5, Very Good",PX180302,,,,,,,,,,
quality_of_life_enjoyment_and_satisfaction_adult_economic_status,phenx_quality_of_life_enjoyment_and_satisfaction_adults,,radio,"Taking everything into consideration, during the past week how satisfied have you been with your economic status?","1, Very Poor | 2, Poor | 3, Fair | 4, Good | 5, Very Good",PX180302,,,,,,,,,,
quality_of_life_enjoyment_and_satisfaction_adult_living_situation,phenx_quality_of_life_enjoyment_and_satisfaction_adults,,radio,"Taking everything into consideration, during the past week how satisfied have you been with your living/household situation?","1, Very Poor | 2, Poor | 3, Fair | 4, Good | 5, Very Good",PX180302,,,,,,,,,,
quality_of_life_enjoyment_and_satisfaction_adult_feeling_dizzy,phenx_quality_of_life_enjoyment_and_satisfaction_adults,,radio,"Taking everything into consideration, during the past week how satisfied have you been with your ability to get around physically without feeling dizzy or unsteady or falling?","1, Very Poor | 2, Poor | 3, Fair | 4, Good | 5, Very Good",PX180302,,,,,,,,,,
quality_of_life_enjoyment_and_satisfaction_adult_work_hobbies,phenx_quality_of_life_enjoyment_and_satisfaction_adults,,radio,"Taking everything into consideration, during the past week how satisfied have you been with your your vision in terms of ability to do work or hobbies?","1, Very Poor | 2, Poor | 3, Fair | 4, Good | 5, Very Good",PX180302,,,,,,,,,,
quality_of_life_enjoyment_and_satisfaction_adult_well_being,phenx_quality_of_life_enjoyment_and_satisfaction_adults,,radio,"Taking everything into consideration, during the past week how satisfied have you been with your overall sense of well being?","1, Very Poor | 2, Poor | 3, Fair | 4, Good | 5, Very Good",PX180302,,,,,,,,,,
quality_of_life_enjoyment_and_satisfaction_adult_medication,phenx_quality_of_life_enjoyment_and_satisfaction_adults,,radio,"Taking everything into consideration, during the past week how satisfied have you been with your medication? ","1, Very Poor | 2, Poor | 3, Fair | 4, Good | 5, Very Good",PX180302,,,,,,,,,,
quality_of_life_enjoyment_and_satisfaction_adult_past_week,phenx_quality_of_life_enjoyment_and_satisfaction_adults,,radio,How would you rate your overall life satisfaction and contentment during the past week?,"1, Very Poor | 2, Poor | 3, Fair | 4, Good | 5, Very Good",PX180302,,,,,,,,,,
