Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?
recovery_selfassessment_family_welcoming_staff,phenx_perception_of_recovery_orientation_and_care_quality_of_m,,radio,Staff make efforts to welcome my loved one and help him/her to feel comfortable in this program.,"1,Strong disagree|2,|3,|4,|5,Strongly Agree|UNDEFINED_CODE,Not applicable|UNDEFINED_CODE_1,Don't know",PX661502,,,,,,,,,,
recovery_selfassessment_family_facilities,phenx_perception_of_recovery_orientation_and_care_quality_of_m,,radio,"The physical space of this program (e.g., the lobby, waiting rooms, etc.) feels inviting and dignified.","1,Strong disagree|2,|3,|4,|5,Strongly Agree|UNDEFINED_CODE,Not applicable|UNDEFINED_CODE_1,Don't know",PX661502,,,,,,,,,,
recovery_selfassessment_family_encouragement,phenx_perception_of_recovery_orientation_and_care_quality_of_m,,radio,Staff encourage my loved one to have hope and high expectations for his/her recovery.,"1,Strong disagree|2,|3,|4,|5,Strongly Agree|UNDEFINED_CODE,Not applicable|UNDEFINED_CODE_1,Don't know",PX661502,,,,,,,,,,
recovery_selfassessment_family_flexibility,phenx_perception_of_recovery_orientation_and_care_quality_of_m,,radio,My loved one can change his/her clinician or case manager if he/she wants to.,"1,Strong disagree|2,|3,|4,|5,Strongly Agree|UNDEFINED_CODE,Not applicable|UNDEFINED_CODE_1,Don't know",PX661502,,,,,,,,,,
recovery_selfassessment_family_treatment_records,phenx_perception_of_recovery_orientation_and_care_quality_of_m,,radio,My loved one can easily access his/her treatment records if he/she wishes.,"1,Strong disagree|2,|3,|4,|5,Strongly Agree|UNDEFINED_CODE,Not applicable|UNDEFINED_CODE_1,Don't know",PX661502,,,,,,,,,,
recovery_selfassessment_family_threats_bribes,phenx_perception_of_recovery_orientation_and_care_quality_of_m,,radio,"Staff do not use threats, bribes, or other forms of pressure to influence the behavior of my loved one.","1,Strong disagree|2,|3,|4,|5,Strongly Agree|UNDEFINED_CODE,Not applicable|UNDEFINED_CODE_1,Don't know",PX661502,,,,,,,,,,
recovery_selfassessment_family_staff_hopeful,phenx_perception_of_recovery_orientation_and_care_quality_of_m,,radio,Staff believe that my loved one can recover.,"1,Strong disagree|2,|3,|4,|5,Strongly Agree|UNDEFINED_CODE,Not applicable|UNDEFINED_CODE_1,Don't know",PX661502,,,,,,,,,,
recovery_selfassessment_family_symptoms,phenx_perception_of_recovery_orientation_and_care_quality_of_m,,radio,Staff believe that my loved one has the ability to manage his/her own symptoms.,"1,Strong disagree|2,|3,|4,|5,Strongly Agree|UNDEFINED_CODE,Not applicable|UNDEFINED_CODE_1,Don't know",PX661502,,,,,,,,,,
recovery_selfassessment_family_independence,phenx_perception_of_recovery_orientation_and_care_quality_of_m,,radio,"Staff believe that program participants can make their own life choices regarding things such as where to live, when to work, whom to be friends with, etc.","1,Strong disagree|2,|3,|4,|5,Strongly Agree|UNDEFINED_CODE,Not applicable|UNDEFINED_CODE_1,Don't know",PX661502,,,,,,,,,,
recovery_selfassessment_family_decisions,phenx_perception_of_recovery_orientation_and_care_quality_of_m,,radio,Staff listen to my loved one and respect his/her decisions about his/her treatment and care.,"1,Strong disagree|2,|3,|4,|5,Strongly Agree|UNDEFINED_CODE,Not applicable|UNDEFINED_CODE_1,Don't know",PX661502,,,,,,,,,,
recovery_selfassessment_family_interests,phenx_perception_of_recovery_orientation_and_care_quality_of_m,,radio,Staff regularly ask my loved one about his/her interests and the things he/she would like to do in the community.,"1,Strong disagree|2,|3,|4,|5,Strongly Agree|UNDEFINED_CODE,Not applicable|UNDEFINED_CODE_1,Don't know",PX661502,,,,,,,,,,
