Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?
disapproval_substanceuse_desc,phenx_disapproval_of_substance_use,,descriptive,Individuals differ in whether or not they disapprove of people doing certain things. Do YOU disapprove of people doing each of the following? ,,PX550202,,,,,,,,,,
disapproval_substanceuse_smoking_pack_cigarettes,phenx_disapproval_of_substance_use,,radio,Smoking one or more packs of cigarettes per day,"1,Don't Disapprove|2,Disapprove|3,Strongly Disapprove|4,Can't Say, Drug Unfamiliar",PX550202,,,,,,,,,,
disapproval_substanceuse_smokeless_tobacco_regularly,phenx_disapproval_of_substance_use,,radio,Using smokeless tobacco regularly,"1,Don't Disapprove|2,Disapprove|3,Strongly Disapprove|4,Can't Say, Drug Unfamiliar",PX550202,,,,,,,,,,
disapproval_substanceuse_marijuana_trying,phenx_disapproval_of_substance_use,,radio,Tying marijuana once or twice,"1,Don't Disapprove|2,Disapprove|3,Strongly Disapprove|4,Can't Say, Drug Unfamiliar",PX550202,,,,,,,,,,
disapproval_substanceuse_marijuana_occasionally,phenx_disapproval_of_substance_use,,radio,Smoking marijuana occasionally,"1,Don't Disapprove|2,Disapprove|3,Strongly Disapprove|4,Can't Say, Drug Unfamiliar",PX550202,,,,,,,,,,
disapproval_substanceuse_marijuana_regularly,phenx_disapproval_of_substance_use,,radio,Smoking marijuana regularly,"1,Don't Disapprove|2,Disapprove|3,Strongly Disapprove|4,Can't Say, Drug Unfamiliar",PX550202,,,,,,,,,,
disapproval_substanceuse_cocaine_once,phenx_disapproval_of_substance_use,,radio,Trying cocaine in powder form once or twice,"1,Don't Disapprove|2,Disapprove|3,Strongly Disapprove|4,Can't Say, Drug Unfamiliar",PX550202,,,,,,,,,,
disapproval_substanceuse_cocaine_occasionally,phenx_disapproval_of_substance_use,,radio,Taking cocaine powder occasionally,"1,Don't Disapprove|2,Disapprove|3,Strongly Disapprove|4,Can't Say, Drug Unfamiliar",PX550202,,,,,,,,,,
disapproval_substanceuse_crack_once,phenx_disapproval_of_substance_use,,radio,"Trying ""crack"" cocaine once or twice","1,Don't Disapprove|2,Disapprove|3,Strongly Disapprove|4,Can't Say, Drug Unfamiliar",PX550202,,,,,,,,,,
disapproval_substanceuse_crack_occasionally,phenx_disapproval_of_substance_use,,radio,"Taking ""crack"" cocaine occasionally","1,Don't Disapprove|2,Disapprove|3,Strongly Disapprove|4,Can't Say, Drug Unfamiliar",PX550202,,,,,,,,,,
disapproval_substanceuse_alcohol_trying,phenx_disapproval_of_substance_use,,radio,"Trying one or two drinks of an alcoholic beverage (beer, wine, liquor)","1,Don't Disapprove|2,Disapprove|3,Strongly Disapprove|4,Can't Say, Drug Unfamiliar",PX550202,,,,,,,,,,
disapproval_substanceuse_alcohol_daily,phenx_disapproval_of_substance_use,,radio,Taking one or two drinks nearly every day,"1,Don't Disapprove|2,Disapprove|3,Strongly Disapprove|4,Can't Say, Drug Unfamiliar",PX550202,,,,,,,,,,
disapproval_substanceuse_binge_drinking,phenx_disapproval_of_substance_use,,radio,Having five or more drinks once or twice each weekend,"1,Don't Disapprove|2,Disapprove|3,Strongly Disapprove|4,Can't Say, Drug Unfamiliar",PX550202,,,,,,,,,,
disapproval_substanceuse_glue_trying,phenx_disapproval_of_substance_use,,radio,"Sniffing glue, gases, or sprays once or twice","1,Don't Disapprove|2,Disapprove|3,Strongly Disapprove|4,Can't Say, Drug Unfamiliar",PX550202,,,,,,,,,,
disapproval_substanceuse_glue_regularly,phenx_disapproval_of_substance_use,,radio,"Sniffing glue, gases, or sprays regularly","1,Don't Disapprove|2,Disapprove|3,Strongly Disapprove|4,Can't Say, Drug Unfamiliar",PX550202,,,,,,,,,,
disapproval_substanceuse_lsd_trying,phenx_disapproval_of_substance_use,,radio,Taking LSD once or twice,"1,Don't Disapprove|2,Disapprove|3,Strongly Disapprove|4,Can't Say, Drug Unfamiliar",PX550202,,,,,,,,,,
disapproval_substanceuse_lsd_regularly,phenx_disapproval_of_substance_use,,radio,Taking LSD regularly,"1,Don't Disapprove|2,Disapprove|3,Strongly Disapprove|4,Can't Say, Drug Unfamiliar",PX550202,,,,,,,,,,
disapproval_substanceuse_mdma_trying,phenx_disapproval_of_substance_use,,radio,"Trying MDMA (""ecstasy"") once or twice","1,Don't Disapprove|2,Disapprove|3,Strongly Disapprove|4,Can't Say, Drug Unfamiliar",PX550202,,,,,,,,,,
disapproval_substanceuse_mdma_occasionally,phenx_disapproval_of_substance_use,,radio,"Taking MDMC (""ecstasy"") occasionally","1,Don't Disapprove|2,Disapprove|3,Strongly Disapprove|4,Can't Say, Drug Unfamiliar",PX550202,,,,,,,,,,
disapproval_substanceuse_electronic_cigarettes_regularly,phenx_disapproval_of_substance_use,,radio,Using electronic cigarettes (e-cigarettes) regularly,"1,Don't Disapprove|2,Disapprove|3,Strongly Disapprove|4,Can't Say, Drug Unfamiliar",PX550202,,,,,,,,,,
