Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?
Knee_Injury_Osteoarthritis_Swelling,PhenX_-_Knee_Injury_and_Osteoarthritis,,radio,Do you have swelling in your knee?,"UNDEFINED_1,Never|UNDEFINED_2,Rarely|UNDEFINED_3,Sometimes|UNDEFINED_4,Often",PX250401,,,,,,,,,,
Knee_Injury_Osteoarthritis_Grinding_Clicking_Noise,PhenX_-_Knee_Injury_and_Osteoarthritis,,radio,"Do you feel grinding, hear clicking or any other type of noise when your knee moves?","UNDEFINED_1,Never|UNDEFINED_2,Rarely|UNDEFINED_3,Sometimes|UNDEFINED_4,Often",PX250401,,,,,,,,,,
Knee_Injury_Osteoarthritis_Catch_Hang_Moving,PhenX_-_Knee_Injury_and_Osteoarthritis,,radio,Does your knee catch or hang up when moving?,"UNDEFINED_1,Never|UNDEFINED_2,Rarely|UNDEFINED_3,Sometimes|UNDEFINED_4,Often",PX250401,,,,,,,,,,
Knee_Injury_Osteoarthritis_Straighten_Fully,PhenX_-_Knee_Injury_and_Osteoarthritis,,radio,Can you straighten your knee fully?,"UNDEFINED_1,Always|UNDEFINED_2,Often|UNDEFINED_3,Sometimes|UNDEFINED_4,Rarely",PX250401,,,,,,,,,,
Knee_Injury_Osteoarthritis_Bend_Fully,PhenX_-_Knee_Injury_and_Osteoarthritis,,radio,Can you bend your knee fully?,"UNDEFINED_1,Always|UNDEFINED_2,Often|UNDEFINED_3,Sometimes|UNDEFINED_4,Rarely",PX250401,,,,,,,,,,
Knee_Injury_Osteoarthritis_Stiffness_Morning,PhenX_-_Knee_Injury_and_Osteoarthritis,,radio,How severe is your knee joint stiffness after first wakening in the morning?,"UNDEFINED_1,None|UNDEFINED_2,Mild|UNDEFINED_3,Moderate|UNDEFINED_4,Severe",PX250401,,,,,,,,,,
Knee_Injury_Osteoarthritis_Stiffness_Sitting_Lying_Resting,PhenX_-_Knee_Injury_and_Osteoarthritis,,radio,"How severe is your knee stiffness after sitting, lying or resting later in the day?","UNDEFINED_1,None|UNDEFINED_2,Mild|UNDEFINED_3,Moderate|UNDEFINED_4,Severe",PX250401,,,,,,,,,,
Knee_Injury_Osteoarthritis_Pain_Frequency,PhenX_-_Knee_Injury_and_Osteoarthritis,,radio,How often do you experience knee pain?,"UNDEFINED_1,Never|UNDEFINED_2,Rarely|UNDEFINED_3,Sometimes|UNDEFINED_4,Often",PX250401,,,,,,,,,,
Knee_Injury_Osteoarthritis_Pain_Twisting_Pivoting,PhenX_-_Knee_Injury_and_Osteoarthritis,,radio,What amount of knee pain have you experienced the last week during the following activities? Twisting/pivoting on your knee,"UNDEFINED_1,None|UNDEFINED_2,Mild|UNDEFINED_3,Moderate|UNDEFINED_4,Severe",PX250401,,,,,,,,,,
Knee_Injury_Osteoarthritis_Pain_Straighten_Fully,PhenX_-_Knee_Injury_and_Osteoarthritis,,radio,What amount of knee pain have you experienced the last week during the following activities? Straightening knee fully,"UNDEFINED_1,None|UNDEFINED_2,Mild|UNDEFINED_3,Moderate|UNDEFINED_4,Severe",PX250401,,,,,,,,,,
Knee_Injury_Osteoarthritis_Pain_Bend_Fully,PhenX_-_Knee_Injury_and_Osteoarthritis,,radio,What amount of knee pain have you experienced the last week during the following activities? Bending knee fully,"UNDEFINED_1,None|UNDEFINED_2,Mild|UNDEFINED_3,Moderate|UNDEFINED_4,Severe",PX250401,,,,,,,,,,
Knee_Injury_Osteoarthritis_Pain_Walking_Flat_Surface,PhenX_-_Knee_Injury_and_Osteoarthritis,,radio,What amount of knee pain have you experienced the last week during the following activities? Walking on flat surface,"UNDEFINED_1,None|UNDEFINED_2,Mild|UNDEFINED_3,Moderate|UNDEFINED_4,Severe",PX250401,,,,,,,,,,
Knee_Injury_Osteoarthritis_Pain_Stairs,PhenX_-_Knee_Injury_and_Osteoarthritis,,radio,What amount of knee pain have you experienced the last week during the following activities? Going up or down stairs,"UNDEFINED_1,None|UNDEFINED_2,Mild|UNDEFINED_3,Moderate|UNDEFINED_4,Severe",PX250401,,,,,,,,,,
Knee_Injury_Osteoarthritis_Pain_Night_Bed,PhenX_-_Knee_Injury_and_Osteoarthritis,,radio,What amount of knee pain have you experienced the last week during the following activities? At night while in bed,"UNDEFINED_1,None|UNDEFINED_2,Mild|UNDEFINED_3,Moderate|UNDEFINED_4,Severe",PX250401,,,,,,,,,,
Knee_Injury_Osteoarthritis_Pain_Sitting_Lying,PhenX_-_Knee_Injury_and_Osteoarthritis,,radio,What amount of knee pain have you experienced the last week during the following activities? Sitting or lying,"UNDEFINED_1,None|UNDEFINED_2,Mild|UNDEFINED_3,Moderate|UNDEFINED_4,Severe",PX250401,,,,,,,,,,
Knee_Injury_Osteoarthritis_Pain_Standing_Upright,PhenX_-_Knee_Injury_and_Osteoarthritis,,radio,What amount of knee pain have you experienced the last week during the following activities? Standing upright,"UNDEFINED_1,None|UNDEFINED_2,Mild|UNDEFINED_3,Moderate|UNDEFINED_4,Severe",PX250401,,,,,,,,,,
Knee_Injury_Osteoarthritis_Function_Descend_Stairs,PhenX_-_Knee_Injury_and_Osteoarthritis,,radio,For each of the following activities please indicate the degree of difficulty you have experienced in the last week due to your knee. Descending stairs,"UNDEFINED_1,None|UNDEFINED_2,Mild|UNDEFINED_3,Moderate|UNDEFINED_4,Severe",PX250401,,,,,,,,,,
Knee_Injury_Osteoarthritis_Function_Ascend_Stairs,PhenX_-_Knee_Injury_and_Osteoarthritis,,radio,For each of the following activities please indicate the degree of difficulty you have experienced in the last week due to your knee. Ascending stairs,"UNDEFINED_1,None|UNDEFINED_2,Mild|UNDEFINED_3,Moderate|UNDEFINED_4,Severe",PX250401,,,,,,,,,,
Knee_Injury_Osteoarthritis_Function_Rising_Sitting,PhenX_-_Knee_Injury_and_Osteoarthritis,,radio,For each of the following activities please indicate the degree of difficulty you have experienced in the last week due to your knee. Rising from sitting,"UNDEFINED_1,None|UNDEFINED_2,Mild|UNDEFINED_3,Moderate|UNDEFINED_4,Severe",PX250401,,,,,,,,,,
