Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?
score_family_functioning_discussion,phenx_family_functioning_systematic_clinical_outcome_routine,,radio,In my family we talk to each other about things which matter to us,"1,Describes us: Very well|2,Describes us: Well|3,Describes us: Partly|4,Describes us: Not well|5,Describes us: Not at all",PX662102,,,,,,,,,,
score_family_functioning_truthfulness,phenx_family_functioning_systematic_clinical_outcome_routine,,radio,People often don't tell each other the truth in my family,"1,Describes us: Very well|2,Describes us: Well|3,Describes us: Partly|4,Describes us: Not well|5,Describes us: Not at all",PX662102,,,,,,,,,,
score_family_functioning_respect,phenx_family_functioning_systematic_clinical_outcome_routine,,radio,Each of us gets listened to in our family,"1,Describes us: Very well|2,Describes us: Well|3,Describes us: Partly|4,Describes us: Not well|5,Describes us: Not at all",PX662102,,,,,,,,,,
score_family_functioning_disagreement,phenx_family_functioning_systematic_clinical_outcome_routine,,radio,It feels risky to disagree in our family,"1,Describes us: Very well|2,Describes us: Well|3,Describes us: Partly|4,Describes us: Not well|5,Describes us: Not at all",PX662102,,,,,,,,,,
score_family_functioning_everyday_problems,phenx_family_functioning_systematic_clinical_outcome_routine,,radio,We find it hard to deal with everyday problems,"1,Describes us: Very well|2,Describes us: Well|3,Describes us: Partly|4,Describes us: Not well|5,Describes us: Not at all",PX662102,,,,,,,,,,
score_family_functioning_trust,phenx_family_functioning_systematic_clinical_outcome_routine,,radio,We trust each other,"1,Describes us: Very well|2,Describes us: Well|3,Describes us: Partly|4,Describes us: Not well|5,Describes us: Not at all",PX662102,,,,,,,,,,
score_family_functioning_miserable,phenx_family_functioning_systematic_clinical_outcome_routine,,radio,It feels miserable in our family,"1,Describes us: Very well|2,Describes us: Well|3,Describes us: Partly|4,Describes us: Not well|5,Describes us: Not at all",PX662102,,,,,,,,,,
score_family_functioning_anger,phenx_family_functioning_systematic_clinical_outcome_routine,,radio,When people in my family get angry they ignore each other on purpose,"1,Describes us: Very well|2,Describes us: Well|3,Describes us: Partly|4,Describes us: Not well|5,Describes us: Not at all",PX662102,,,,,,,,,,
score_family_functioning_crisis,phenx_family_functioning_systematic_clinical_outcome_routine,,radio,We seem to go from one crisis to another in my family,"1,Describes us: Very well|2,Describes us: Well|3,Describes us: Partly|4,Describes us: Not well|5,Describes us: Not at all",PX662102,,,,,,,,,,
score_family_functioning_upset,phenx_family_functioning_systematic_clinical_outcome_routine,,radio,When one of us is upset they get looked after within the family,"1,Describes us: Very well|2,Describes us: Well|3,Describes us: Partly|4,Describes us: Not well|5,Describes us: Not at all",PX662102,,,,,,,,,,
score_family_functioning_chaos,phenx_family_functioning_systematic_clinical_outcome_routine,,radio,Things always seem to go wrong for my family,"1,Describes us: Very well|2,Describes us: Well|3,Describes us: Partly|4,Describes us: Not well|5,Describes us: Not at all",PX662102,,,,,,,,,,
score_family_functioning_nasty,phenx_family_functioning_systematic_clinical_outcome_routine,,radio,People in the family are nasty to each other,"1,Describes us: Very well|2,Describes us: Well|3,Describes us: Partly|4,Describes us: Not well|5,Describes us: Not at all",PX662102,,,,,,,,,,
score_family_functioning_interference,phenx_family_functioning_systematic_clinical_outcome_routine,,radio,People in my family interfere too much in each other's lives,"1,Describes us: Very well|2,Describes us: Well|3,Describes us: Partly|4,Describes us: Not well|5,Describes us: Not at all",PX662102,,,,,,,,,,
score_family_functioning_blame,phenx_family_functioning_systematic_clinical_outcome_routine,,radio,In my family we blame each other when things go wrong,"1,Describes us: Very well|2,Describes us: Well|3,Describes us: Partly|4,Describes us: Not well|5,Describes us: Not at all",PX662102,,,,,,,,,,
score_family_functioning_difficult_situations,phenx_family_functioning_systematic_clinical_outcome_routine,,radio,We are good at finding new ways to deal with things that are difficult,"1,Describes us: Very well|2,Describes us: Well|3,Describes us: Partly|4,Describes us: Not well|5,Describes us: Not at all",PX662102,,,,,,,,,,
