Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?
health_wellness_before_pregnancy_physical_health,phenx_health_and_wellness_before,,radio,In the 3 Months Before Pregnancy: How would you describe your physical health (including physical illness and Injury?,"UNDEFINED_CODE,Excellent|UNDEFINED_CODE_1,Very Good|UNDEFINED_CODE_2,Good|UNDEFINED_CODE_3,Fair|UNDEFINED_CODE_4,Poor|UNDEFINED_CODE_5,Declined|UNDEFINED_CODE_6,Don't Know",PX241101,,,,,,,,,,
health_wellness_during_pregnancy_physical_health,phenx_health_and_wellness_before,,radio,During Pregnancy: How would you describe your physical health (including physical illness and Injury?,"UNDEFINED_CODE,Excellent|UNDEFINED_CODE_1,Very Good|UNDEFINED_CODE_2,Good|UNDEFINED_CODE_3,Fair|UNDEFINED_CODE_4,Poor|UNDEFINED_CODE_5,Declined|UNDEFINED_CODE_6,Don't Know",PX241101,,,,,,,,,,
health_wellness_after_pregnancy_physical_health,phenx_health_and_wellness_before,,radio,During Your Child?s First Year of Life: How would you describe your physical health (including physical illness and Injury?,"UNDEFINED_CODE,Excellent|UNDEFINED_CODE_1,Very Good|UNDEFINED_CODE_2,Good|UNDEFINED_CODE_3,Fair|UNDEFINED_CODE_4,Poor|UNDEFINED_CODE_5,Declined|UNDEFINED_CODE_6,Don't Know",PX241101,,,,,,,,,,
health_wellness_before_pregnancy_mental_health,phenx_health_and_wellness_before,,radio,"In the 3 Months Before Pregnancy: How would you describe your mental health (including stress, depression, and problems with emotion)?","UNDEFINED_CODE,Excellent|UNDEFINED_CODE_1,Very Good|UNDEFINED_CODE_2,Good|UNDEFINED_CODE_3,Fair|UNDEFINED_CODE_4,Poor|UNDEFINED_CODE_5,Declined|UNDEFINED_CODE_6,Don't Know",PX241101,,,,,,,,,,
health_wellness_during_pregnancy_mental_health,phenx_health_and_wellness_before,,radio,"During Pregnancy: How would you describe your mental health (including stress, depression, and problems with emotion)?","UNDEFINED_CODE,Excellent|UNDEFINED_CODE_1,Very Good|UNDEFINED_CODE_2,Good|UNDEFINED_CODE_3,Fair|UNDEFINED_CODE_4,Poor|UNDEFINED_CODE_5,Declined|UNDEFINED_CODE_6,Don't Know",PX241101,,,,,,,,,,
health_wellness_after_pregnancy_mental_health,phenx_health_and_wellness_before,,radio,"During Your Child?s First Year of Life: How would you describe your mental health (including stress, depression, and problems with emotion)?","UNDEFINED_CODE,Excellent|UNDEFINED_CODE_1,Very Good|UNDEFINED_CODE_2,Good|UNDEFINED_CODE_3,Fair|UNDEFINED_CODE_4,Poor|UNDEFINED_CODE_5,Declined|UNDEFINED_CODE_6,Don't Know",PX241101,,,,,,,,,,
health_wellness_before_pregnancy_poor_health,phenx_health_and_wellness_before,,radio,"In the 3 Months Before Pregnancy: How often did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","UNDEFINED_CODE,Excellent|UNDEFINED_CODE_1,Very Good|UNDEFINED_CODE_2,Good|UNDEFINED_CODE_3,Fair|UNDEFINED_CODE_4,Poor|UNDEFINED_CODE_5,Declined|UNDEFINED_CODE_6,Don't Know",PX241101,,,,,,,,,,
health_wellness_during_pregnancy_poor_health,phenx_health_and_wellness_before,,radio,"During Pregnancy: How often did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","UNDEFINED_CODE,Excellent|UNDEFINED_CODE_1,Very Good|UNDEFINED_CODE_2,Good|UNDEFINED_CODE_3,Fair|UNDEFINED_CODE_4,Poor|UNDEFINED_CODE_5,Declined|UNDEFINED_CODE_6,Don't Know",PX241101,,,,,,,,,,
health_wellness_after_pregnancy_poor_health,phenx_health_and_wellness_before,,radio,"During Your Child?s First Year of Life: How often did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","UNDEFINED_CODE,Excellent|UNDEFINED_CODE_1,Very Good|UNDEFINED_CODE_2,Good|UNDEFINED_CODE_3,Fair|UNDEFINED_CODE_4,Poor|UNDEFINED_CODE_5,Declined|UNDEFINED_CODE_6,Don't Know",PX241101,,,,,,,,,,
health_wellness_before_pregnancy_loss_control,phenx_health_and_wellness_before,,radio,In the 3 Months Before Pregnancy: How often did you feel that you were unable to control the important things in your life?,"UNDEFINED_CODE,Excellent|UNDEFINED_CODE_1,Very Good|UNDEFINED_CODE_2,Good|UNDEFINED_CODE_3,Fair|UNDEFINED_CODE_4,Poor|UNDEFINED_CODE_5,Declined|UNDEFINED_CODE_6,Don't Know",PX241101,,,,,,,,,,
health_wellness_during_pregnancy_loss_control,phenx_health_and_wellness_before,,radio,During Pregnancy: How often did you feel that you were unable to control the important things in your life?,"UNDEFINED_CODE,Excellent|UNDEFINED_CODE_1,Very Good|UNDEFINED_CODE_2,Good|UNDEFINED_CODE_3,Fair|UNDEFINED_CODE_4,Poor|UNDEFINED_CODE_5,Declined|UNDEFINED_CODE_6,Don't Know",PX241101,,,,,,,,,,
health_wellness_after_pregnancy_loss_control,phenx_health_and_wellness_before,,radio,During Your Child?s First Year of Life: How often did you feel that you were unable to control the important things in your life?,"UNDEFINED_CODE,Excellent|UNDEFINED_CODE_1,Very Good|UNDEFINED_CODE_2,Good|UNDEFINED_CODE_3,Fair|UNDEFINED_CODE_4,Poor|UNDEFINED_CODE_5,Declined|UNDEFINED_CODE_6,Don't Know",PX241101,,,,,,,,,,
