Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?
substances_lifetime_use_read_list,phenx_substances_lifetime_use,,radio,"Have you EVER used any of these medicines or drugs? Read list. (If ""YES"" to any drug category, ask: Which ones?) Record specific drug(s) used. ","Yes,Classify as ever (drug) use|No,Classify as non (drug) user",PX031102,,,,,,,,,,
substances_lifetime_use_sedatives,phenx_substances_lifetime_use,,radio,"Have you EVER used any of these medicines or drugs? Sedatives or tranquilizers, for example - barbs, downers, Ami-bee-en, Lunesta, phenobarbital, pentobarbital, Hali-see-on, Tuinal, Nembutal, Seconal, Librium, Valium, Xanax, benzodiayzi-a-peens, tranks, Ativan.","Yes,Classify as ever (drug) use|No,Classify as non (drug) user",PX031102,,,,,,,,,,
substances_lifetime_use_painkillers,phenx_substances_lifetime_use,,radio,"Have you EVER used any of these medicines or drugs? Painkillers, for example - methadone, codeine, Demerol, Vyi-ko-din, Oxi-koni-tin, opium, oxy, Peri-ko-set, Dill-oddi-id, Peri-ko-dan, morphine.","Yes,Classify as ever (drug) use|No,Classify as non (drug) user",PX031102,,,,,,,,,,
substances_lifetime_use_mariwaina,phenx_substances_lifetime_use,,radio,"Have you EVER used any of these medicines or drugs? Mariwai-na, including THC, for example - weed, pot, dope, hashish, Mary Jane, joint, blunt.","Yes,Classify as ever (drug) use|No,Classify as non (drug) user",PX031102,,,,,,,,,,
substances_lifetime_use_cocaine,phenx_substances_lifetime_use,,radio,"Have you EVER used any of these medicines or drugs? Cocaine or crack, for example - blow, rock, snow.","Yes,Classify as ever (drug) use|No,Classify as non (drug) user",PX031102,,,,,,,,,,
substances_lifetime_use_stimulants,phenx_substances_lifetime_use,,radio,"Have you EVER used any of these medicines or drugs? Stimulants, for example - Addi-erall, Concerta, Syi-lert, Pro-vigi-il, Ritalin or Dexedrine, speed, amphetamine, methamphetamine, uppers, bennies, pep pills, crystal, crank.","Yes,Classify as ever (drug) use|No,Classify as non (drug) user",PX031102,,,,,,,,,,
substances_lifetime_use_club_drugs,phenx_substances_lifetime_use,,radio,"Have you EVER used any of these medicines or drugs? Club drugs, for example - MDMA, ecstasy, GHB, Ro-hipi-nol, ketti-amine, Special K, XTC, roofies.","Yes,Classify as ever (drug) use|No,Classify as non (drug) user",PX031102,,,,,,,,,,
substances_lifetime_use_hallucinogens,phenx_substances_lifetime_use,,radio,"Have you EVER used any of these medicines or drugs? Hallucinogens, for example - LSD, acid, PCP, mescaline, pay-oi-tee, sillosyi-bin, mushrooms, angel dust, cactus.","Yes,Classify as ever (drug) use|No,Classify as non (drug) user",PX031102,,,,,,,,,,
substances_lifetime_use_inhalants_,phenx_substances_lifetime_use,,radio,"Have you EVER used any of these medicines or drugs? Inhalants or solvents, for example - nitrous oxide, lighter fluid, gasoline, cleaning fluid, glue, poppers, whippets.","Yes,Classify as ever (drug) use|No,Classify as non (drug) user",PX031102,,,,,,,,,,
substances_lifetime_use_heroin,phenx_substances_lifetime_use,,radio,"Have you EVER used any of these medicines or drugs? Heroin, for example - smack, black tar, poppy. ","Yes,Classify as ever (drug) use|No,Classify as non (drug) user",PX031102,,,,,,,,,,
substances_lifetime_use_other,phenx_substances_lifetime_use,,radio,"Have you EVER used any of these medicines or drugs? Any OTHER medicines or drugs, for example - steroids, Elavil, Thoarazine, or Haldol.","Yes,Classify as ever (drug) use|No,Classify as non (drug) user",PX031102,,,,,,,,,,
substances_lifetime_use_classify_user,phenx_substances_lifetime_use,,radio,Is at least one category marked in 1a?,"1,Yes - Classify as ever (drug) user|2,No - Classify as non (drug) user",PX031102,,,,,,,,,,
