Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?
drug_availability_desc,phenx_perceived_availability_of_illegal_drugs_and_alcohol,,descriptive,How difficult do you think it would be for you to get the following drug if you wanted some? (Mark one circle) ,,PX550302,,,,,,,,,,
drug_availability_marijuana,phenx_perceived_availability_of_illegal_drugs_and_alcohol,,radio,"Marijuana (pot, weed)","1,Probably Impossible|2,Very Difficult|3,Fairly Difficult|4,Fairly Easy|5,Very Easy|8,Can't Say, Drug Unfamiliar",PX550302,,,,,,,,,,
drug_availability_lsd,phenx_perceived_availability_of_illegal_drugs_and_alcohol,,radio,LSD,"1,Probably Impossible|2,Very Difficult|3,Fairly Difficult|4,Fairly Easy|5,Very Easy|8,Can't Say, Drug Unfamiliar",PX550302,,,,,,,,,,
drug_availability_pcp,phenx_perceived_availability_of_illegal_drugs_and_alcohol,,radio,PCP (angel dust),"1,Probably Impossible|2,Very Difficult|3,Fairly Difficult|4,Fairly Easy|5,Very Easy|8,Can't Say, Drug Unfamiliar",PX550302,,,,,,,,,,
drug_availability_mdma,phenx_perceived_availability_of_illegal_drugs_and_alcohol,,radio,MDMA (ecstasy),"1,Probably Impossible|2,Very Difficult|3,Fairly Difficult|4,Fairly Easy|5,Very Easy|8,Can't Say, Drug Unfamiliar",PX550302,,,,,,,,,,
drug_availability_amphetamines,phenx_perceived_availability_of_illegal_drugs_and_alcohol,,radio,"Amphetamines (uppers, pep pills, bennies, speed)","1,Probably Impossible|2,Very Difficult|3,Fairly Difficult|4,Fairly Easy|5,Very Easy|8,Can't Say, Drug Unfamiliar",PX550302,,,,,,,,,,
drug_availability_sedatives,phenx_perceived_availability_of_illegal_drugs_and_alcohol,,radio,Sedatives/barbiturates (downers),"1,Probably Impossible|2,Very Difficult|3,Fairly Difficult|4,Fairly Easy|5,Very Easy|8,Can't Say, Drug Unfamiliar",PX550302,,,,,,,,,,
drug_availability_tranquilizers,phenx_perceived_availability_of_illegal_drugs_and_alcohol,,radio,"Tranquilizers (Librium, Valium, Xanax, etc.)","1,Probably Impossible|2,Very Difficult|3,Fairly Difficult|4,Fairly Easy|5,Very Easy|8,Can't Say, Drug Unfamiliar",PX550302,,,,,,,,,,
drug_availability_crack,phenx_perceived_availability_of_illegal_drugs_and_alcohol,,radio,Crack cocaine,"1,Probably Impossible|2,Very Difficult|3,Fairly Difficult|4,Fairly Easy|5,Very Easy|8,Can't Say, Drug Unfamiliar",PX550302,,,,,,,,,,
drug_availability_cocaine,phenx_perceived_availability_of_illegal_drugs_and_alcohol,,radio,Cocaine in powder form,"1,Probably Impossible|2,Very Difficult|3,Fairly Difficult|4,Fairly Easy|5,Very Easy|8,Can't Say, Drug Unfamiliar",PX550302,,,,,,,,,,
drug_availability_heroin,phenx_perceived_availability_of_illegal_drugs_and_alcohol,,radio,Heroin,"1,Probably Impossible|2,Very Difficult|3,Fairly Difficult|4,Fairly Easy|5,Very Easy|8,Can't Say, Drug Unfamiliar",PX550302,,,,,,,,,,
drug_availability_other_narcotic,phenx_perceived_availability_of_illegal_drugs_and_alcohol,,radio,"Some other narcotic (codeine, Vicodin, OxyContin, Percocet, etc.)","1,Probably Impossible|2,Very Difficult|3,Fairly Difficult|4,Fairly Easy|5,Very Easy|8,Can't Say, Drug Unfamiliar",PX550302,,,,,,,,,,
drug_availability_crystal_meth,phenx_perceived_availability_of_illegal_drugs_and_alcohol,,radio,Crystal meth (ice),"1,Probably Impossible|2,Very Difficult|3,Fairly Difficult|4,Fairly Easy|5,Very Easy|8,Can't Say, Drug Unfamiliar",PX550302,,,,,,,,,,
drug_availability_steroids,phenx_perceived_availability_of_illegal_drugs_and_alcohol,,radio,Steroids (anabolic steroids),"1,Probably Impossible|2,Very Difficult|3,Fairly Difficult|4,Fairly Easy|5,Very Easy|8,Can't Say, Drug Unfamiliar",PX550302,,,,,,,,,,
drug_availability_cigarettes,phenx_perceived_availability_of_illegal_drugs_and_alcohol,,radio,Cigarettes,"1,Probably Impossible|2,Very Difficult|3,Fairly Difficult|4,Fairly Easy|5,Very Easy|8,Can't Say, Drug Unfamiliar",PX550302,,,,,,,,,,
drug_availability_alcohol,phenx_perceived_availability_of_illegal_drugs_and_alcohol,,radio,Alcohol,"1,Probably Impossible|2,Very Difficult|3,Fairly Difficult|4,Fairly Easy|5,Very Easy|8,Can't Say, Drug Unfamiliar",PX550302,,,,,,,,,,
