Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?
expectancies_alcohol_sex,phenx_expectancies_alcohol,,radio,to enjoy sex more.,"1,Disagree|2,Slightly Disagree|3,Slightly Agree|4,Agree",PX520406,,,,,,,,,,
expectancies_alcohol_courage,phenx_expectancies_alcohol,,radio,to be courageous.,"1,Disagree|2,Slightly Disagree|3,Slightly Agree|4,Agree",PX520406,,,,,,,,,,
expectancies_alcohol_calm,phenx_expectancies_alcohol,,radio,to feel calm.,"1,Disagree|2,Slightly Disagree|3,Slightly Agree|4,Agree",PX520406,,,,,,,,,,
expectancies_alcohol_lover,phenx_expectancies_alcohol,,radio,to be a better lover.,"1,Disagree|2,Slightly Disagree|3,Slightly Agree|4,Agree",PX520406,,,,,,,,,,
expectancies_alcohol_sociable,phenx_expectancies_alcohol,,radio,to act sociable.,"1,Disagree|2,Slightly Disagree|3,Slightly Agree|4,Agree",PX520406,,,,,,,,,,
expectancies_alcohol_converse,phenx_expectancies_alcohol,,radio,to talk to people more easily.,"1,Disagree|2,Slightly Disagree|3,Slightly Agree|4,Agree",PX520406,,,,,,,,,,
expectancies_alcohol_peaceful,phenx_expectancies_alcohol,,radio,to feel peaceful.,"1,Disagree|2,Slightly Disagree|3,Slightly Agree|4,Agree",PX520406,,,,,,,,,,
expectancies_alcohol_brave,phenx_expectancies_alcohol,,radio,to be brave and daring.,"1,Disagree|2,Slightly Disagree|3,Slightly Agree|4,Agree",PX520406,,,,,,,,,,
expectancies_alcohol_risks,phenx_expectancies_alcohol,,radio,to take risks.,"1,Disagree|2,Slightly Disagree|3,Slightly Agree|4,Agree",PX520406,,,,,,,,,,
expectancies_alcohol_dizzy,phenx_expectancies_alcohol,,radio,to feel dizzy.,"1,Disagree|2,Slightly Disagree|3,Slightly Agree|4,Agree",PX520406,,,,,,,,,,
expectancies_alcohol_moody,phenx_expectancies_alcohol,,radio,to feel moody.,"1,Disagree|2,Slightly Disagree|3,Slightly Agree|4,Agree",PX520406,,,,,,,,,,
expectancies_alcohol_clumsy,phenx_expectancies_alcohol,,radio,to clumsy.,"1,Disagree|2,Slightly Disagree|3,Slightly Agree|4,Agree",PX520406,,,,,,,,,,
expectancies_alcohol_loud,phenx_expectancies_alcohol,,radio,"to be loud, boisterous, or noisy.","1,Disagree|2,Slightly Disagree|3,Slightly Agree|4,Agree",PX520406,,,,,,,,,,
expectancies_alcohol_aggressive,phenx_expectancies_alcohol,,radio,to act aggressively.,"1,Disagree|2,Slightly Disagree|3,Slightly Agree|4,Agree",PX520406,,,,,,,,,,
expectancies_alcohol_feelguilty,phenx_expectancies_alcohol,,radio,to feel guilty.,"1,Disagree|2,Slightly Disagree|3,Slightly Agree|4,Agree",PX520406,,,,,,,,,,
