Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?
recovery_selfassessment_provider_welcoming_staff,phenx_perception_of_recovery_orientation_and_care_quality_of_m,,radio,Staff make a concerted effort to welcome people in recovery and help them to feel comfortable in this Program.,"1,Strong disagree|2,|3,|4,|5,Strongly Agree|UNDEFINED_CODE,Not applicable|UNDEFINED_CODE_1,Don't know",PX661504,,,,,,,,,,
recovery_selfassessment_provider_facilities,phenx_perception_of_recovery_orientation_and_care_quality_of_m,,radio,"This program/agency offers an inviting and dignified physical environment (e.g., the lobby, waiting rooms, etc.).","1,Strong disagree|2,|3,|4,|5,Strongly Agree|UNDEFINED_CODE,Not applicable|UNDEFINED_CODE_1,Don't know",PX661504,,,,,,,,,,
recovery_selfassessment_provider_encouragement,phenx_perception_of_recovery_orientation_and_care_quality_of_m,,radio,Staff encourage program participants to have hope and high expectations for their recovery.,"1,Strong disagree|2,|3,|4,|5,Strongly Agree|UNDEFINED_CODE,Not applicable|UNDEFINED_CODE_1,Don't know",PX661504,,,,,,,,,,
recovery_selfassessment_provider_flexibility,phenx_perception_of_recovery_orientation_and_care_quality_of_m,,radio,Program participants can change their clinician or case manager if they wish.,"1,Strong disagree|2,|3,|4,|5,Strongly Agree|UNDEFINED_CODE,Not applicable|UNDEFINED_CODE_1,Don't know",PX661504,,,,,,,,,,
recovery_selfassessment_provider_treatment_records,phenx_perception_of_recovery_orientation_and_care_quality_of_m,,radio,Program participants can easily access their treatment records if they wish.,"1,Strong disagree|2,|3,|4,|5,Strongly Agree|UNDEFINED_CODE,Not applicable|UNDEFINED_CODE_1,Don't know",PX661504,,,,,,,,,,
recovery_selfassessment_provider_threats_bribes,phenx_perception_of_recovery_orientation_and_care_quality_of_m,,radio,"Staff do not use threats, bribes, or other forms of pressure to influence the behavior of program participants.","1,Strong disagree|2,|3,|4,|5,Strongly Agree|UNDEFINED_CODE,Not applicable|UNDEFINED_CODE_1,Don't know",PX661504,,,,,,,,,,
recovery_selfassessment_provider_staff_hopeful,phenx_perception_of_recovery_orientation_and_care_quality_of_m,,radio,Staff believe in the ability of program participants to recover.,"1,Strong disagree|2,|3,|4,|5,Strongly Agree|UNDEFINED_CODE,Not applicable|UNDEFINED_CODE_1,Don't know",PX661504,,,,,,,,,,
recovery_selfassessment_provider_symptoms,phenx_perception_of_recovery_orientation_and_care_quality_of_m,,radio,Staff believe that program participants have the ability to manage their own symptoms.,"1,Strong disagree|2,|3,|4,|5,Strongly Agree|UNDEFINED_CODE,Not applicable|UNDEFINED_CODE_1,Don't know",PX661504,,,,,,,,,,
recovery_selfassessment_provider_independence,phenx_perception_of_recovery_orientation_and_care_quality_of_m,,radio,"Staff believe that program participants can make their own life choices regarding things such as where to live, when to work, whom to be friends with, etc.","1,Strong disagree|2,|3,|4,|5,Strongly Agree|UNDEFINED_CODE,Not applicable|UNDEFINED_CODE_1,Don't know",PX661504,,,,,,,,,,
recovery_selfassessment_provider_decisions,phenx_perception_of_recovery_orientation_and_care_quality_of_m,,radio,Staff listen to and respect the decisions that program participants make about their treatment and care.,"1,Strong disagree|2,|3,|4,|5,Strongly Agree|UNDEFINED_CODE,Not applicable|UNDEFINED_CODE_1,Don't know",PX661504,,,,,,,,,,
recovery_selfassessment_provider_interests,phenx_perception_of_recovery_orientation_and_care_quality_of_m,,radio,Staff regularly ask program participants about their interests and the things they would like to do in the community.,"1,Strong disagree|2,|3,|4,|5,Strongly Agree|UNDEFINED_CODE,Not applicable|UNDEFINED_CODE_1,Don't know",PX661504,,,,,,,,,,
recovery_selfassessment_provider_risks,phenx_perception_of_recovery_orientation_and_care_quality_of_m,,radio,Staff encourage program participants to take risks and try new things.,"1,Strong disagree|2,|3,|4,|5,Strongly Agree|UNDEFINED_CODE,Not applicable|UNDEFINED_CODE_1,Don't know",PX661504,,,,,,,,,,
recovery_selfassessment_provider_cultural_acceptance,phenx_perception_of_recovery_orientation_and_care_quality_of_m,,radio,This program offers specific services that fit each participant’s unique culture and life experiences.,"1,Strong disagree|2,|3,|4,|5,Strongly Agree|UNDEFINED_CODE,Not applicable|UNDEFINED_CODE_1,Don't know",PX661504,,,,,,,,,,
recovery_selfassessment_provider_spiritual_needs,phenx_perception_of_recovery_orientation_and_care_quality_of_m,,radio,Staff offer participants opportunities to discuss their spiritual needs and interests when they wish.,"1,Strong disagree|2,|3,|4,|5,Strongly Agree|UNDEFINED_CODE,Not applicable|UNDEFINED_CODE_1,Don't know",PX661504,,,,,,,,,,
