Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?
height_in_feet,phenx_maximum_adult_height,,radio,ENTER HEIGHT IN FEET AND INCHES OR METERS AND CENTIMETERS,"1, FEET AND INCHES | 2, METERS AND CENTIMETERS | 3, REFUSED | 4, DON'T KNOW",PX020901,,,,,,,,,,
current_height_meters,phenx_maximum_adult_height,,text,How tall {are you/is [participant]} without shoes?,,meters | | PX020901,number,0,3,,[height_in_feet] = '2',,,,,
current_height_centimeters,phenx_maximum_adult_height,,text,How tall {are you/is [participant]} without shoes?,,centimeters | | PX020901,number,0,99,,[height_in_feet] = '2',,,,,
current_height_feet,phenx_maximum_adult_height,,text,How tall {are you/is [participant]} without shoes?,,Feet | | PX020901,number,2,8,,[height_in_feet] = '1',,,,,
current_height_inches,phenx_maximum_adult_height,,text,How tall {are you/is [participant]} without shoes?,,Inches | | PX020901,number,0,11,,[height_in_feet] = '1',,,,,
fifty_and_older,phenx_maximum_adult_height,,radio,respondent is 50 years and older?,"1, Yes | 2, No | 3, REFUSED | 4, DON'T KNOW",PX020901,,,,,,,,,,
age25_height_meters,phenx_maximum_adult_height,,text,"How tall {were you/was SP} at age 25? [If you don't know {your/his/her} exact height, please make your best guess.]",,meters | | PX020901,number,0,3,,[height_in_feet] = '2' and [fifty_and_older] = '1',,,,,
age25_height_centimeters,phenx_maximum_adult_height,,text,"How tall {were you/was SP} at age 25? [If you don't know {your/his/her} exact height, please make your best guess.]",,centimeters | | PX020901,number,0,99,,[height_in_feet] = '2' and [fifty_and_older] = '1',,,,,
age25_height_feet,phenx_maximum_adult_height,,text,"How tall {were you/was SP} at age 25? [If you don't know {your/his/her} exact height, please make your best guess.]",,Feet | | PX020901,number,2,8,,[height_in_feet] = '1' and [fifty_and_older] = '1',,,,,
age25_height_inches,phenx_maximum_adult_height,,text,"How tall {were you/was SP} at age 25? [If you don't know {your/his/her} exact height, please make your best guess.]",,Inches | | PX020901,number,0,11,,[height_in_feet] = '1' and [fifty_and_older] = '1',,,,,
age25_height_proxy_name,phenx_maximum_adult_height,,text,"When the question is being asked of a proxy respondent, insert the participant's name here",,PX020901,,,,,,,,,,
