Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?
regular_drinking_age,phenx_alcohol_lifetime_abuse_and_dependence,,text,"At what age did you begin to drink regularly; that is, drinking at least once a month for 6 months or more?",,PX030501,number,,,,,,,,,
regular_drinking_age_coded,phenx_alcohol_lifetime_abuse_and_dependence,,radio,"At what age did you begin to drink regularly; that is, drinking at least once a month for 6 months or more?","00 , IF NEVER|9 , DON'T KNOW / REFUSED",PX030501,,,,,,,,,,
first_drunk_age,phenx_alcohol_lifetime_abuse_and_dependence,,text,"How old were you the first time you got drunk, that is, your speech was slurred or you were unsteady on your feet?",,PX030501,number,,,,,,,,,
first_drunk_age_coded,phenx_alcohol_lifetime_abuse_and_dependence,,radio,"How old were you the first time you got drunk, that is, your speech was slurred or you were unsteady on your feet?","00 , IF NEVER|9 , DON'T KNOW / REFUSED",PX030501,,,,,,,,,,
largest_drinking_24hour,phenx_alcohol_lifetime_abuse_and_dependence,,text,"In your lifetime, what is the largest number of drinks you have ever had in a 24-hour period (including all types of alcohol)?",,PX030501,number,,,,,,,,,
largest_drinking_24hour_coded,phenx_alcohol_lifetime_abuse_and_dependence,,radio,"In your lifetime, what is the largest number of drinks you have ever had in a 24-hour period (including all types of alcohol)?","00, IF NEVER | 9, DON'T KNOW / REFUSED",PX030501,,,,,,,,,,
alcohol_tolerant,phenx_alcohol_lifetime_abuse_and_dependence,,radio,"Did you ever become tolerant to alcohol; that is, you drank a great deal more in order to get an effect, or found you could no longer get high on the amount you used to drink?","1 , NO|5 , YES|9 , DON'T KNOW / REFUSED",PX030501,,,,,[largest_drinking_24hour] > 3 or ([regular_drinking_age_coded] <> '00' or  [first_drunk_age_coded] <> '00'),,,,,
alcohol_half_increase_same_effect,phenx_alcohol_lifetime_abuse_and_dependence,,radio,WAS INCREASE 50% OR MORE?,"1 , NO|5 , YES|9 , DON'T KNOW / REFUSED",PX030501,,,,,[largest_drinking_24hour] > 3 or ([regular_drinking_age_coded] <> '00' or  [first_drunk_age_coded] <> '00') and [alcohol_tolerant] <> '1',,,,,
alcohol_more_get_drunk,phenx_alcohol_lifetime_abuse_and_dependence,,radio,Did you ever find you could drink a lot more before you got drunk?,"1 , NO|5 , YES|9 , DON'T KNOW / REFUSED",PX030501,,,,,[largest_drinking_24hour] > 3 or ([regular_drinking_age_coded] <> '00' or  [first_drunk_age_coded] <> '00'),,,,,
alcohol_half_increase_get_drunk,phenx_alcohol_lifetime_abuse_and_dependence,,radio,WAS INCREASE 50% OR MORE?,"1 , NO|5 , YES|9 , DON'T KNOW / REFUSED",PX030501,,,,,[largest_drinking_24hour] > 3 or ([regular_drinking_age_coded] <> '00' or  [first_drunk_age_coded] <> '00') and [alcohol_more_get_drunk] <> '1',,,,,
alcohol_withdrawal_3times,phenx_alcohol_lifetime_abuse_and_dependence,,radio,Have you 3 or more times wanted to stop or cut down on drinking?,"1 , NO|5 , YES|9 , DON'T KNOW / REFUSED",PX030501,,,,,[largest_drinking_24hour] > 3 or ([regular_drinking_age_coded] <> '00' or  [first_drunk_age_coded] <> '00'),,,,,
alcohol_cessation,phenx_alcohol_lifetime_abuse_and_dependence,,radio,Have you ever tried to stop or cut down on drinking?,"1 , NO|5 , YES|9 , DON'T KNOW / REFUSED",PX030501,,,,,[largest_drinking_24hour] > 3 or ([regular_drinking_age_coded] <> '00' or  [first_drunk_age_coded] <> '00'),,,,,
alcohol_withdrawal_failure_times,phenx_alcohol_lifetime_abuse_and_dependence,,text,5.2 How many times were you unable to stop or cut down?,,PX030501,number,,,,[largest_drinking_24hour] > 3 or ([regular_drinking_age_coded] <> '00' or  [first_drunk_age_coded] <> '00') and [alcohol_cessation] <> '1',,,,,
alcohol_withdrawal_failure_times_coded,phenx_alcohol_lifetime_abuse_and_dependence,,radio,How many times were you unable to stop or cut down?,"9 , DON'T KNOW / REFUSED",PX030501,,,,,[largest_drinking_24hour] > 3 or ([regular_drinking_age_coded] <> '00' or  [first_drunk_age_coded] <> '00') and [alcohol_cessation] <> '1',,,,,
alcohol_withdrawal_failure_3times,phenx_alcohol_lifetime_abuse_and_dependence,,radio,Was it 3 or more times?,"1 , NO|5 , YES|9 , DON'T KNOW / REFUSED",PX030501,,,,,[largest_drinking_24hour] > 3 or ([regular_drinking_age_coded] <> '00' or  [first_drunk_age_coded] <> '00') and [alcohol_withdrawal_failure_times_coded] <> '9' and [alcohol_withdrawal_failure_times] < 3,,,,,
alcohol_more_than_intended,phenx_alcohol_lifetime_abuse_and_dependence,,radio,"Have you ever started drinking at times you promised yourself that you wouldn't, or have you ever drunk more than you intended? For example, when you decided to drink 2 drinks and ended up drinking 4 or more?","1 , NO|5 , YES|9 , DON'T KNOW / REFUSED",PX030501,,,,,[largest_drinking_24hour] > 3 or ([regular_drinking_age_coded] <> '00' or  [first_drunk_age_coded] <> '00'),,,,,
alcohol_more_than_intended_3times,phenx_alcohol_lifetime_abuse_and_dependence,,radio,Did this happen 3 or more times?,"1 , NO|5 , YES|9 , DON'T KNOW / REFUSED",PX030501,,,,,[largest_drinking_24hour] > 3 or ([regular_drinking_age_coded] <> '00' or  [first_drunk_age_coded] <> '00') and [alcohol_more_than_intended] <> '1',,,,,
drunk_not_intended,phenx_alcohol_lifetime_abuse_and_dependence,,radio,Have you ever started drinking and become drunk when you didn't want to?,"1 , NO|5 , YES|9 , DON'T KNOW / REFUSED",PX030501,,,,,[largest_drinking_24hour] > 3 or ([regular_drinking_age_coded] <> '00' or  [first_drunk_age_coded] <> '00'),,,,,
drunk_not_intended_3times,phenx_alcohol_lifetime_abuse_and_dependence,,radio,Did this happen 3 or more times?,"1 , NO|5 , YES|9 , DON'T KNOW / REFUSED",PX030501,,,,,[largest_drinking_24hour] > 3 or ([regular_drinking_age_coded] <> '00' or  [first_drunk_age_coded] <> '00') and [drunk_not_intended] <> '1',,,,,
alcohol_use_interfere_activity,phenx_alcohol_lifetime_abuse_and_dependence,,radio,"Have you ever given up or greatly reduced important activities while drinking -- like sports, work, or associating with friends or relatives?","1 , NO|5 , YES|9 , DON'T KNOW / REFUSED",PX030501,,,,,[largest_drinking_24hour] > 3 or ([regular_drinking_age_coded] <> '00' or  [first_drunk_age_coded] <> '00'),,,,,
alcohol_use_interfere_activity_3times,phenx_alcohol_lifetime_abuse_and_dependence,,radio,Did this happen 3 or more times or for a month or more?,"1 , NO|5 , YES|9 , DON'T KNOW / REFUSED",PX030501,,,,,[largest_drinking_24hour] > 3 or ([regular_drinking_age_coded] <> '00' or  [first_drunk_age_coded] <> '00') and [alcohol_use_interfere_activity] <> '1',,,,,
alcohol_use_interfere_life,phenx_alcohol_lifetime_abuse_and_dependence,,radio,Has there ever been a period of several days or more when you spent so much time drinking or recovering from the effects of alcohol that you had little time for anything else?,"1 , NO|5 , YES|9 , DON'T KNOW / REFUSED",PX030501,,,,,[largest_drinking_24hour] > 3 or ([regular_drinking_age_coded] <> '00' or  [first_drunk_age_coded] <> '00'),,,,,
