Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?
child_care_quality_younger_anyone_caring_for_baby,phenx_child_care_quality_formal_and_informal_child_care_yo,,radio,Is anyone other than yourself caring for BABY on a regular basis? ,"UNDEFINED_CODE_1,Yes|UNDEFINED_CODE_2,No",PX300302,,,,,,,,,,
child_care_quality_younger_handling_child_care,phenx_child_care_quality_formal_and_informal_child_care_yo,,radio,How are you handing child care while you are (working/going to school)?,"1 , Work/study at home|2 , Take baby to work|3 , Other",PX300302,,,,,[child_care_quality_younger_anyone_caring_for_baby]='UNDEFINED_CODE_1',,,,,
child_care_quality_younger_handling_child_care_other,phenx_child_care_quality_formal_and_informal_child_care_yo,,text,"How are you handing child care while you are (working/going to school)? Other, specify",,PX300302,,,,,[child_care_quality_younger_handling_child_care]='3',,,,,
child_care_quality_younger_arrangement_1_who,phenx_child_care_quality_formal_and_informal_child_care_yo,,radio,What arrangements do you have? Who? Arrangement 1,"1 , Baby's father/mother's partner|2 , Baby's sibling under 18|3 , Another child under 18|4 , Baby's grandparent|5 , Other adult relative|6 , Friend or neighbor|7 , Unrelated adult(s)|8 , Other",PX300302,,,,,,,,,,
child_care_quality_younger_arrangement_1_sibling_age,phenx_child_care_quality_formal_and_informal_child_care_yo,,text,What arrangements do you have? Who? Arrangement 1 - Baby's sibling under 18: age ,,PX300302,number,,,,,,,,,
child_care_quality_younger_arrangement_1_other_child_age,phenx_child_care_quality_formal_and_informal_child_care_yo,,text,What arrangements do you have? Who? Arrangement 1 - Another child under 18: age,,PX300302,number,,,,,,,,,
child_care_quality_younger_arrangement_1_who_other,phenx_child_care_quality_formal_and_informal_child_care_yo,,text,"What arrangements do you have? Who? Arrangement 1 - Other, specify",,PX300302,,,,,[child_care_quality_younger_arrangement_1_who]='8',,,,,
child_care_quality_younger_arrangement_2_who,phenx_child_care_quality_formal_and_informal_child_care_yo,,radio,What arrangements do you have? Who? Arrangement 2,"1 , Baby's father/mother's partner|2 , Baby's sibling under 18|3 , Another child under 18|4 , Baby's grandparent|5 , Other adult relative|6 , Friend or neighbor|7 , Unrelated adult(s)|8 , Other",PX300302,,,,,,,,,,
child_care_quality_younger_arrangement_2_sibling_age,phenx_child_care_quality_formal_and_informal_child_care_yo,,text,What arrangements do you have? Who? Arrangement 2 - Baby's sibling under 18: age ,,PX300302,number,,,,,,,,,
child_care_quality_younger_arrangement_2_other_child_age,phenx_child_care_quality_formal_and_informal_child_care_yo,,text,What arrangements do you have? Who? Arrangement 2 - Another child under 18: age,,PX300302,number,,,,,,,,,
