Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?
pxt150202_gender,phenx_integrated_fitness_older_adult_protocol,,radio,Participant's gender,"UNDEFINED_CODE,Male|UNDEFINED_CODE_1,Female",PX150202,,,,,,,,,,
number_chair_stands,phenx_integrated_fitness_older_adult_protocol,30-Second Chair Stand,text,Total number of stands executed in 30 seconds,,PX150202,number,,,,,,,,,
inst1_150202,phenx_integrated_fitness_older_adult_protocol,,descriptive,"Purpose. To assess lower body strength. Image of Chair StandEquipment. Stopwatch, straight-back or folding chair (without arms), height approximately 17 in. For safety purposes, the chair should be placed against a wall or in some other way stabilized to prevent it from moving during the test. Protocol. The test begins with the participant seated in the middle of the chair, back straight and feet flat on the floor. Arms are crossed at the wrists and held against the chest. On the signal ""go"" the participant rises to a full stand and then returns to a fully seated position. The participant is encouraged to complete as many full stands as possible within 30 s. After a demonstration by the tester, a practice trial of one to three repetitions should be done to check for proper form, followed by one 30 s test trial. Scoring. The score is the total number of stands executed correctly within 30 s. If the participant is more than half-way up at the end of 30 s, it counts as a full stand.",,PX150202,,,,,,,,,,
integrated_fitness_older_adult_001,phenx_integrated_fitness_older_adult_protocol,,descriptive,,,PX150202,,,,,,,,,,
inst2_150202,phenx_integrated_fitness_older_adult_protocol,Arm Curl,descriptive,"Purpose. To assess upper body strength. Equipment. Wristwatch with second hand; straight-back or folding chair (without arms), hand weights (dumbbells-5 lb for women, 8 lb for men). Image of Arm CurlProtocol. The participant is seated on a chair, back straight and feet flat on the floor, with the dominant side of the body close to the side edge of the chair. The weight is held at the side in the dominant hand (handshake grip). The test begins with the arm down beside the chair, perpendicular to the floor. At the signal ""go"" the participant turns the palm up while curling the arm through a full range of motion and then returns to the fully extended position. At the down position the weight should have returned to the handshake grip position. The examiner kneels (or sits in a chair) next to the participant on the dominant-arm side, placing his or her fingers on the person's mid-biceps to prevent the upper arm from moving and to ensure that a full curl is made (participant's forearm should squeeze examiner's fingers). It is important that the participant's upper arm remain stabilized (still) throughout the test. The examiner may also need to position his or her other hand behind the participant's elbow so that the participant will know when full extension has been reached, as well as to prevent a back-swinging motion of the arm. The participant is encouraged to execute as many curls as possible within the 30 s time limit. After a demonstration by the examiner, a practice trial of one or two repetitions should be given to check for proper form, followed by one 30 s trial. Scoring. The score is the total number of curls made correctly within 30 s. If the arm is more than halfway up at the end of the 30 s, it counts as a curl. ",,PX150202,,,,,,,,,,
integrated_fitness_older_adult_002,phenx_integrated_fitness_older_adult_protocol,,descriptive,,,PX150202,,,,,,,,,,
number_curls,phenx_integrated_fitness_older_adult_protocol,,text,Total number of curls made correctly within 30 seconds,,PX150202,number,,,,,,,,,
inst3_150202,phenx_integrated_fitness_older_adult_protocol,6-Minute Walk,descriptive,"Purpose. To assess aerobic endurance. Equipment. Stopwatch, long measuring tape, cones, popsicle sticks, chalk, masking tape (or some other type of marker). For safety purposes, chairs should be positioned at several points alongside the walkway. Set-Up. The test involves assessing the maximum distance that can be walked in 6 min along a 50 yd course marked into 5 yd segments (see Figure A1). ",,PX150202,,,,,,,,,,
integrated_fitness_older_adult_003,phenx_integrated_fitness_older_adult_protocol,,descriptive,,,PX150202,,,,,,,,,,
inst4_150202,phenx_integrated_fitness_older_adult_protocol,,descriptive,"Figure A1 50 yd measured into 5 yd segments. The inside perimeter of the measured distance should be marked with cones, and the 5 yd segments with masking tape or chalk. The walking area, which can be indoors or outdoors, should be well lit, with a nonslippery, level surface. Protocol. To keep track of distance walked, a popsicle stick (or similar object) can be given to the participant each time he or she rounds a cone, or a partner can mark a score card each time a lap is completed. Two or more participants should be tested at a time, with starting times staggered (10 s apart) so that participants do not walk in clusters or pairs. When testing several people at once, numbers should be placed on the participants to indicate the order of starting and stopping. On the signal ""go,"" participants are instructed to walk as fast as possible (not run) around the course as many times as they can in 6 min. If necessary, participants may stop and rest (on provided chairs), then resume walking. The timer should move to the inside of the marked area after everyone has started. To assist with pacing, elapsed time should be called out when participants are approximately half done, when 2 min are left, and when 1 min is left. Encouragement phrases such as ""you are doing well"" and ""keep up the good work"" should be called out at approximately 30-s. intervals. At the end of 6 min, participants (staggered every 10 s) are instructed to stop and move to the right, where an assistant will record their score. To assist with proper pacing and to improve scoring accuracy, a practice test should be given prior to the actual test day.

Safety. The test should be discontinued if at any time a participant shows signs of dizziness, pain, nausea, or undue fatigue. At the end of the test each participant should slowly walk around for about a minute to cool down.

Scoring. The score is the total number of yards walked in 6 min, to the nearest 5 yd. The test administrator or aide records the nearest 5 yd mark.",,PX150202,,,,,,,,,,
