Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?
arm_for_measurement,phenx_midupper_arm_circumference,,radio,Arm used to measure mid upper arm circumference.,"UNDEFINED_CODE,Right|UNDEFINED_CODE_1,Left",centimeters | | PX021101,,,,,,,,,,
mid_upper_arm_circumference_exhibit1,phenx_midupper_arm_circumference,,descriptive,Mid Upper Arm Circumference - image 1-4,,PX021101,,,,,,,,,,
mid_upper_arm_circumference_exhibit5,phenx_midupper_arm_circumference,,descriptive,Mid Upper Arm Circumference - image 5,,PX021101,,,,,,,,,,
arm_length_1,phenx_midupper_arm_circumference,,text,Distance from the spine extending from acromion process to tip of the olecranon process measured to the nearest 0.1 centimeter.,,centimeters | | PX021101,,1,100,,,,,,,
arm_midpoint_1,phenx_midupper_arm_circumference,,text,Midpoint of the distance from the spine extending from acromion process to tip of the olecranon process measured to the nearest 0.1 centimeter.,,centimeters | | PX021101,,1,100,,,,,,,
mid_upper_arm_circumference_1,phenx_midupper_arm_circumference,,text,Arm circumference measured at the midpoint of the distance from the spine extending from acromion process to tip of the olecranon process measured to the nearest 0.1 centimeter.,,centimeters | | PX021101,,1,100,,,,,,,
arm_length_2,phenx_midupper_arm_circumference,,text,Distance from the spine extending from acromion process to tip of the olecranon process measured to the nearest 0.1 centimeter.,,centimeters | | PX021101,,1,100,,,,,,,
arm_midpoint_2,phenx_midupper_arm_circumference,,text,Midpoint of the distance from the spine extending from acromion process to tip of the olecranon process measured to the nearest 0.1 centimeter.,,centimeters | | PX021101,,1,100,,,,,,,
mid_upper_arm_circumference_2,phenx_midupper_arm_circumference,,text,Arm circumference measured at the midpoint of the distance from the spine extending from acromion process to tip of the olecranon process measured to the nearest 0.1 centimeter.,,centimeters | | PX021101,,1,100,,,,,,,
arm_length_3,phenx_midupper_arm_circumference,,text,Distance from the spine extending from acromion process to tip of the olecranon process measured to the nearest 0.1 centimeter,,centimeters | | PX021101,,1,100,,,,,,,
arm_midpoint_3,phenx_midupper_arm_circumference,,text,Midpoint of the distance from the spine extending from acromion process to tip of the olecranon process measured to the nearest 0.1 centimeter,,centimeters | | PX021101,,1,100,,,,,,,
mid_upper_arm_circumference_3,phenx_midupper_arm_circumference,,text,Arm circumference measured at the midpoint of the distance from the spine extending from acromion process to tip of the olecranon process measured to the nearest 0.1 centimeter,,centimeters | | PX021101,,1,100,,,,,,,
mid_upper_arm_circumference_average,phenx_midupper_arm_circumference,,text,Average arm circumference measured at the midpoint of the distance from the spine extending from acromion process to tip of the olecranon process recorded to the nearest 0.1 centimeter,,centimeters | | PX021101,,1,100,,,,,,,
