Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?
menstrual_period_first_age,phenx_ovulation_history,,text,Age at First Menstrual Period?,,PX070501,number,,,,,,,,,
menstrual_period_within_last_year,phenx_ovulation_history,,radio,Have you had a menstrual period within the last year?,"UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No",PX070501,,,,,,,,,,
menstrual_period_last_age,phenx_ovulation_history,,text,Age at last menstrual period?,,PX070501,number,,,,[menstrual_period_within_last_year] = 'UNDEFINED_CODE_1',,,,,
menopause_cause,phenx_ovulation_history,,radio,Cause of Menopause?,"UNDEFINED_CODE,natural|UNDEFINED_CODE_1,chemotherapy, medication induced|UNDEFINED_CODE_2,surgery on reproductive organs|UNDEFINED_CODE_3,other",PX070501,,,,,[menstrual_period_within_last_year] = 'UNDEFINED_CODE_1',,,,,
menopause_cause_other,phenx_ovulation_history,,text,Cause of Menopause?,,PX070501,,,,,[menstrual_period_within_last_year] = 'UNDEFINED_CODE_1',,,,,
ever_pregnancy,phenx_ovulation_history,,radio,Have you ever been pregnant?,"UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No",PX070501,,,,,,,,,,
pregnancy_end_date_1,phenx_ovulation_history,,text,Date of End of Preg?,,PX070501,date_mdy,,,,[ever_pregnancy] = 'UNDEFINED_CODE',,,,,
pregnancy_outcome_1,phenx_ovulation_history,,radio,Outcome of Pregnancy?,"UNDEFINED_CODE,Live birth|UNDEFINED_CODE_1,Still born|UNDEFINED_CODE_2,Miscarriage|UNDEFINED_CODE_3,Induced abortion",PX070501,,,,,[ever_pregnancy] = 'UNDEFINED_CODE',,,,,
pregnancy_outcome_number_birth_1,phenx_ovulation_history,,text,Number of birth?,,PX070501,number,,,,[ever_pregnancy] = 'UNDEFINED_CODE',,,,,
breast_feeding_1,phenx_ovulation_history,,radio,Breast Feeding?,"UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No",PX070501,,,,,[ever_pregnancy] = 'UNDEFINED_CODE',,,,,
