Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?
body_image_gender_5,phenx_body_image,,radio,Male or female pictures presented/chosen for the age of 5.,"1 , Male|2 , Female",PX020401,,,,,,,,,,
collins_child_female_images_1,phenx_body_image,,descriptive,Collins Child Female - image,,PX020401,,,,,,,,,,
collins_child_male_1,phenx_body_image,,descriptive,Collins Child Male - image,,PX020401,,,,,,,,,,
body_image_5,phenx_body_image,,radio,Choose the picture that most closely resembles your (or your child's) body shape at the age of 5.,"UNDEFINED_CODE,1|UNDEFINED_CODE_1,1.5|UNDEFINED_CODE_2,2|UNDEFINED_CODE_3,2.5|UNDEFINED_CODE_4,3|UNDEFINED_CODE_5,3.5|UNDEFINED_CODE_6,4|UNDEFINED_CODE_7,4.5|UNDEFINED_CODE_8,5|UNDEFINED_CODE_9,5.5|UNDEFINED_CODE_10,6|UNDEFINED_CODE_11,6.5|UNDEFINED_CODE_12,7|9.9 , N/A",PX020401,,,,,,,,,,
body_image_5_scale,phenx_body_image,,radio,Scale Used for Child Body Image.,"UNDEFINED_CODE,Collins Child Scale",PX020401,,,,,,,,,,
body_image_gender_10,phenx_body_image,,radio,Male or female pictures presented/chosen for the age of 10.,"1 , Male|2 , Female",PX020401,,,,,,,,,,
body_image_10,phenx_body_image,,radio,Choose the picture that most closely resembles your (or your child's) body shape at the age of 10.,"UNDEFINED_CODE,1|UNDEFINED_CODE_1,1.5|UNDEFINED_CODE_2,2|UNDEFINED_CODE_3,2.5|UNDEFINED_CODE_4,3|UNDEFINED_CODE_5,3.5|UNDEFINED_CODE_6,4|UNDEFINED_CODE_7,4.5|UNDEFINED_CODE_8,5|UNDEFINED_CODE_9,5.5|UNDEFINED_CODE_10,6|UNDEFINED_CODE_11,6.5|UNDEFINED_CODE_12,7|9.9 , N/A",PX020401,,,,,,,,,,
body_image_10_scale,phenx_body_image,,radio,Scale Used for Child Body Image.,"UNDEFINED_CODE,Collins Child Scale",PX020401,,,,,,,,,,
body_image_gender_20,phenx_body_image,,radio,Male or female pictures presented/chosen for the age of 20.,"1 , Male|2 , Female",PX020401,,,,,,,,,,
stunkard_adult_female_images_1,phenx_body_image,,descriptive,Stunkard Adult female - image,,PX020401,,,,,,,,,,
stunkard_adult_male_images,phenx_body_image,,descriptive,Stunkard Adult male - image,,PX020401,,,,,,,,,,
collins_adult_female_images_1,phenx_body_image,,descriptive,Collins Adult female - image,,PX020401,,,,,,,,,,
collins_adult_male_images_1,phenx_body_image,,descriptive,Collins Adult male - image,,PX020401,,,,,,,,,,
african_american_female_images,phenx_body_image,,descriptive,Pulvers African American female - image,,PX020401,,,,,,,,,,
african_american_male_images_1,phenx_body_image,,descriptive,Pulvers African American male - image,,PX020401,,,,,,,,,,
body_image_20,phenx_body_image,,radio,Choose the picture that most closely resembles your body shape at the age of 20.,"UNDEFINED_CODE,1|UNDEFINED_CODE_1,1.5|UNDEFINED_CODE_2,2|UNDEFINED_CODE_3,2.5|UNDEFINED_CODE_4,3|UNDEFINED_CODE_5,3.5|UNDEFINED_CODE_6,4|UNDEFINED_CODE_7,4.5|UNDEFINED_CODE_8,5|UNDEFINED_CODE_9,5.5|UNDEFINED_CODE_10,6|UNDEFINED_CODE_11,6.5|UNDEFINED_CODE_12,7|UNDEFINED_CODE_13,7.5|UNDEFINED_CODE_14,8|UNDEFINED_CODE_15,8.5|UNDEFINED_CODE_16,9|9.9 , N/A",PX020401,,,,,,,,,,
body_image_20_scale,phenx_body_image,,radio,Scale Used for Adult Body Image.,"1 , Collins Adult Scale|2 , Stunkard Adult Scale|3 , Pulvers African American Scale",PX020401,,,,,,,,,,
body_image_gender_30,phenx_body_image,,radio,Male or female pictures presented/chosen for the age of 30.,"1 , Male|2 , Female",PX020401,,,,,,,,,,
body_image_30,phenx_body_image,,radio,Choose the picture that most closely resembles your body shape at the age of 30.,"UNDEFINED_CODE,1|UNDEFINED_CODE_1,1.5|UNDEFINED_CODE_2,2|UNDEFINED_CODE_3,2.5|UNDEFINED_CODE_4,3|UNDEFINED_CODE_5,3.5|UNDEFINED_CODE_6,4|UNDEFINED_CODE_7,4.5|UNDEFINED_CODE_8,5|UNDEFINED_CODE_9,5.5|UNDEFINED_CODE_10,6|UNDEFINED_CODE_11,6.5|UNDEFINED_CODE_12,7|UNDEFINED_CODE_13,7.5|UNDEFINED_CODE_14,8|UNDEFINED_CODE_15,8.5|UNDEFINED_CODE_16,9|9.9 , N/A",PX020401,,,,,,,,,,
body_image_30_scale,phenx_body_image,,radio,Scale Used for Adult Body Image.,"1 , Collins Adult Scale|2 , Stunkard Adult Scale|3 , Pulvers African American Scale",PX020401,,,,,,,,,,
body_image_gender_40,phenx_body_image,,radio,Male or female pictures presented/chosen for the age of 40.,"1 , Male|2 , Female",PX020401,,,,,,,,,,
body_image_40,phenx_body_image,,radio,Choose the picture that most closely resembles your body shape at the age of 40.,"UNDEFINED_CODE,1|UNDEFINED_CODE_1,1.5|UNDEFINED_CODE_2,2|UNDEFINED_CODE_3,2.5|UNDEFINED_CODE_4,3|UNDEFINED_CODE_5,3.5|UNDEFINED_CODE_6,4|UNDEFINED_CODE_7,4.5|UNDEFINED_CODE_8,5|UNDEFINED_CODE_9,5.5|UNDEFINED_CODE_10,6|UNDEFINED_CODE_11,6.5|UNDEFINED_CODE_12,7|UNDEFINED_CODE_13,7.5|UNDEFINED_CODE_14,8|UNDEFINED_CODE_15,8.5|UNDEFINED_CODE_16,9|9.9 , N/A",PX020401,,,,,,,,,,
body_image_40_scale,phenx_body_image,,radio,Scale Used for Adult Body Image.,"1 , Collins Adult Scale|2 , Stunkard Adult Scale|3 , Pulvers African American Scale",PX020401,,,,,,,,,,
body_image_gender_current_age,phenx_body_image,,radio,Male or female pictures presented/chosen currently.,"1 , Male|2 , Female",PX020401,,,,,,,,,,
body_image_current_age,phenx_body_image,,radio,Choose the picture that most closely resembles your body shape currently.,"UNDEFINED_CODE,1|UNDEFINED_CODE_1,1.5|UNDEFINED_CODE_2,2|UNDEFINED_CODE_3,2.5|UNDEFINED_CODE_4,3|UNDEFINED_CODE_5,3.5|UNDEFINED_CODE_6,4|UNDEFINED_CODE_7,4.5|UNDEFINED_CODE_8,5|UNDEFINED_CODE_9,5.5|UNDEFINED_CODE_10,6|UNDEFINED_CODE_11,6.5|UNDEFINED_CODE_12,7|UNDEFINED_CODE_13,7.5|UNDEFINED_CODE_14,8|UNDEFINED_CODE_15,8.5|UNDEFINED_CODE_16,9|9.9 , N/A",PX020401,,,,,,,,,,
body_image_current_age_scale,phenx_body_image,,radio,Scale Used for Adult Body Image.,"1 , Collins Adult Scale|2 , Stunkard Adult Scale|3 , Pulvers African American Scale",PX020401,,,,,,,,,,
body_image_collins_scale,phenx_body_image,,descriptive,Collins Scale - image,,PX020401,,,,,,,,,,
body_image_stunkard_scale,phenx_body_image,,descriptive,Stunkard Scale or Pulvers - image,,PX020401,,,,,,,,,,
body_image_collins_child_1,phenx_body_image,,descriptive,Participant's Children CHILD 1 - image,,PX020401,,,,,,,,,,
body_image_collins_child_2,phenx_body_image,,descriptive,Participant's Children CHILD 2 - image,,PX020401,,,,,,,,,,
