Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?
pxt50601_milk_frequency,phenx_fiber_intake,,radio,"During the past month... How often did you have MILK, either to drink or on cereal? Do NOT include small amounts of milk in coffee or tea.  *Read if necessary: Do NOT include cream or soy milk. INCLUDE skim, no-fat, low-fat, whole milk, buttermilk, and lactose-free milk. Also INCLUDE chocolate or other flavored milks.","00 , Never|01 , 1-3 times last month|02 , 1-2 times per week|03 , 3-4 times per week|04 , 5-6 times per week|05 , 1 time per day|06 , 2 times per day|07 , 3 times per day|08 , 4 times per day|09 , 5 or more times per day|97 , Refused|99 , Don't know",PX050601,,,,,,,,,,
pxt50601_soda_frequency,phenx_fiber_intake,,radio,"During the past month, how often did you drink regular, carbonated SODA OR SOFT DRINKS that contain sugar? Do NOT include diet soda.  *Read if necessary: Do NOT include diet or sugar-free fruit drinks. Do NOT include juices or tea in cans. DO NOT include diet mineral water or diet flavored waters.","00 , Never|01 , 1-3 times last month|02 , 1-2 times per week|03 , 3-4 times per week|04 , 5-6 times per week|05 , 1 time per day|06 , 2 times per day|07 , 3 times per day|08 , 4 times per day|09 , 5 or more times per day|97 , Refused|99 , Don't know",PX050601,,,,,,,,,,
pxt50601_fruit_juice_frequency,phenx_fiber_intake,,radio,"During the past month, how often did you drink 100% FRUIT JUICE, such as orange, mango, apple, and grape juices? Do NOT count fruit drinks.  *Read if necessary: INCLUDE only 100% pure juices. Do NOT include fruit drinks with added sugar, like Kool-Aid®, Hi-C®, lemonade, cranberry cocktail, Gatorade®, Tampico®, and Sunny Delight®.","00, Never | 01, 1-3 times last month | 02, 1-2 times per week | 03, 3-4 times per week | 04, 5-6 times per week | 05, 1 time per day | 06, 2 times per day | 07, 3 times per day | 08, 4 times per day | 09, 5 or more times per day | 97, Refused | 99, Don't know",PX050601,,,,,,,,,,
pxt50601_fruit_flavored_drink_frequency,phenx_fiber_intake,,radio,"How often did you drink FRUIT-FLAVORED DRINKS with sugar (such as Kool-Aid®, Hi-C®, lemonade, or cranberry cocktail)? Do NOT include diet drinks.  *Read if necessary: INCLUDE Gatorade® and other sports drinks with added sugar. INCLUDE Tampico®, Sunny Delight®, and Twister®. Do NOT include 100% fruit juices or soda. Do NOT include yogurt drinks or carbonated water.","00, Never | 01, 1-3 times last month | 02, 1-2 times per week | 03, 3-4 times per week | 04, 5-6 times per week | 05, 1 time per day | 06, 2 times per day | 07, 3 times per day | 08, 4 times per day | 09, 5 or more times per day | 97, Refused | 99, Don't know",PX050601,,,,,,,,,,
pxt50601_fruit_frequency,phenx_fiber_intake,,radio,"During the past month... How often did you eat FRUIT? COUNT fresh, frozen, or canned fruit. Do NOT count juices.  *Read if necessary: Include fruits such as apples, bananas, applesauce, melon, berries, fruit salad, mangos, papayas, oranges, and grapes.","00 , Never|01 , 1-3 times last month|02 , 1-2 times per week|03 , 3-4 times per week|04 , 5-6 times per week|05 , 1 time per day|06 , 2 times per day|07 , 3 times per day|08 , 4 times per day|09 , 5 or more times per day|97 , Refused|99 , Don't know",PX050601,,,,,,,,,,
pxt50601_salad_frequency,phenx_fiber_intake,,radio,"During the past month, how often did you eat a green leafy or lettuce SALAD, with or without other vegetables?  *Read if necessary: INCLUDE spinach salads","00 , Never|01 , 1-3 times last month|02 , 1-2 times per week|03 , 3-4 times per week|04 , 5-6 times per week|05 , 1 time per day|06 , 2 times per day|07 , 3 times per day|08 , 4 times per day|09 , 5 or more times per day|97 , Refused|99 , Don't know",PX050601,,,,,,,,,,
pxt50601_french_fries_frequency,phenx_fiber_intake,,radio,"During the past month... How often did you eat FRENCH FRIES, home fries, or hash brown potatoes?","00 , Never|01 , 1-3 times last month|02 , 1-2 times per week|03 , 3-4 times per week|04 , 5-6 times per week|05 , 1 time per day|06 , 2 times per day|07 , 3 times per day|08 , 4 times per day|09 , 5 or more times per day|97 , Refused|99 , Don't know",PX050601,,,,,,,,,,
pxt50601_white_potato_frequency,phenx_fiber_intake,,radio,"During the past month... How often did you eat other WHITE POTATOES? COUNT baked potatoes, boiled potatoes, mashed potatoes, and potato salad.  *Read if necessary: Do NOT include yams or sweet potatoes. INCLUDE red-skinned and Yukon Gold potatoes","00, Never | 01, 1-3 times last month | 02, 1-2 times per week | 03, 3-4 times per week | 04, 5-6 times per week | 05, 1 time per day | 06, 2 times per day | 07, 3 times per day | 08, 4 times per day | 09, 5 or more times per day | 97, Refused | 99, Don't know",PX050601,,,,,,,,,,
pxt50601_bean_frequency,phenx_fiber_intake,,radio,"During the past month... How often did you eat COOKED DRIED BEANS, such as refried beans, baked beans, bean soup, and pork and beans? Do NOT include green beans.","00 , Never|01 , 1-3 times last month|02 , 1-2 times per week|03 , 3-4 times per week|04 , 5-6 times per week|05 , 1 time per day|06 , 2 times per day|07 , 3 times per day|08 , 4 times per day|09 , 5 or more times per day|97 , Refused|99 , Don't know",PX050601,,,,,,,,,,
pxt50601_other_vegetable_frequency,phenx_fiber_intake,,radio,"During the past month... Not counting what you just told me about (lettuce salads, white potatoes, cooked dried beans), and not counting rice, how often did you eat OTHER VEGETABLES?  *Read if necessary: Examples of other vegetables include tomatoes, string beans, carrots, corn, sweet potatoes, cabbage, bean sprouts, collard greens, and broccoli.","00 , Never|01 , 1-3 times last month|02 , 1-2 times per week|03 , 3-4 times per week|04 , 5-6 times per week|05 , 1 time per day|06 , 2 times per day|07 , 3 times per day|08 , 4 times per day|09 , 5 or more times per day|97 , Refused|99 , Don't know",PX050601,,,,,,,,,,
pxt50601_tomato_sauce_frequency,phenx_fiber_intake,,radio,During the past month... How often did you have TOMATO SAUCES such as spaghetti sauce or pizza with tomato sauce?,"00 , Never|01 , 1-3 times last month|02 , 1-2 times per week|03 , 3-4 times per week|04 , 5-6 times per week|05 , 1 time per day|06 , 2 times per day|07 , 3 times per day|08 , 4 times per day|09 , 5 or more times per day|97 , Refused|99 , Don't know",PX050601,,,,,,,,,,
pxt50601_salsa_frequency,phenx_fiber_intake,,radio,During the past month... How often did you have SALSA?,"00 , Never|01 , 1-3 times last month|02 , 1-2 times per week|03 , 3-4 times per week|04 , 5-6 times per week|05 , 1 time per day|06 , 2 times per day|07 , 3 times per day|08 , 4 times per day|09 , 5 or more times per day|97 , Refused|99 , Don't know",PX050601,,,,,,,,,,
pxt50601_whole_grain_bread_frequency,phenx_fiber_intake,,radio,"During the past month... How often did you eat WHOLE-GRAIN BREAD including toast, rolls and in sandwiches? Whole-grain breads include whole wheat, rye, oatmeal, and pumpernickel. Do NOT include white bread.  *Read if necessary: INCLUDE cracked wheat, multi-grain, and bran breads.","00, Never | 01, 1-3 times last month | 02, 1-2 times per week | 03, 3-4 times per week | 04, 5-6 times per week | 05, 1 time per day | 06, 2 times per day | 07, 3 times per day | 08, 4 times per day | 09, 5 or more times per day | 97, Refused | 99, Don't know",PX050601,,,,,,,,,,
pxt50601_doughnut_frequency,phenx_fiber_intake,,radio,"During the past month, how often did you eat DOUGHNUTS, sweet rolls, Danish, muffins, or Pop-Tarts®? Do NOT include sugar-free items.  *Read if necessary: INCLUDE low-fat kinds","00, Never | 01, 1-3 times last month | 02, 1-2 times per week | 03, 3-4 times per week | 04, 5-6 times per week | 05, 1 time per day | 06, 2 times per day | 07, 3 times per day | 08, 4 times per day | 09, 5 or more times per day | 97, Refused | 99, Don't know",PX050601,,,,,,,,,,
pxt50601_cookie_cake_pie_frequency,phenx_fiber_intake,,radio,"During the past month... How often did you eat COOKIES, CAKE, PIE, or BROWNIES? Do NOT include sugar-free kinds.  *Read if necessary: INCLUDE low-fat kinds. Do NOT include ice cream and other frozen desserts or candy.","00 , Never|01 , 1-3 times last month|02 , 1-2 times per week|03 , 3-4 times per week|04 , 5-6 times per week|05 , 1 time per day|06 , 2 times per day|07 , 3 times per day|08 , 4 times per day|09 , 5 or more times per day|97 , Refused|99 , Don't know",PX050601,,,,,,,,,,
pxt50601_cheese_frequency,phenx_fiber_intake,,radio,"During the past month... How often did you eat any kind of CHEESE? Include cheese as a snack, cheese on burgers, sandwiches, or pizza, and cheese mixed into such foods as lasagna, enchiladas, or casseroles.","00, Never | 01, 1-3 times last month | 02, 1-2 times per week | 03, 3-4 times per week | 04, 5-6 times per week | 05, 1 time per day | 06, 2 times per day | 07, 3 times per day | 08, 4 times per day | 09, 5 or more times per day | 97, Refused | 99, Don't know",PX050601,,,,,,,,,,
