Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?
frequency_sedatives,phenx_substances_30day_frequency,,text,"Think specifically about the past 30 days, from [DATEFILL] up to and including today. During the past 30 days, on how many days did you use sedatives?",,PX031301,number,0,30,,,,,,,
frequency_sedatives_coded,phenx_substances_30day_frequency,,radio,"Think specifically about the past 30 days, from [DATEFILL] up to and including today. During the past 30 days, on how many days did you use sedatives?","UNDEFINED_CODE,Don't know|UNDEFINED_CODE_1,Refused",PX031301,,,,,,,,,,
frequency_tranquilizers,phenx_substances_30day_frequency,,text,"Think specifically about the past 30 days, from [DATEFILL] up to and including today. During the past 30 days, on how many days did you use tranquilizers or anti-anxiety drugs?",,PX031301,number,0,30,,,,,,,
frequency_tranquilizers_coded,phenx_substances_30day_frequency,,radio,"Think specifically about the past 30 days, from [DATEFILL] up to and including today. During the past 30 days, on how many days did you use tranquilizers or anti-anxiety drugs?","UNDEFINED_CODE,Don't know|UNDEFINED_CODE_1,Refused",PX031301,,,,,,,,,,
frequency_painkillers,phenx_substances_30day_frequency,,text,"Think specifically about the past 30 days, from [DATEFILL] up to and including today. During the past 30 days, on how many days did you use painkillers?",,PX031301,number,0,30,,,,,,,
frequency_painkillers_coded,phenx_substances_30day_frequency,,radio,"Think specifically about the past 30 days, from [DATEFILL] up to and including today. During the past 30 days, on how many days did you use painkillers?","UNDEFINED_CODE,Don't know|UNDEFINED_CODE_1,Refused",PX031301,,,,,,,,,,
frequency_stimulants,phenx_substances_30day_frequency,,text,"Think specifically about the past 30 days, from [DATEFILL] up to and including today. During the past 30 days, on how many days did you use stimulants?",,PX031301,number,0,30,,,,,,,
frequency_stimulants_coded,phenx_substances_30day_frequency,,radio,"Think specifically about the past 30 days, from [DATEFILL] up to and including today. During the past 30 days, on how many days did you use stimulants?","UNDEFINED_CODE,Don't know|UNDEFINED_CODE_1,Refused",PX031301,,,,,,,,,,
frequency_marijuana,phenx_substances_30day_frequency,,text,"Think specifically about the past 30 days, from [DATEFILL] up to and including today. During the past 30 days, on how many days did you use marijuana or hashish?",,PX031301,number,0,30,,,,,,,
frequency_marijuana_coded,phenx_substances_30day_frequency,,radio,"Think specifically about the past 30 days, from [DATEFILL] up to and including today. During the past 30 days, on how many days did you use marijuana or hashish?","UNDEFINED_CODE,Don't know|UNDEFINED_CODE_1,Refused",PX031301,,,,,,,,,,
frequency_cocaine,phenx_substances_30day_frequency,,text,"Think specifically about the past 30 days, from [DATEFILL] up to and including today. During the past 30 days, on how many days did you use cocaine?",,PX031301,number,0,30,,,,,,,
frequency_cocaine_coded,phenx_substances_30day_frequency,,radio,"Think specifically about the past 30 days, from [DATEFILL] up to and including today. During the past 30 days, on how many days did you use cocaine?","UNDEFINED_CODE,Don't know|UNDEFINED_CODE_1,Refused",PX031301,,,,,,,,,,
frequency_crack,phenx_substances_30day_frequency,,text,"Think specifically about the past 30 days, from [DATEFILL] up to and including today. During the past 30 days, on how many days did you use crack?",,PX031301,number,0,30,,,,,,,
frequency_crack_coded,phenx_substances_30day_frequency,,radio,"Think specifically about the past 30 days, from [DATEFILL] up to and including today. During the past 30 days, on how many days did you use crack?","UNDEFINED_CODE,Don't know|UNDEFINED_CODE_1,Refused",PX031301,,,,,,,,,,
frequency_hallucinogens,phenx_substances_30day_frequency,,text,"Think specifically about the past 30 days, from [DATEFILL] up to and including today. During the past 30 days, on how many days did you use any hallucinogens?",,PX031301,number,0,30,,,,,,,
frequency_hallucinogens_coded,phenx_substances_30day_frequency,,radio,"Think specifically about the past 30 days, from [DATEFILL] up to and including today. During the past 30 days, on how many days did you use any hallucinogens?","UNDEFINED_CODE,Don't know|UNDEFINED_CODE_1,Refused",PX031301,,,,,,,,,,
frequency_inhalant,phenx_substances_30day_frequency,,text,"Think specifically about the past 30 days, from [DATEFILL] up to and including today. During the past 30 days, on how many days did you use any inhalant for kicks or to get high?",,PX031301,number,0,30,,,,,,,
frequency_inhalant_coded,phenx_substances_30day_frequency,,radio,"Think specifically about the past 30 days, from [DATEFILL] up to and including today. During the past 30 days, on how many days did you use any inhalant for kicks or to get high?","UNDEFINED_CODE,Don't know|UNDEFINED_CODE_1,Refused",PX031301,,,,,,,,,,
frequency_heroin,phenx_substances_30day_frequency,,text,"Think specifically about the past 30 days, from [DATEFILL] up to and including today. During the past 30 days, on how many days did you use any heroin?",,PX031301,number,0,30,,,,,,,
frequency_heroin_coded,phenx_substances_30day_frequency,,radio,"Think specifically about the past 30 days, from [DATEFILL] up to and including today. During the past 30 days, on how many days did you use any heroin?","UNDEFINED_CODE,Don't know|UNDEFINED_CODE_1,Refused",PX031301,,,,,,,,,,
frequency_other,phenx_substances_30day_frequency,,text,"Think specifically about the past 30 days, from [DATEFILL] up to and including today. During the past 30 days, on how many days did you use any other medicines or drugs or substances?",,PX031301,number,0,30,,,,,,,
frequency_other_coded,phenx_substances_30day_frequency,,radio,"Think specifically about the past 30 days, from [DATEFILL] up to and including today. During the past 30 days, on how many days did you use any other medicines or drugs or substances?","UNDEFINED_CODE,Don't know|UNDEFINED_CODE_1,Refused",PX031301,,,,,,,,,,
