Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?
first_use_age_sedatives,phenx_substances_age_of_first_use,,text,How old were you when you FIRST used Sedatives?,,Age in years | | PX031201,number,1,99,,,,,,,
first_use_age_tranquilizers,phenx_substances_age_of_first_use,,text,How old were you when you FIRST used Tranquilizers?,,Age in years | | PX031201,number,1,99,,,,,,,
first_use_age_painkillers,phenx_substances_age_of_first_use,,text,How old were you when you FIRST used Painkillers?,,Age in years | | PX031201,number,1,99,,,,,,,
first_use_age_stimulants,phenx_substances_age_of_first_use,,text,How old were you when you FIRST used Stimulants?,,Age in years | | PX031201,number,1,99,,,,,,,
first_use_age_marijuana,phenx_substances_age_of_first_use,,text,How old were you when you FIRST used Marijuana?,,Age in years | | PX031201,number,1,99,,,,,,,
first_use_age_cocaine,phenx_substances_age_of_first_use,,text,How old were you when you FIRST used Cocaine or Crack?,,Age in years | | PX031201,number,1,99,,,,,,,
first_use_age_hallucinogens,phenx_substances_age_of_first_use,,text,How old were you when you FIRST used Hallucinogens?,,Age in years | | PX031201,number,1,99,,,,,,,
first_use_age_inhalant,phenx_substances_age_of_first_use,,text,How old were you when you FIRST used Inhalant?,,Age in years | | PX031201,number,1,99,,,,,,,
first_use_age_heroin,phenx_substances_age_of_first_use,,text,How old were you when you FIRST used Heroin?,,Age in years | | PX031201,number,1,99,,,,,,,
first_use_age_other,phenx_substances_age_of_first_use,,text,How old were you when you FIRST used Other?,,Age in years | | PX031201,number,1,99,,,,,,,
