Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?
chest_x_ray,phenx_cancer_screenings,,radio,"During the past three years, have you had a chest x-ray?","UNDEFINED_CODE,No|UNDEFINED_CODE_1,Yes, once|UNDEFINED_CODE_2,Yes, more than once|UNDEFINED_CODE_3,Don't know",PX070901,,,,,,,,,,
blood_stool,phenx_cancer_screenings,,radio,"During the past three years, have you had a test for blood in the stool?","UNDEFINED_CODE,No|UNDEFINED_CODE_1,Yes, once|UNDEFINED_CODE_2,Yes, more than once|UNDEFINED_CODE_3,Don't know",PX070901,,,,,,,,,,
colonoscopy_sigmoidoscopy_barium_enema,phenx_cancer_screenings,,radio,"During the past three years, have you had a colonoscopy, sigmoidoscopy, or barium enema to examine the colon and rectum?","UNDEFINED_CODE,No|UNDEFINED_CODE_1,Yes, once|UNDEFINED_CODE_2,Yes, more than once|UNDEFINED_CODE_3,Don't know",PX070901,,,,,,,,,,
mammogram,phenx_cancer_screenings,Questions for Females Only,radio,"During the past three years, have you had a mammogram?","UNDEFINED_CODE,No|UNDEFINED_CODE_1,Yes, once|UNDEFINED_CODE_2,Yes, more than once|UNDEFINED_CODE_3,Don't know",PX070901,,,,,,,,,,
pap_smear,phenx_cancer_screenings,,radio,"During the past three years, have you had a pap smear?","UNDEFINED_CODE,No|UNDEFINED_CODE_1,Yes, once|UNDEFINED_CODE_2,Yes, more than once|UNDEFINED_CODE_3,Don't know",PX070901,,,,,,,,,,
pelvic_examination,phenx_cancer_screenings,,radio,"During the past three years, have you had a pelvic examination?","UNDEFINED_CODE,No|UNDEFINED_CODE_1,Yes, once|UNDEFINED_CODE_2,Yes, more than once|UNDEFINED_CODE_3,Don't know",PX070901,,,,,,,,,,
ovary_ultrasound_scan,phenx_cancer_screenings,,radio,"During the past three years, have you had an ultrasound or scan of your ovaries?","UNDEFINED_CODE,No|UNDEFINED_CODE_1,Yes, once|UNDEFINED_CODE_2,Yes, more than once|UNDEFINED_CODE_3,Don't know",PX070901,,,,,,,,,,
ovarian_cancer_blood_test_ca125,phenx_cancer_screenings,,radio,"During the past three years, have you had a blood test for ovarian cancer, for example, CA-125?","UNDEFINED_CODE,No|UNDEFINED_CODE_1,Yes, once|UNDEFINED_CODE_2,Yes, more than once|UNDEFINED_CODE_3,Don't know",PX070901,,,,,,,,,,
digital_rectal_examination_prostate,phenx_cancer_screenings,Questions for Males Only,radio,"During the past three years, have you had a digital rectal examination of the prostate?","UNDEFINED_CODE,No|UNDEFINED_CODE_1,Yes, once|UNDEFINED_CODE_2,Yes, more than once|UNDEFINED_CODE_3,Don't know",PX070901,,,,,,,,,,
prostate_cancer_blood_test_psa,phenx_cancer_screenings,,radio,"During the past three years, have you had a blood test for prostate cancer, for example, PSA?","UNDEFINED_CODE,No|UNDEFINED_CODE_1,Yes, once|UNDEFINED_CODE_2,Yes, more than once|UNDEFINED_CODE_3,Don't know",PX070901,,,,,,,,,,
