Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?
factor_nine_individual_clotting_extended_sample_collection,factor_nine_individual_clotting_extended,,radio,Were the sample collection procedures outlined in Lippi et al. (2012) to ensure quality specimens for coagulation testing followed?,"UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No",PX910902,,,,,,,,,,
factor_nine_individual_clotting_extended_winged_butterfly,factor_nine_individual_clotting_extended,,radio,Was a winged butterfly collection system used?,"UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No",PX910902,,,,,,,,,,
factor_nine_individual_clotting_extended_discard_tube,factor_nine_individual_clotting_extended,,radio,Was a discard tube drawn?,"UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No",PX910902,,,,,[factor_nine_individual_clotting_extended_winged_butterfly] = 'UNDEFINED_CODE',,,,,
factor_nine_individual_clotting_extended_sample_processing,factor_nine_individual_clotting_extended,,radio,Were the sample collection procedures outlined in Adcock Funk et al. (2012) followed?,"UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No",PX910902,,,,,,,,,,
factor_nine_individual_clotting_extended_sample_processing_capped_room_temp,factor_nine_individual_clotting_extended,,radio,Did unprocessed or processed sodium citrate samples remain capped and at room temperature until testing?,"UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No",PX910902,,,,,,,,,,
factor_nine_individual_clotting_extended_sample_processing_not_refrigerated_stored,factor_nine_individual_clotting_extended,,radio,Were samples refrigerated or stored on ice or in an ice bath?,"UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No",PX910902,,,,,,,,,,
factor_nine_individual_clotting_extended_sample_processing_not_transported_vertically,factor_nine_individual_clotting_extended,,radio,Were samples transported vertically?,"UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No",PX910902,,,,,,,,,,
factor_nine_individual_clotting_extended_sample_processing_not_agitated,factor_nine_individual_clotting_extended,,radio,Were samples agitated during transportation to avoid remixing of components?,"UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No",PX910902,,,,,,,,,,
factor_nine_individual_clotting_extended_sample_processing_transported_stored,factor_nine_individual_clotting_extended,,radio,Were procedures for samples transportation and storage followed?,"UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No",PX910902,,,,,,,,,,
factor_nine_individual_clotting_extended_sample_processing_unprocessed_sodium_citrate,factor_nine_individual_clotting_extended,,radio,Were samples transported and stored as unprocessed sodium citrate whole blood samples?,"UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No",PX910902,,,,,,,,,,
factor_nine_individual_clotting_extended_sample_processing_whole_blood_centrifuged,factor_nine_individual_clotting_extended,,radio,Were samples transported and stored as whole blood samples centrifuged and maintained in sodium citrate tubes?,"UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No",PX910902,,,,,,,,,,
factor_nine_individual_clotting_extended_sample_processing_plasma_processed_centrifugation,factor_nine_individual_clotting_extended,,radio,Were samples transported and stored as plasma processed by centrifugation and aliquoting into a second tube?,"UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No",PX910902,,,,,,,,,,
factor_nine_individual_clotting_extended_whole_blood_ppp,factor_nine_individual_clotting_extended,,radio,Were whole blood samples processed to platelet poor plasma (PPP) within 1 hour of collection?,"UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No",PX910902,,,,,[factor_nine_individual_clotting_extended_sample_processing_whole_blood_centrifuged] = 'UNDEFINED_CODE' or [factor_nine_individual_clotting_extended_sample_processing_plasma_processed_centrifugation] = 'UNDEFINED_CODE',,,,,
factor_nine_individual_clotting_extended_whole_blood_assayed,factor_nine_individual_clotting_extended,,radio,Were samples assayed within 4 hours of collection?,"UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No",PX910902,,,,,[factor_nine_individual_clotting_extended_sample_processing_whole_blood_centrifuged] = 'UNDEFINED_CODE' or [factor_nine_individual_clotting_extended_sample_processing_plasma_processed_centrifugation] = 'UNDEFINED_CODE',,,,,
factor_nine_individual_clotting_extended_centrifuge_validated,factor_nine_individual_clotting_extended,,radio,"Was the centrifuge validated so that process results in less than 10,000 platelets/microliter?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No",PX910902,,,,,[factor_nine_individual_clotting_extended_sample_processing_whole_blood_centrifuged] = 'UNDEFINED_CODE' or [factor_nine_individual_clotting_extended_sample_processing_plasma_processed_centrifugation] = 'UNDEFINED_CODE',,,,,
factor_nine_individual_clotting_extended_frozen_immediately,factor_nine_individual_clotting_extended,,radio,Were centrifuged samples frozen immedietely and stored at -20C for 2 weeks?,"UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No",PX910902,,,,,[factor_nine_individual_clotting_extended_sample_processing_whole_blood_centrifuged] = 'UNDEFINED_CODE' or [factor_nine_individual_clotting_extended_sample_processing_plasma_processed_centrifugation] = 'UNDEFINED_CODE',,,,,
factor_nine_individual_clotting_extended_transferred_storage,factor_nine_individual_clotting_extended,,radio,"Were samples transferred to < -70C for longer storage, including shipment?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No",PX910902,,,,,[factor_nine_individual_clotting_extended_sample_processing_whole_blood_centrifuged] = 'UNDEFINED_CODE' or [factor_nine_individual_clotting_extended_sample_processing_plasma_processed_centrifugation] = 'UNDEFINED_CODE',,,,,
factor_nine_individual_clotting_extended_one_stage_clotting_factor_assay,factor_nine_individual_clotting_extended,,radio,Were appropriate assays and instruments to perform the one-stage clotting factor assay chosen?,"UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No",PX910902,,,,,,,,,,
factor_nine_individual_clotting_extended_individual_pharmacokinetic_study,factor_nine_individual_clotting_extended,,radio,Did participants undergo a treatment-free washout period lasting longer than five half-lives?,"UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No",PX910902,,,,,,,,,,
factor_nine_individual_clotting_extended_interpretation_individual_pharmacokinetic_results,factor_nine_individual_clotting_extended,,radio,"Were results interpreted according to these guidelines? The half-life of Factor IX therapies is highly variable (see [Iorio, 2017]) and the level at which an inhibitor is suggested has not been established. ","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No",PX910902,,,,,,,,,,
