Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
patient_response_genetic_testing_result_record_id,phenx_patient_response_genetic_testing,,text,Record ID,,PX310901,,,,,,,,,,,
patient_response_genetic_testing_result_upset,phenx_patient_response_genetic_testing,,radio,(In the past week) How upset did you feel about your genetic test result?,"0, not at all|1, a little|2, somewhat|3, a good deal|4, a great deal",PX310901,,,,,,,,,,,
patient_response_genetic_testing_result_happy,phenx_patient_response_genetic_testing,,radio,(In the past week) How happy did you feel about your genetic test result?,"0, not at all|1, a little|2, somewhat|3, a good deal|4, a great deal",PX310901,,,,,,,,,,,
patient_response_genetic_testing_result_nervous,phenx_patient_response_genetic_testing,,radio,(In the past week) How anxious or nervous did you feel about your genetic test result?,"0, not at all|1, a little|2, somewhat|3, a good deal|4, a great deal",PX310901,,,,,,,,,,,
patient_response_genetic_testing_result_relief,phenx_patient_response_genetic_testing,,radio,(In the past week) How relieved did you feel about your genetic test result?,"0, not at all|1, a little|2, somewhat|3, a good deal|4, a great deal",PX310901,,,,,,,,,,,
patient_response_genetic_testing_result_sad,phenx_patient_response_genetic_testing,,radio,(In the past week) How sad did you feel about your genetic test result?,"0, not at all|1, a little|2, somewhat|3, a good deal|4, a great deal",PX310901,,,,,,,,,,,
patient_response_genetic_testing_result_recommended_care_frustrated,phenx_patient_response_genetic_testing,,radio,(In the past week) How frustrated did you feel about recommendations for your care based on the genetic test result?,"0, not at all|1, a little|2, somewhat|3, a good deal|4, a great deal",PX310901,,,,,,,,,,,
patient_response_genetic_testing_result_feel_uncertain,phenx_patient_response_genetic_testing,,radio,(In the past week) How uncertain did you feel about what your genetic test result means for you?,"0, not at all|1, a little|2, somewhat|3, a good deal|4, a great deal",PX310901,,,,,,,,,,,
patient_response_genetic_testing_result_feel_uncertain_family,phenx_patient_response_genetic_testing,,radio,(In the past week) How uncertain did you feel about what your genetic test result means for your child(ren) and/or family's risk of disease?,"0, not at all|1, a little|2, somewhat|3, a good deal|4, a great deal",PX310901,,,,,,,,,,,
patient_response_genetic_testing_result_understand_care_choice,phenx_patient_response_genetic_testing,,radio,(In the past week) How much did you feel that you understood clearly your choices for care based on the genetic test result?,"0, not at all|1, a little|2, somewhat|3, a good deal|4, a great deal",PX310901,,,,,,,,,,,
patient_response_genetic_testing_result_concern_affect_insurance,phenx_patient_response_genetic_testing,,radio,(In the past week) How concerned did you feel that your genetic test result would affect your ability to get or keep health insurance?,"0, not at all|1, a little|2, somewhat|3, a good deal|4, a great deal",PX310901,,,,,,,,,,,
patient_response_genetic_testing_result_helpful_planning_future,phenx_patient_response_genetic_testing,,radio,(In the past week) How helpful was the information you received from your genetic test result in planning for the future?,"0, not at all|1, a little|2, somewhat|3, a good deal|4, a great deal",PX310901,,,,,,,,,,,
patient_response_genetic_testing_result_concern_job,phenx_patient_response_genetic_testing,,radio,(In the past week) How concerned did you feel that your genetic test result might make it hard for you to get a job or keep a job?,"0, not at all|1, a little|2, somewhat|3, a good deal|4, a great deal",PX310901,,,,,,,,,,,
