Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?
hemophilia_specific_functional_ability_child_sitting_down,specific_functional_ability_child,,radio,"In the previous month, did you have any difficulty, due to hemophilia, with sitting down (e.g. on a chair or couch)?","1,impossible|2,always|3,mostly|4,sometimes|5,rarely|6,never",PX910801,,,,,,,,,,
hemophilia_specific_functional_ability_child_sitting_ground,specific_functional_ability_child,,radio,"In the previous month, did you have any difficulty, due to hemophilia, with sitting on the ground (e.g. when watching television or playing)?","1,impossible|2,always|3,mostly|4,sometimes|5,rarely|6,never",PX910801,,,,,,,,,,
hemophilia_specific_functional_ability_child_with_armrests,specific_functional_ability_child,,radio,"In the previous month, did you have any difficulty, due to hemophilia, with rising from a char with armrests?","1,impossible|2,always|3,mostly|4,sometimes|5,rarely|6,never",PX910801,,,,,,,,,,
hemophilia_specific_functional_ability_child_without_armrests,specific_functional_ability_child,,radio,"In the previous month, did you have any difficulty, due to hemophilia, with rising from a chair without armrests?","1,impossible|2,always|3,mostly|4,sometimes|5,rarely|6,never",PX910801,,,,,,,,,,
hemophilia_specific_functional_ability_child_kneeling,specific_functional_ability_child,,radio,"In the previous month, did you have any difficulty, due to hemophilia, with kneeling/squatting (bending your knees)?","1,impossible|2,always|3,mostly|4,sometimes|5,rarely|6,never",PX910801,,,,,,,,,,
hemophilia_specific_functional_ability_child_squatting_long_period,specific_functional_ability_child,,radio,"In the previous month, did you have any difficulty, due to hemophilia, with squatting for a long periods (knees not touching the ground)?","1,impossible|2,always|3,mostly|4,sometimes|5,rarely|6,never",PX910801,,,,,,,,,,
hemophilia_specific_functional_ability_child_bending_forward,specific_functional_ability_child,,radio,"In the previous month, did you have any difficulty, due to hemophilia, with bending over forwards?","1,impossible|2,always|3,mostly|4,sometimes|5,rarely|6,never",PX910801,,,,,,,,,,
hemophilia_specific_functional_ability_child_standing_short_period,specific_functional_ability_child,,radio,"In the previous month, did you have any difficulty, due to hemophilia, with standing still for a short period (less than 10 minutes; e.g., waiting in a queue in a shop)?","1,impossible|2,always|3,mostly|4,sometimes|5,rarely|6,never",PX910801,,,,,,,,,,
hemophilia_specific_functional_ability_child_standing_long_period,specific_functional_ability_child,,radio,"In the previous month, did you have any difficulty, due to hemophilia, with standing still for longer periods (from 10 minutes to 1 hour)?","1,impossible|2,always|3,mostly|4,sometimes|5,rarely|6,never",PX910801,,,,,,,,,,
hemophilia_specific_functional_ability_child_standing_extended_period,specific_functional_ability_child,,radio,"In the previous month, did you have any difficulty, due to hemophilia, with standing still for very long periods (more than 1 hour)?","1,impossible|2,always|3,mostly|4,sometimes|5,rarely|6,never",PX910801,,,,,,,,,,
hemophilia_specific_functional_ability_child_walking_short_distance,specific_functional_ability_child,,radio,"In the previous month, did you have any difficulty, due to hemophilia, with walking short distances (< 10 min)?","1,impossible|2,always|3,mostly|4,sometimes|5,rarely|6,never",PX910801,,,,,,,,,,
hemophilia_specific_functional_ability_child_walking_long_distance,specific_functional_ability_child,,radio,"In the previous month, did you have any difficulty, due to hemophilia, with walking long distances (10 min to 1 hour)?","1,impossible|2,always|3,mostly|4,sometimes|5,rarely|6,never",PX910801,,,,,,,,,,
hemophilia_specific_functional_ability_child_walking_soft_surface,specific_functional_ability_child,,radio,"In the previous month, did you have any difficulty, due to hemophilia, with walking on a soft surface (e.g., on the beach)?","1,impossible|2,always|3,mostly|4,sometimes|5,rarely|6,never",PX910801,,,,,,,,,,
