Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?
harm_smoke_daily,phenx_perceived_harm_of_substance_use,,radio,How much do people risk harming themselves physically and in other ways when they smoke one or more packs of cigarettes per day?,"1 , No Risk|2 , Slight Risk|3 , Moderate Risk|4 , Great Risk|UNDEFINED_CODE_4,DK/REF",PX0550401,,,,,,,,,,
harm_smoke_marijuana_monthly,phenx_perceived_harm_of_substance_use,,radio,How much do people risk harming themselves physically and in other ways when they smoke marijuana once a month?,"1 , No Risk|2 , Slight Risk|3 , Moderate Risk|4 , Great Risk|UNDEFINED_CODE_4,DK/REF",PX0550401,,,,,,,,,,
harm_marijuana_weekly,phenx_perceived_harm_of_substance_use,,radio,How much do people risk harming themselves physically and in other ways when they smoke marijuana once or twice a week?,"1 , No Risk|2 , Slight Risk|3 , Moderate Risk|4 , Great Risk|UNDEFINED_CODE_4,DK/REF",PX0550401,,,,,,,,,,
harm_lsd_once_or_twice,phenx_perceived_harm_of_substance_use,,radio,How much do people risk harming themselves physically and in other ways when they try LSD once or twice?,"1 , No Risk|2 , Slight Risk|3 , Moderate Risk|4 , Great Risk|UNDEFINED_CODE_4,DK/REF",PX0550401,,,,,,,,,,
harm_lsd_weekly,phenx_perceived_harm_of_substance_use,,radio,How much do people risk harming themselves physically and in other ways when they use LSD once or twice a week?,"1 , No Risk|2 , Slight Risk|3 , Moderate Risk|4 , Great Risk|UNDEFINED_CODE_4,DK/REF",PX0550401,,,,,,,,,,
harm_heroin_once_or_twice,phenx_perceived_harm_of_substance_use,,radio,How much do people risk harming themselves physically and in other ways when they try heroin once or twice?,"1 , No Risk|2 , Slight Risk|3 , Moderate Risk|4 , Great Risk|UNDEFINED_CODE_4,DK/REF",PX0550401,,,,,,,,,,
harm_heroin_weekly,phenx_perceived_harm_of_substance_use,,radio,How much do people risk harming themselves physically and in other ways when they use heroin once or twice a week?,"1 , No Risk|2 , Slight Risk|3 , Moderate Risk|4 , Great Risk|UNDEFINED_CODE_4,DK/REF",PX0550401,,,,,,,,,,
harm_cocaine_monthly,phenx_perceived_harm_of_substance_use,,radio,How much do people risk harming themselves physically and in other ways when they use cocaine once a month?,"1 , No Risk|2 , Slight Risk|3 , Moderate Risk|4 , Great Risk|UNDEFINED_CODE_4,DK/REF",PX0550401,,,,,,,,,,
harm_cocaine_weekly,phenx_perceived_harm_of_substance_use,,radio,How much do people risk harming themselves physically and in other ways when they use cocaine once or twice a week?,"1 , No Risk|2 , Slight Risk|3 , Moderate Risk|4 , Great Risk|UNDEFINED_CODE_4,DK/REF",PX0550401,,,,,,,,,,
harm_four_five_drinks_daily,phenx_perceived_harm_of_substance_use,,radio,How much do people risk harming themselves physically and in other ways when they have four or five drinks of an alcoholic beverage nearly every day?,"1 , No Risk|2 , Slight Risk|3 , Moderate Risk|4 , Great Risk|UNDEFINED_CODE_4,DK/REF",PX0550401,,,,,,,,,,
harm_fiveormore_drinks_weekly,phenx_perceived_harm_of_substance_use,,radio,How much do people risk harming themselves physically and in other ways when they have five or more drinks of an alcoholic beverage once or twice a week?,"1 , No Risk|2 , Slight Risk|3 , Moderate Risk|4 , Great Risk|UNDEFINED_CODE_4,DK/REF",PX0550401,,,,,,,,,,
