Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?
factor_eight_plasma_clotting_sample_collection,factor_eight_plasma_clotting,,radio,Were the sample collection procedures outlined in Lippi et al. (2012) followed to ensure quality specimens for coagulation testing?,"UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No",PX910302,,,,,,,,,,
factor_eight_plasma_clotting_sample_processing,factor_eight_plasma_clotting,,radio,Were the sample collection procedures outlined in Adcock Funk et al. (2012) followed?,"UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No",PX910302,,,,,,,,,,
factor_eight_plasma_clotting_sample_processing_capped_room_temp,factor_eight_plasma_clotting,,radio,Did unprocessed or processed sodium citrate samples remain capped and at room temperature until testing?,"UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No",PX910302,,,,,,,,,,
factor_eight_plasma_clotting_sample_processing_not_refrigerated_stored,factor_eight_plasma_clotting,,radio,Were samples refrigerated or stored on ice or in an ice bath?,"UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No",PX910302,,,,,,,,,,
factor_eight_plasma_clotting_sample_processing_not_transported_vertically,factor_eight_plasma_clotting,,radio,Were samples transported vertically?,"UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No",PX910302,,,,,,,,,,
factor_eight_plasma_clotting_sample_processing_not_agitated,factor_eight_plasma_clotting,,radio,Were samples agitated during transportation to avoid remixing of components?,"UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No",PX910302,,,,,,,,,,
factor_eight_plasma_clotting_sample_processing_transported_stored,factor_eight_plasma_clotting,,radio,Were procedures for samples transportation and storage followed?,"UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No",PX910302,,,,,,,,,,
factor_eight_plasma_clotting_sample_processing_unprocessed_sodium_citrate,factor_eight_plasma_clotting,,radio,Were samples transported and stored as unprocessed sodium citrate whole blood samples?,"UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No",PX910302,,,,,,,,,,
factor_eight_plasma_clotting_sample_processing_whole_blood_centrifuged,factor_eight_plasma_clotting,,radio,Were samples transported and stored as whole blood samples centrifuged and maintained in sodium citrate tubes?,"UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No",PX910302,,,,,,,,,,
factor_eight_plasma_clotting_sample_processing_plasma_processed_centrifugation,factor_eight_plasma_clotting,,radio,Were samples transported and stored as plasma processed by centrifugation and aliquoting into a second tube?,"UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No",PX910302,,,,,,,,,,
factor_eight_plasma_clotting_assay_one,factor_eight_plasma_clotting,,radio,Were appropriate assays and instruments to perform the one-stage clotting factor assay chosen?,"UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No",PX910302,,,,,,,,,,
factor_eight_plasma_clotting_interpretation_results_severe,factor_eight_plasma_clotting,,radio,Was a result < 1% of normal?,"UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No",PX910302,,,,,,,,,,
factor_eight_plasma_clotting_interpretation_results_moderate,factor_eight_plasma_clotting,,radio,Was a result > 1% and < 5% of normal?,"UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No",PX910302,,,,,,,,,,
factor_eight_plasma_clotting_interpretation_results_mild,factor_eight_plasma_clotting,,radio,Was a result > 5% of normal?,"UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No",PX910302,,,,,,,,,,
