Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?
desc1_21701,phenx_serial_pregnancy_weight_weights_abstracted_from_prenat,,descriptive,"Weights Abstracted from Prenatal and/or Labor and Delivery Charts

Most obstetric practices and prenatal clinics use a standardized form to chart prenatal course. The American Congress of Obstetricians and Gynecologists (ACOG, formerly the American College of Obstetricians and Gynecologists) has an Antenatal Record form that is periodically upgraded and available for its members. There are others, such as the POPRAS (Problem-Oriented Perinatal Risk Assessment System) or Hollister Maternal/Newborn Record System forms, which are also in common use. All of the standardized forms have places or spaces to report information on gestational age, pre-pregnancy weight, height, and weights measured during pregnancy at every prenatal visit and dates of examination, and these can be abstracted. For charts with only nurse/physician notes, measured weight should be recorded for each prenatal visit. For women carrying a singleton fetus, the expected schedule of prenatal visits suggested by ACOG is monthly through the 7th month (28 weeks), every 2-3 weeks through the 9th month (36 weeks), and weekly thereafter until delivery. Weight is occasionally measured at delivery and can be found in the labor and delivery chart along with the gestational age at delivery.",,PX021701,,,,,,,,,,
acog_form_b_21701,phenx_serial_pregnancy_weight_weights_abstracted_from_prenat,,descriptive,"An example of the relevant section of the ACOG Antenatal Record Form B (Initial Physical Exam) which charts date of exam, pre-pregnancy weight, and height:",,PX021701,,,,,,,,,,
acog_form_c_21701,phenx_serial_pregnancy_weight_weights_abstracted_from_prenat,,descriptive,An example of the relevant section of the ACOG Antenatal Record Form C which contains the date of the woman's last menstrual period (LMP) and estimated due date(s) (EDD) for establishing (or correcting) gestational age at each prenatal visit:,,PX021701,,,,,,,,,,
serialweights_prenatal_initialexamination_date,phenx_serial_pregnancy_weight_weights_abstracted_from_prenat,,text,What is the date of initial examination,,PX021701,date_mdy,,,,,,,,,
serialweights_prenatal_initialexamination_height,phenx_serial_pregnancy_weight_weights_abstracted_from_prenat,,text,What is the patient's height measured at initial examination?,,centimeters | | PX021701,,,,,,,,,,
serialweights_prenatal_initialexamination_weight,phenx_serial_pregnancy_weight_weights_abstracted_from_prenat,,text,What is the patient's weight measured at initial examination?,,kilograms | | PX021701,,,,,,,,,,
serialweights_prenatal_date_visit_2,phenx_serial_pregnancy_weight_weights_abstracted_from_prenat,,text,What is the date of the second prenatal examination?,,PX021701,date_mdy,,,,,,,,,
serialweights_prenatal_gestationalage_visit_2,phenx_serial_pregnancy_weight_weights_abstracted_from_prenat,,text,What is the patient's gestational age at the second prenatal examination?,,weeks | | PX021701,number,,,,,,,,,
serialweights_prenatal_height_visit_2,phenx_serial_pregnancy_weight_weights_abstracted_from_prenat,,text,What is the patient's height at the second prenatal examination?,,centimeters | | PX021701,,,,,,,,,,
serialweights_prenatal_weight_visit_2,phenx_serial_pregnancy_weight_weights_abstracted_from_prenat,,text,What is the patient's weight at the second prenatal examination?,,kilograms | | PX021701,,,,,,,,,,
serialweights_prenatal_date_visit_3,phenx_serial_pregnancy_weight_weights_abstracted_from_prenat,,text,What is the date of the third prenatal examination?,,PX021701,date_mdy,,,,,,,,,
serialweights_prenatal_gestationalage_visit_3,phenx_serial_pregnancy_weight_weights_abstracted_from_prenat,,text,What is the patient's gestational age at the third prenatal examination?,,weeks | | PX021701,number,,,,,,,,,
serialweights_prenatal_height_visit_3,phenx_serial_pregnancy_weight_weights_abstracted_from_prenat,,text,What is the patient's height at the third prenatal examination?,,centimeters | | PX021701,,,,,,,,,,
serialweights_prenatal_weight_visit_3,phenx_serial_pregnancy_weight_weights_abstracted_from_prenat,,text,What is the patient's weight at the third prenatal examination?,,kilograms | | PX021701,,,,,,,,,,
serialweights_prenatal_date_visit_4,phenx_serial_pregnancy_weight_weights_abstracted_from_prenat,,text,What is the date of the fourth prenatal examination?,,PX021701,date_mdy,,,,,,,,,
serialweights_prenatal_gestationalage_visit_4,phenx_serial_pregnancy_weight_weights_abstracted_from_prenat,,text,What is the patient's gestational age at the fourth prenatal examination?,,weeks | | PX021701,number,,,,,,,,,
serialweights_prenatal_height_visit_4,phenx_serial_pregnancy_weight_weights_abstracted_from_prenat,,text,What is the patient's height at the fourth prenatal examination?,,centimeters | | PX021701,,,,,,,,,,
serialweights_prenatal_weight_visit_4,phenx_serial_pregnancy_weight_weights_abstracted_from_prenat,,text,What is the patient's weight at the fourth prenatal examination?,,kilograms | | PX021701,,,,,,,,,,
serialweights_prenatal_date_visit_5,phenx_serial_pregnancy_weight_weights_abstracted_from_prenat,,text,What is the date of the fifth prenatal examination?,,PX021701,date_mdy,,,,,,,,,
serialweights_prenatal_gestationalage_visit_5,phenx_serial_pregnancy_weight_weights_abstracted_from_prenat,,text,What is the patient's gestational age at the fifth prenatal examination?,,weeks | | PX021701,number,,,,,,,,,
serialweights_prenatal_height_visit_5,phenx_serial_pregnancy_weight_weights_abstracted_from_prenat,,text,What is the patient's height at the fifth prenatal examination?,,centimeters | | PX021701,,,,,,,,,,
serialweights_prenatal_weight_visit_5,phenx_serial_pregnancy_weight_weights_abstracted_from_prenat,,text,What is the patient's weight at the fifth prenatal examination?,,kilograms | | PX021701,,,,,,,,,,
serialweights_prenatal_date_visit_6,phenx_serial_pregnancy_weight_weights_abstracted_from_prenat,,text,What is the date of the sixth prenatal examination?,,PX021701,date_mdy,,,,,,,,,
