Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
race_ethnicity_record_id,phenx_race_ethnicity,,text,Record ID,,PX011901,,,,,,,,,,,
race_ethnicity_hispanic,phenx_race_ethnicity,,radio,"Is Person 1 of Hispanic, Latino, or Spanish origin?","UNDEFINED_CODE, No, not of Hispanic, Latino, or Spanish origin|UNDEFINED_CODE_1, Yes, Mexican, Mexican Am., Chicano|UNDEFINED_CODE_2, Yes, Puerto Rican|UNDEFINED_CODE_3, Yes, Cuban|UNDEFINED_CODE_4, Yes, another Hispanic, Latino, or Spanish origin - Print, for example, Salvadoran, Dominican, Colombian, Guatemalan, Spaniard, Ecuadorian, etc.",PX011901,,,,,,,,,,,
race_ethnicity_hispanic_other,phenx_race_ethnicity,,text,"Is Person 1 of Hispanic, Latino, or Spanish origin? Print, for example, Salvadoran, Dominican, Colombian, Guatemalan, Spaniard, Ecuadorian, etc. (<a href=""https://www.phenxtoolkit.org/toolkit_content/supplemental_info/demographics/additional_info/Census2020_AllofU_Category_Mapping.doc"">Recommended specific choices</a>)",,PX011901,,,,,[race_ethnicity_hispanic]='UNDEFINED_CODE_4',,,,,,
race_ethnicity_person_race,phenx_race_ethnicity,,checkbox,What is person 1's race? Mark one or more boxes AND print origins.,"UNDEFINED_CODE,White - Print, for example, German, Irish, English, Italian, Lebanese, Egyptian, etc.|UNDEFINED_CODE_1,Black or African Am. - Print, for example, African American, Jamaican, Haitian, Nigerian, Ethiopian, Somali, etc. |UNDEFINED_CODE_2,American Indian or Alaska Native - Print name of enrolled or principal tribe(s), for example, Navajo Nation, Blackfeet Tribe, Mayan, Aztec, Native Village of Barrow Inupiat Traditional Government, Nome Eskimo Community, etc.|UNDEFINED_CODE_3,Chinese|UNDEFINED_CODE_4,Filipino|UNDEFINED_CODE_5,Asian Indian|UNDEFINED_CODE_6,Vietnamese|UNDEFINED_CODE_7,Korean|UNDEFINED_CODE_8,Japanese|UNDEFINED_CODE_9,Other Asian - Print, for example, Pakistani, Cambodian, Hmong, etc.|UNDEFINED_CODE_10,Native Hawaiian|UNDEFINED_CODE_11,Samoan|UNDEFINED_CODE_12,Chamorro|UNDEFINED_CODE_13,Other Pacific Islander - Print, for example, Tongan, Fijian, Marshallese, etc.|UNDEFINED_CODE_14,Some other race",PX011901,,,,,,,,,,,
race_ethnicity_person_race_origin_white,phenx_race_ethnicity,,text,"What is person 1's race? White - Print, for example, German, Irish, English, Italian, Lebanese, Egyptian, etc. (<a href=""https://www.phenxtoolkit.org/toolkit_content/supplemental_info/demographics/additional_info/Census2020_AllofU_Category_Mapping.doc"">Recommended specific choices</a>). Please specify origin:",,PX011901,,,,,[race_ethnicity_person_race(UNDEFINED_CODE)]='1',,,,,,
race_ethnicity_person_race_origin_black,phenx_race_ethnicity,,text,"What is person 1's race? Black or African Am. - Print, for example, African American, Jamaican, Haitian, Nigerian, Ethiopian, Somali, etc. (<a href=""https://www.phenxtoolkit.org/toolkit_content/supplemental_info/demographics/additional_info/Census2020_AllofU_Category_Mapping.doc"">Recommended specific choices</a>). Please specify origin:",,PX011901,,,,,[race_ethnicity_person_race(UNDEFINED_CODE_1)]='1',,,,,,
race_ethnicity_person_race_origin_american_indian,phenx_race_ethnicity,,text,"What is person 1's race? American Indian or Alaska Native - Print name of enrolled or principal tribe(s), for example, Navajo Nation, Blackfeet Tribe, Mayan, Aztec, Native Village of Barrow Inupiat Traditional Government, Nome Eskimo Community, etc. (<a href=""https://www.phenxtoolkit.org/toolkit_content/supplemental_info/demographics/additional_info/Census2020_AllofU_Category_Mapping.doc"">Recommended specific choices</a>). Please specify origin:",,PX011901,,,,,[race_ethnicity_person_race(UNDEFINED_CODE_2)]='1',,,,,,
race_ethnicity_person_race_origin_other_asian,phenx_race_ethnicity,,text,"What is person 1's race? Other Asian - Print, for example, Pakistani, Cambodian, Hmong, etc. (<a href=""https://www.phenxtoolkit.org/toolkit_content/supplemental_info/demographics/additional_info/Census2020_AllofU_Category_Mapping.doc"">Recommended specific choices</a>). Please specify origin:",,PX011901,,,,,[race_ethnicity_person_race(UNDEFINED_CODE_9)]='1',,,,,,
race_ethnicity_person_race_origin_other_pacific_islander,phenx_race_ethnicity,,text,"What is person 1's race? Other Pacific Islander - Print, for example, Tongan, Fijian, Marshallese, etc. (<a href=""https://www.phenxtoolkit.org/toolkit_content/supplemental_info/demographics/additional_info/Census2020_AllofU_Category_Mapping.doc"">Recommended specific choices</a>). Please specify origin:",,PX011901,,,,,[race_ethnicity_person_race(UNDEFINED_CODE_13)]='1',,,,,,
race_ethnicity_person_race_origin_other,phenx_race_ethnicity,,text,"What is person 1's race? Some other race - Print race of origin. (<a href=""https://www.phenxtoolkit.org/toolkit_content/supplemental_info/demographics/additional_info/Census2020_AllofU_Category_Mapping.doc"">Recommended specific choices</a>). Please specify origin:",,PX011901,,,,,[race_ethnicity_person_race(UNDEFINED_CODE_14)]='1',,,,,,
