Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?
quantitive_factor_nine_clotting_sample_collection,quantitative_factor_nine_clotting,,radio,Were the sample collection procedures outlined in Lippi et al. (2012) followed to ensure quality specimens for coagulation testing?,"UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No",PX910402,,,,,,,,,,
quantitive_factor_nine_clotting_sample_processing,quantitative_factor_nine_clotting,,radio,Were the sample collection procedures outlined in Adcock Funk et al. (2012) followed?,"UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No",PX910402,,,,,,,,,,
quantitive_factor_nine_clotting_sample_processing_capped_room_temp,quantitative_factor_nine_clotting,,radio,Did unprocessed or processed sodium citrate samples remain capped and at room temperature until testing?,"UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No",PX910402,,,,,,,,,,
quantitive_factor_nine_clotting_sample_processing_not_refrigerated_stored,quantitative_factor_nine_clotting,,radio,Were samples refrigerated or stored on ice or in an ice bath?,"UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No",PX910402,,,,,,,,,,
quantitive_factor_nine_clotting_sample_processing_not_transported_vertically,quantitative_factor_nine_clotting,,radio,Were samples transported vertically?,"UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No",PX910402,,,,,,,,,,
quantitive_factor_nine_clotting_sample_processing_not_agitated,quantitative_factor_nine_clotting,,radio,Were samples agitated during transportation to avoid remixing of components?,"UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No",PX910402,,,,,,,,,,
quantitive_factor_nine_clotting_sample_processing_transported_stored,quantitative_factor_nine_clotting,,radio,Were procedures for samples transportation and storage followed?,"UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No",PX910402,,,,,,,,,,
quantitive_factor_nine_clotting_sample_processing_unprocessed_sodium_citrate,quantitative_factor_nine_clotting,,radio,Were samples transported and stored as unprocessed sodium citrate whole blood samples?,"UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No",PX910402,,,,,,,,,,
quantitive_factor_nine_clotting_sample_processing_whole_blood_centrifuged,quantitative_factor_nine_clotting,,radio,Were samples transported and stored as whole blood samples centrifuged and maintained in sodium citrate tubes?,"UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No",PX910402,,,,,,,,,,
quantitive_factor_nine_clotting_sample_processing_plasma_processed_centrifugation,quantitative_factor_nine_clotting,,radio,Were samples transported and stored as plasma processed by centrifugation and aliquoting into a second tube?,"UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No",PX910402,,,,,,,,,,
quantitive_factor_nine_clotting_bethesda_assay_nijmegen_modification_one,quantitative_factor_nine_clotting,,radio,Were appropriate assays and instruments to perform the Bethesda assay with Nijmegen modification using the one-stage clotting factor assay chosen?,"UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No",PX910402,,,,,,,,,,
quantitive_factor_nine_clotting_interpretation_results,quantitative_factor_nine_clotting,,radio,Was a result of >= 0.6 Bethesda Units (BU) per mL on two or more separate assays over a 1-4 week period achieved?,"UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No",PX910402,,,,,,,,,,
