NAME,CONCEPT_NAME,CONDR_IDSEQ
C67132,10TH GRADE COMPLETION,371E19EC-E86E-0F0B-E044-0003BA3F9857
C67133,11TH GRADE COMPLETION,371E19EC-E85C-0F0B-E044-0003BA3F9857
C67134,"12TH GRADE COMPLETION, NO DIPLOMA",32BD3337-44E0-3CD6-E044-0003BA3F9857
C13542,16Q,84AD8CAD-BA80-FCC0-E040-BB89AD4326A3
C13382,17P,0D2F7124-4832-8C2F-E050-BB89AD4378C6
C67123,1ST GRADE COMPLETION,371C9548-314F-7422-E044-0003BA3F9857
C67124,2ND GRADE COMPLETION,371C9548-3134-7422-E044-0003BA3F9857
C16035,3-DIMENSIONAL CONFORMAL RADIATION THERAPY,0C625C4B-29A1-27E6-E044-0003BA3F9857
C67125,3RD GRADE COMPLETION,371E19EC-E922-0F0B-E044-0003BA3F9857
C67126,4TH GRADE COMPLETION,371E19EC-E907-0F0B-E044-0003BA3F9857
C13380,5Q,F37D0428-E50A-6787-E034-0003BA3F9857
C67127,5TH GRADE COMPLETION,371E19EC-E8EC-0F0B-E044-0003BA3F9857
C13560,6Q,0D2F7124-472D-8C2F-E050-BB89AD4378C6
C67128,6TH GRADE COMPLETION,371E19EC-E8D1-0F0B-E044-0003BA3F9857
C67129,7TH GRADE COMPLETION,371E19EC-E8B6-0F0B-E044-0003BA3F9857
C92599,8-ISO PROSTAGLANDIN F2ALPHA (8-ISO-PGF2A),A753F5E2-7081-83A5-E040-BB89AD432F35
C13562,8Q,0D2F7124-4985-8C2F-E050-BB89AD4378C6
C67130,8TH GRADE COMPLETION,371E19EC-E89B-0F0B-E044-0003BA3F9857
C67131,9TH GRADE COMPLETION,371E19EC-E880-0F0B-E044-0003BA3F9857
C129349,A FEW TIMES,3E9D5CAE-9D53-5BB3-E053-F662850ADD8F
C91214,A LITTLE BIT,917AA83A-DABB-A8DB-E040-BB89AD43420C
C12664,ABDOMEN,0781A8FE-5085-0C0C-E044-0003BA3F9857
C77333,ABIRATERONE,8C0EAA9F-D690-4F99-E040-BB89AD435CFD
C35221,ABORTION FINDING,4D4AF823-AFDE-5557-E044-0003BA3F9857
C129490,ABOUT EQUALLY SATISFIED AND DISSATISFIED,3E9D5CAE-9E72-5BB3-E053-F662850ADD8F
C3173,"ACCELERATED PHASE CHRONIC MYELOGENOUS LEUKEMIA, BCR-ABL1 POSITIVE",38DBE882-E45E-674F-E044-0003BA3F9857
C28940,ACETAMINOPHEN-BASED ORAL COUGH AND COLD PREPARATION,0D052842-7279-4FD3-E044-0003BA3F9857
C28807,ACETAMINOPHEN/CODEINE,03E16831-BC6B-6D9B-E044-0003BA3F9857
E12237,ACIDOSIS,8B6C5DD5-D185-4885-E040-BB89AD4353DF
C4022,ACRAL LENTIGINOUS MELANOMA,06CB4BCA-311E-23F2-E044-0003BA3F9857
C4673,ACUTE BIPHENOTYPIC LEUKEMIA,37BE0FBC-A52E-35B4-E044-0003BA3F9857
C8923,ACUTE ERYTHROID LEUKEMIA,F37D0428-DB6E-6787-E034-0003BA3F9857
C3167,ACUTE LYMPHOBLASTIC LEUKEMIA,F37D0428-B5D2-6787-E034-0003BA3F9857
C3170,ACUTE MEGAKARYOBLASTIC LEUKEMIA,F37D0428-DB76-6787-E034-0003BA3F9857
C7318,ACUTE MONOBLASTIC AND MONOCYTIC LEUKEMIA,37BD0487-E0F2-6FAB-E044-0003BA3F9857
C4861,ACUTE MONOCYTIC LEUKEMIA,27F3CBD2-0454-469E-E044-0003BA3F9857
C82427,ACUTE MYELOID LEUKEMIA (MEGAKARYOBLASTIC) WITH T(1;22)(P13.3;Q13.3); RBM15-MKL1,A89D3C60-A1C0-6E25-E040-BB89AD433A3A
C27753,ACUTE MYELOID LEUKEMIA NOT OTHERWISE SPECIFIED,27F3CBD2-04A5-469E-E044-0003BA3F9857
C9018,ACUTE MYELOID LEUKEMIA WITH INV(16)(P13.1Q22); CBFB-MYH11,62470ADA-06F3-83FB-E040-BB89AD436FBF
C3250,ACUTE MYELOID LEUKEMIA WITH MATURATION,F37D0428-DB7E-6787-E034-0003BA3F9857
C8460,ACUTE MYELOID LEUKEMIA WITH MINIMAL DIFFERENTIATION,F37D0428-DB86-6787-E034-0003BA3F9857
C9289,ACUTE MYELOID LEUKEMIA WITH MULTILINEAGE DYSPLASIA,27F3CBD2-03B5-469E-E044-0003BA3F9857
C7600,ACUTE MYELOID LEUKEMIA WITH MYELODYSPLASIA-RELATED CHANGES,37BBBFE3-F0E3-60D3-E044-0003BA3F9857
C9288,ACUTE MYELOID LEUKEMIA WITH T(8;21); (Q22; Q22.1); RUNX1-RUNX1T1,37BBBFE3-F170-60D3-E044-0003BA3F9857
C82403,ACUTE MYELOID LEUKEMIA WITH T(9;11)(P22.3;Q23.3); MLLT3-KMT2A,E95A151A-B5AA-8777-E040-BB89AD433AA9
C6924,ACUTE MYELOID LEUKEMIA WITH VARIANT MLL TRANSLOCATIONS,F37D0428-DB7A-6787-E034-0003BA3F9857
C3249,ACUTE MYELOID LEUKEMIA WITHOUT MATURATION,F37D0428-DB82-6787-E034-0003BA3F9857
C3182,ACUTE PROMYELOCYTIC LEUKEMIA WITH PML-RARA,F37D0428-B596-6787-E034-0003BA3F9857
C3353,ACUTE RESPIRATORY DISTRESS SYNDROME,F37D0428-CBFA-6787-E034-0003BA3F9857
C4726,ADAMANTINOMATOUS CRANIOPHARYNGIOMA,1222C373-64AE-4AFD-E044-0003BA3F9857
C7683,ADENOCARCINOMA WITH CARTILAGINOUS AND OSSEOUS METAPLASIA,6281C75A-4866-A127-E040-BB89AD431A41
C5130,ADENOID CYSTIC BREAST CARCINOMA,06CB4BCA-315C-23F2-E044-0003BA3F9857
C15675,ADJUVANT THERAPY,F37D0428-E516-6787-E034-0003BA3F9857
LA20739-1,ADOLESCENT (13-17 YEARS),2822FF80-9A75-0EAB-E050-BB89AD4370A6
C3326,ADRENAL GLAND PHEOCHROMOCYTOMA,9F52E161-943C-C614-E040-BB89AD4377D5
C26691,ADRENOCORTICAL INSUFFICIENCY,501F0EC5-3D05-32D2-E044-0003BA3F9857
LA20740-9,ADULT (18-64 YEARS),2822FF80-9A6C-0EAB-E050-BB89AD4370A6
C3184,ADULT T-CELL LEUKEMIA/LYMPHOMA,F37D0428-E66A-6787-E034-0003BA3F9857
C41331,ADVERSE EVENT,F37D0428-B66E-6787-E034-0003BA3F9857
C83052,ADVERSE EVENT ASSOCIATED WITH HOSPITALIZATION,7E1461A5-7A8E-590A-E040-BB89AD436E02
LA20743-3,AGED ADULT (85+ YEARS),2822FF80-9A5E-0EAB-E050-BB89AD4370A6
C8647,AGGRESSIVE NK-CELL LEUKEMIA,F37D0428-E636-6787-E034-0003BA3F9857
E12242,ALCOHOL INTOLERANCE,8AA8E6AF-FD0C-E859-E040-BB89AD433043
C1574,ALITRETINOIN,05116195-EB70-7341-E044-0003BA3F9857
C27032,ALK TYROSINE KINASE RECEPTOR,822BAC66-A5A4-B260-E040-BB89AD432869
E12082,ALKALINE PHOSPHATASE INCREASED,8AA8E6AF-FE95-E859-E040-BB89AD433043
E12247,ALKALOSIS,8B6C5DD5-D15F-4885-E040-BB89AD4353DF
C110990,ALL OF THE TIME,E5A5650A-6C26-A639-E040-BB89AD432D08
E11248,ALLERGIC REACTION,8B8707AD-6BC9-83F4-E040-BB89AD437E4A
E13303,ALLERGIC RHINITIS,8AA9B42C-5604-F841-E040-BB89AD437B33
C119986,ALMOST ALL OF THE TIME,0C2EFF23-A4B8-667C-E050-BB89AD432C57
